2b58f6ae3c9b6ff9daecc3478905f9342ea00d07e9f6b765a064d96d18dc624b,ed643a22236bee0f3287e006947ae01d1c067b101a5b44b02c0bb66f62fb1ed3,1410fc9a8d82203ecc598ac574786d5fc40bbb37af0d5dd293a22a5419bcb400,c414054167c00f57fe60a7bf84fb26b0295d94f1f3f5f97a113f15bc779d54de,e040a5e4441c91884cb2397a03c149156168d9963afcd63f5e09989dc8adc570,44c86a3a2b583bcfb123a9b961f3cc14ee8c1706153e6c84024cc693fb97735d,2c3f0c866e7c65688613464fdeaec6225cd250adefea956a8b95640389724f04,9a8a9bc2877097e14865ffbeb289a1fd529b421dcf29fa203cf1f1cfdd2c7f1b,c5f6a9e5ff50997bee9e858ffcb90a14c0ee60a2a63ba7a77a4a236cc0f755f9,e56ce94dbc283fce4f51ce6dd17554c03a54612ec26095c0d97f55eb9757a9ba,5f722f75f17c7c4b5a0cf9184830978e38b442f9c69c066b46b77632c4e7d5c9,8891f5a1bcfa62c030ca7a8a77ae950ac53cbc43a4c4c5cd60d1f87db8a34358
"0","26","0","0","0.025","279","0","22","0","0.05","30","1"
"0","25","0","0","0.025","270","0","21","0","0.05","29","2"
"0","24","0","0","0.025","261","0","20","0","0.05","28","3"
"0","23","0","0","0.025","252","0","19","0","0.05","27","4"
"0","22","0","0","0.025","243","0","18","0","0.05","26","5"
"0","21","0","0","0.025","234","0","17","0","0.05","25","6"
"0","20","0","0","0.025","225","0","16","0","0.05","24","7"
"0","19","0","0","0.025","216","0","15","0","0.05","23","8"
"0","18","0","0","0.025","207","0","14","0","0.05","22","9"
"0","17","0","0","0.025","198","0","13","0","0.05","21","10"
"0","16","0","0","0.025","189","0","12","0","0.05","20","11"
"0","15","0","0","0.025","180","0","11","0","0.05","19","12"
"0","14","0","0","0.025","171","0","10","0","0.05","18","13"
"0","13","0","0","0.025","161","0","9","0","0.05","17","14"
"0","12","0","0","0.025","152","0","8","0","0.05","16","15"
"0","11","0","0","0.025","143","0","7","0","0.05","15","16"
"0","10","0","0","0.025","134","0","6","0","0.05","14","17"
"0","9","0","0","0.025","125","0","5","0","0.05","13","18"
"0","8","0","0","0.025","116","0","4","0","0.05","12","19"
"0","7","0","0","0.025","107","0","3","0","0.05","11","20"
"0","6","0","0","0.025","101","0","2","0","0.05","10","21"
"0","0","0","0","0","1","0","0","0","0","0","22"
