ae5e7628ed304f22ef0e2ddf319b9b00eb39b31ae54c544cdaec5d1161ac7534,b5e80b2f9625264bf4066660d37e379ed4f9e323726db9a2817223ae61a909bc,005185ca9f42ed53c7583a949cc85f801e320708f4db6da528600c8169b3ac40,d40f89f8b648e9a1b3739e631341e73493818e0f81f6618c97ada1d93e9b370b,2fa4948e0cadd70e6cc17221fc6b78644e692368f451a1be634ef016006746c2,8be75e7ed404aa6373e58f9325c065652c4476d438fb92d9245c82c839df9732
"バトル開始後90秒間物理攻撃力極大\nアップ","1013206","2023/11/30 12:00:00","118001","3001","1"
"バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","1013206","2023/11/30 12:00:00","118001","3002","2"
"バトル開始後90秒間ＴＰ上昇大アップ","1013206","2023/11/30 12:00:00","118001","3010","3"
"バトル開始後90秒間物理攻撃力極大\nアップ","1013206","2023/11/30 12:00:00","105801","3001","4"
"バトル開始後90秒間魔法防御力極大\nアップ","1013206","2023/11/30 12:00:00","105801","3004","5"
"バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","1013206","2023/11/30 12:00:00","105801","3005","6"
"バトル開始後90秒間物理攻撃力極大\nアップ","1013206","2023/11/30 12:00:00","107501","3001","7"
"バトル開始後90秒間物理防御力と魔法\n防御力極大アップ","1013206","2023/11/30 12:00:00","107501","3002","8"
"バトル開始後90秒間ＴＰ上昇大アップ","1013206","2023/11/30 12:00:00","107501","3010","9"
"バトル開始後90秒間物理攻撃力絶大\nアップ","1013206","2023/11/30 12:00:00","111801","3001","10"
"バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","1013206","2023/11/30 12:00:00","111801","3004","11"
"バトル開始後90秒間物理攻撃力絶大\nアップ","1013206","2023/11/30 12:00:00","121001","3001","13"
"バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","1013206","2023/11/30 12:00:00","121001","3004","14"
"バトル開始後90秒間物理攻撃力極大\nアップ","1013206","2023/11/30 12:00:00","180401","3001","16"
"バトル開始後90秒間魔法防御力極大\nアップ","1013206","2023/11/30 12:00:00","180401","3004","17"
"バトル開始後90秒間ＨＰが０になると\n倒れずにHP回復（１回のみ）","1013206","2023/11/30 12:00:00","180401","3005","18"
"バトル開始後90秒間魔法攻撃力絶大\nアップ","1013206","2023/11/30 12:00:00","127901","3003","19"
"バトル開始後90秒間魔法防御力極大\nアップ、行動不能無効","1013206","2023/11/30 12:00:00","127901","3004","20"
"バトル開始後90秒間物理攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","106601","3001","21"
"バトル開始後90秒間物理/魔法無効バ\nリア","1013406","2023/12/31 12:00:00","106601","3012","22"
"バトル開始後90秒間魔法攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","101401","3003","23"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","1013406","2023/12/31 12:00:00","101401","3010","24"
"バトル開始後90秒間魔法攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","101201","3003","25"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","1013406","2023/12/31 12:00:00","101201","3010","26"
"バトル開始後90秒間物理攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","116501","3001","27"
"バトル開始後90秒間物理/魔法無効バ\nリア","1013406","2023/12/31 12:00:00","116501","3012","28"
"バトル開始後90秒間物理攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","121601","3001","29"
"バトル開始後90秒間物理/魔法無効バ\nリア","1013406","2023/12/31 12:00:00","121601","3012","30"
"バトル開始後90秒間物理攻撃力極大\nアップ","1013406","2023/12/31 12:00:00","128301","3001","31"
"バトル開始後90秒間物理/魔法無効バ\nリア","1013406","2023/12/31 12:00:00","128301","3012","32"
"バトル開始後90秒間魔法攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","112201","3003","33"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","1013406","2023/12/31 12:00:00","112201","3010","34"
"バトル開始後90秒間魔法攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","115701","3003","35"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","1013406","2023/12/31 12:00:00","115701","3010","36"
"バトル開始後90秒間魔法攻撃力絶大\nアップ","1013406","2023/12/31 12:00:00","113401","3003","37"
"バトル開始後90秒間ＴＰ上昇特大アッ\nプ","1013406","2023/12/31 12:00:00","113401","3010","38"
"バトル開始後90秒間魔法攻撃力絶大\nアップ","1013406","2024/01/03 19:00:00","128401","3003","39"
