d6c7e558914fa01ce7c4a82c997a39bd0f052eeaf9eaf7cde9bab66933a1e881,f7b03ac1fa361e8741cf7fe15a247832e6aa97265e7826a1c6904b5fc797d669,2dde693b3f826de4285dfb822a6f8166f855fb2381e7caf2ddb62dc203e5e469,ca844f8586ef7ead38db99c3d6ed3e407b171e06d2d3a5298c466d1b2c7357b4,4d0227c772dbeda2c0387a31ff5525bc6be92ab8fc46b33e545b1fb4454ccbb9,d1512b54811a87299be7e5c57cfe9950612bb6697d51cc1d4e37a1de9ff16a63,145e71ab695c111949f6548a4066850ddfbdf5c9e6106f76f171cda11032dcf3,1ee5b7140755757939fc2c0c432f7a3143dc4bc651af90f8facd105c4fe2d081
"111","90110001","70000","110001","ガーゴイル（EASY）をクリアしよう","110001","0","1"
"112","90110002","70000","110002","ガーゴイル（NORMAL）をクリアしよう","110001","0","1"
"113","90110003","70000","110003","ガーゴイル（HARD）をクリアしよう","110001","0","1"
"114","90110004","70000","110004","ガーゴイル（VERY HARD）をクリアしよう","110001","0","1"
"115","90110005","70000","110005","ガーゴイル（EXTREME）をクリアしよう","110001","0","1"
"121","90120001","70000","120001","マグスガーゴイル（EASY）をクリアしよう","110001","0","1"
"122","90120002","70000","120002","マグスガーゴイル（NORMAL）をクリアしよう","110001","0","1"
"123","90120003","70000","120003","マグスガーゴイル（HARD）をクリアしよう","110001","0","1"
"124","90120004","70000","120004","マグスガーゴイル（VERY HARD）をクリアしよう","110001","0","1"
"125","90120005","70000","120005","マグスガーゴイル（EXTREME）をクリアしよう","110001","0","1"
"131","90130001","70000","130001","ガードガーゴイル（EASY）をクリアしよう","110001","0","1"
"132","90130002","70000","130002","ガードガーゴイル（NORMAL）をクリアしよう","110001","0","1"
"133","90130003","70000","130003","ガードガーゴイル（HARD）をクリアしよう","110001","0","1"
"134","90130004","70000","130004","ガードガーゴイル（VERY HARD）をクリアしよう","110001","0","1"
"135","90130005","70000","130005","ガードガーゴイル（EXTREME）をクリアしよう","110001","0","1"
"141","90140001","70000","140001","ガーゴイル・バースト（EASY）をクリアしよう","110001","0","1"
"142","90140002","70000","140002","ガーゴイル・バースト（NORMAL）をクリアしよう","110001","0","1"
"143","90140003","70000","140003","ガーゴイル・バースト（HARD）をクリアしよう","110001","0","1"
"144","90140004","70000","140004","ガーゴイル・バースト（VERY HARD）をクリアしよう","110001","0","1"
"145","90140005","70000","140005","ガーゴイル・バースト（EXTREME）をクリアしよう","110001","0","1"
"151","90150001","70000","150001","ガーゴイル・マギ（EASY）をクリアしよう","110001","0","1"
"152","90150002","70000","150002","ガーゴイル・マギ（NORMAL）をクリアしよう","110001","0","1"
"153","90150003","70000","150003","ガーゴイル・マギ（HARD）をクリアしよう","110001","0","1"
"154","90150004","70000","150004","ガーゴイル・マギ（VERY HARD）をクリアしよう","110001","0","1"
"155","90150005","70000","150005","ガーゴイル・マギ（EXTREME）をクリアしよう","110001","0","1"
