550e06ee2fa152b473ef32ca5e9bcc5af69ef82a664989a3ee5d99020a761a96,10931db044eb26de18ce370212902670f03264fa86ce8f6b06ddaca9aa56cd57,a987c740e4831c8ff70df2e19cb736b202f0d35b94f011612a7c4a278a43953d,345e6365f11fd84f6ad0614ee86ed66e55174612858f4c3ea08d43e49f0719cf,37acf183a29282942fc0b0e71f7153b6ed24720bf44febe472da923987b5ab9a,7ae9d78e270496aeaeb373f3d1354b81712e0904622c1e02cdf23485dfdae161,d97f707acaab4116e53b6b2b2cebae8547fc57bb005b52ead7f60515f13b7c1c,ddbf25b5bee3cba9ade5632b184269faa36403cf34872f20e1a57c8efc76132a,bed3e21b4ee624de8f8b20d27fdc6f68f16527f7ed902eb2df21c935867ae6b5,df7c055fbd9e279b70213c46cf3a080cb4af74ee50638b916b39dc9576fdfd0f,b395bf3ca6c6c9558a3c19645b7a569155058a85aff58df6336beafdd9def28c
"5","160","cgg_idle_normal","-230","1","0","1","-420","101","100","101001"
"1","1.6","cgg_idle_def","-230","105811","1","1","375","101","100","101002"
"1","1.6","cgg_idle_def","-230","106011","1","1","490","101","101","101003"
"6","0.1","","1","1","0","1","1","101","1","101004"
"6","0.1","","1","1","0","105811","1","101","1","101005"
"6","0.1","","1","1","0","106011","1","101","1","101006"
"93","","","","0","","0.2","","101","","101007"
"21","","","","vo_minigame_1007_top_talk_1_001","","vo_minigame_1007","0","101","0","101008"
"11","0","0","0","見てください\nキャルちゃん♪\nカルミナのグッズが\nいっぱいですよ☆","0","105811","0","101","7","101009"
"3","0.2","","","cgg_idle_surprise1","","1","","101","1","101010"
"3","0.2","","1","cgg_surprise_kira","0","105811","cgg_talk_surprise_kira","101","0","101011"
"93","","","","0","","2.1","","101","","101012"
"3","0.2","","","cgg_idle_surprise3","","1","","101","1","101013"
"3","0.2","","","cgg_talk_joy1","","105811","","101","1","101014"
"91","","","","","","101009","","101","","101015"
"3","0.2","","","cgg_idle_def","","105811","","101","1","101016"
"21","","","","vo_minigame_1007_top_talk_1_002","","vo_minigame_1007","0","101","0","101017"
"11","0","0","0","こんなにあるのね…\nこういうのってつい\n全部集めたく\nなっちゃうのよね","0","106011","0","101","6","101018"
"3","0.2","","","cgg_idle_reaction1","","1","","101","1","101019"
"3","0.2","","","cgg_talk_surprise1","","106011","","101","1","101020"
"93","","","","0","","2.1","","101","","101021"
"3","0.2","","","cgg_idle_nod","","1","","101","1","101022"
"3","0.2","","","cgg_talk_bitter","","106011","","101","1","101023"
"91","","","","","","101018","","101","","101024"
"93","","","","0","","0.5","","101","","101025"
"3","0.2","","","cgg_idle_normal","","1","","101","1","101026"
"3","0.2","","","cgg_idle_def","","106011","","101","1","101027"
"3","0.2","","","cgg_idle_joy2","","105811","","101","1","101028"
"12","0.2","","","10","","105811","","101","1.4","101029"
"93","","","","0","","3","","101","","101030"
"3","0.2","","","cgg_idle_def","","105811","","101","1","101031"
"3","0.2","","","cgg_talk_surprise_dere","","106011","","101","1","101032"
"12","0.2","","","8","","106011","","101","1.4","101033"
"93","","","","0","","3","","101","","101034"
"3","0.2","","","cgg_idle_def","","106011","","101","1","101035"
"3","0.2","","1","cgg_surprise1","0","1","cgg_idle_surprise1","101","0","101036"
"12","0.2","","","4","","1","","101","1.4","101037"
"93","","","","0","","3","","101","","101038"
"101","","","","0","","101026","","101","","101039"
"22","","","","0.5","","0","","101","","101040"
"6","0.1","","0","1","0","1","1","101","1","101041"
"6","0.1","","0","1","0","105811","1","101","1","101042"
"6","0.1","","0","1","0","106011","1","101","1","101043"
"93","","","","0","","0.1","","101","","101044"
"3","0","","","cgg_idle_normal","","1","","101","1","101045"
"3","0","","","cgg_idle_def","","105811","","101","1","101046"
"3","0","","","cgg_idle_def","","106011","","101","1","101047"
"5","160","cgg_idle_normal","-230","1","0","1","-420","102","100","102001"
"1","1.6","cgg_idle_def","-230","105911","1","1","375","102","100","102002"
"1","1.6","cgg_idle_def","-230","106411","1","1","490","102","101","102003"
"6","0.1","","1","1","0","1","1","102","1","102004"
"6","0.1","","1","1","0","105911","1","102","1","102005"
"6","0.1","","1","1","0","106411","1","102","1","102006"
"93","","","","0","","0.2","","102","","102007"
"21","","","","vo_minigame_1007_top_talk_2_003","","vo_minigame_1007","0","102","0","102008"
"11","0","0","0","ライブ会場に到着です\n随分と大きくて\n開放的ですね…","0","105911","0","102","5","102009"
"3","0.2","","","cgg_idle_surprise1","","1","","102","1","102010"
"3","0.2","","","cgg_lookup","","105911","","102","0","102011"
"93","","","","0","","2.6","","102","","102012"
"3","0.2","","","cgg_talk_wish_surprise","","105911","","102","1","102013"
"91","","","","","","102009","","102","","102014"
"3","0.4","","","cgg_idle_def","","105911","","102","1","102015"
"21","","","","vo_minigame_1007_top_talk_2_004","","vo_minigame_1007","0","102","0","102016"
"11","0","0","0","カルミナのライブ……\nふふっ、楽しみね。\nあ、ちょっとグッズを\n見てきていいかしら。","0","106411","0","102","5","102017"
"3","0.2","","","cgg_idle_reaction1","","1","","102","1","102018"
"3","0.2","","","cgg_talk_surprise1","","106411","","102","1","102019"
"93","","","","0","","2.6","","102","","102020"
"3","0.2","","1","cgg_talk_nod","0","1","cgg_idle_nod","102","0","102021"
"3","0.2","","","cgg_talk_joy3_blink","","106411","","102","1","102022"
"93","","","","0","","3.2","","102","","102023"
"3","0.2","","","cgg_idle_reaction5","","1","","102","1","102024"
"3","0.2","","","cgg_talk_normal","","106411","","102","1","102025"
"91","","","","","","102017","","102","","102026"
"93","","","","0","","0.5","","102","","102027"
"3","0.2","","","cgg_idle_def","","106411","","102","1","102028"
"3","0.2","","","cgg_idle_normal","","1","","102","1","102029"
"3","0.2","","","cgg_talk_joy3_blink","","105911","","102","1","102030"
"12","0.2","","","10","","105911","","102","1.4","102031"
