4ac413dfdaf3dc8c78ef7c7dcaedff2fc39c129565cc5fad23dcbc177838c06a,fd9d0ce1ae71221ef299906d468b18a10ef253c3b3591e8c733df8572e7b1356,2d50e419f4e894401832ab126dfe257175214c055c26224cb5d6b2627fe1f323,953c19052964c7c5553a8ccf3378dd772c6fd24ff7bb22dcda3b5e59ecb5865f,4ffdc3835ed718df81683fab36014b1b3622fe4056f8c0eeb177a90d80a0c988,bebcb94d38a2d466f6b02d32b0c5f2423d544155438a1518202fe11d068a4771,89aef0d3f6102d2a6300270d4d6a72dc92de66b022a17db0bf3be475edbd93a7,9be6e5b13e5811f4d9501f1f813b29d52473214fe068e27a357407573e80f8a5,5e40e9e03d44060d2423a964e69974eace378a0549bcc6f90e34314abe5c2aa2,9f08da313879ae62a3920283ce92411a87de8304804d328ed007838993d022d5,61900b03d497ff7b791f0fd59e0da16c37c914873b34a49d3f43ee9ba4ba03de
"1","1","1","1","0","0","10011","1","1000","5","0"
"2","0","2","2","0","0","10012","2","2000","2","1"
"3","0","3","3","0","0","10013","2","2000","5","1"
"4","0","4","4","0","0","10014","2","2000","8","1"
"5","0","5","5","0","0","10015","3","3000","2","2"
"6","0","6","6","0","0","10016","3","3000","5","3"
"7","0","7","7","0","0","10017","3","3000","8","4"
"8","0","8","8","0","0","10018","4","4000","2","5"
"9","0","9","9","0","0","10019","4","4000","5","6"
"10","0","10","10","0","0","10020","4","4000","8","7"
"11","1","11","11","10","9","10021","5","10000","5","8"
"12","0","12","12","0","0","10022","6","8000","2","11"
"13","0","13","13","0","0","10023","6","8000","5","11"
"14","0","14","14","0","0","10024","6","8000","8","11"
"15","0","15","15","0","0","10025","7","10000","2","12"
"16","0","16","16","0","0","10026","7","10000","5","13"
"17","0","17","17","0","0","10027","7","10000","8","14"
"18","0","18","18","0","0","10028","8","12000","2","15"
"19","0","19","19","0","0","10029","8","12000","5","16"
"20","0","20","20","0","0","10028","8","12000","8","17"
"21","1","21","21","20","19","10030","9","20000","5","18"
"22","0","22","22","0","0","10012","10","10000","2","21"
"23","0","23","23","0","0","10013","10","10000","5","21"
"24","0","24","24","0","0","10014","10","10000","8","21"
"25","0","25","25","0","0","10015","11","12000","2","22"
"26","0","26","26","0","0","10016","11","12000","5","23"
"27","0","27","27","0","0","10017","11","12000","8","24"
"28","0","28","28","0","0","10018","12","14000","2","25"
"29","0","29","29","0","0","10019","12","14000","5","26"
"30","0","30","30","0","0","10020","12","14000","8","27"
"31","1","31","31","30","29","10032","13","20000","5","28"
"32","0","32","32","0","0","10022","14","12000","2","31"
"33","0","33","33","0","0","10023","14","12000","5","31"
"34","0","34","34","0","0","10024","14","12000","8","31"
"35","0","35","35","0","0","10025","15","14000","2","32"
"36","0","36","36","0","0","10026","15","14000","5","33"
"37","0","37","37","0","0","10027","15","14000","8","34"
"38","0","38","38","0","0","10028","16","16000","2","35"
"39","0","39","39","0","0","10029","16","16000","5","36"
"40","0","40","40","0","0","10028","16","16000","8","37"
"41","1","41","41","40","39","10033","17","30000","5","38"
"42","0","42","42","0","0","10012","18","17000","2","41"
"43","0","43","43","0","0","10013","18","17000","5","41"
"44","0","44","44","0","0","10014","18","17000","8","41"
"45","0","45","45","0","0","10015","19","20000","2","42"
"46","0","46","46","0","0","10016","19","20000","5","43"
"47","0","47","47","0","0","10017","19","20000","8","44"
"48","0","48","48","0","0","10018","20","23000","2","45"
"49","0","49","49","0","0","10019","20","23000","5","46"
"50","0","50","50","0","0","10020","20","23000","8","47"
"51","1","51","51","50","49","10011","21","50000","5","48"
"52","0","52","52","0","0","10022","22","23000","2","51"
"53","0","53","53","0","0","10023","22","23000","5","51"
"54","0","54","54","0","0","10024","22","23000","8","51"
"55","0","55","55","0","0","10025","23","27000","2","52"
"56","0","56","56","0","0","10026","23","27000","5","53"
"57","0","57","57","0","0","10027","23","27000","8","54"
"58","0","58","58","0","0","10028","24","30000","2","55"
"59","0","59","59","0","0","10029","24","30000","5","56"
"60","0","60","60","0","0","10028","24","30000","8","57"
"61","1","61","61","60","59","10034","25","70000","5","58"
"62","0","62","62","0","0","10012","26","31000","2","61"
"63","0","63","63","0","0","10013","26","31000","5","61"
"64","0","64","64","0","0","10014","26","31000","8","61"
"65","0","65","65","0","0","10015","27","35000","2","62"
"66","0","66","66","0","0","10016","27","35000","5","63"
"67","0","67","67","0","0","10017","27","35000","8","64"
"68","0","68","68","0","0","10018","28","39000","2","65"
"69","0","69","69","0","0","10019","28","39000","5","66"
"70","0","70","70","0","0","10020","28","39000","8","67"
"71","1","71","71","70","69","10035","29","100000","5","68"
"72","0","72","72","0","0","10022","30","39000","2","71"
"73","0","73","73","0","0","10023","30","39000","5","71"
"74","0","74","74","0","0","10024","30","39000","8","71"
"75","0","75","75","0","0","10025","31","43000","2","72"
"76","0","76","76","0","0","10026","31","43000","5","73"
"77","0","77","77","0","0","10027","31","43000","8","74"
"78","0","78","78","0","0","10028","32","47000","2","75"
"79","0","79","79","0","0","10029","32","47000","5","76"
"80","0","80","80","0","0","10028","32","47000","8","77"
"81","1","81","81","80","79","10021","33","130000","5","78"
