8deae9588bc08f34d0aa934c34e415291915c649aefdf1a64deccfb4df375cef,2091c2a6e749e00fba362ee732a29ee4f78a83653ce5f9950a48ab6871cf2183,3b55e073249d57abdb3687dc55a2d2c6feb7f8bdae1d25ed4a8f74893aa7f6a9,dff678a329f2462562aeb380be3bf38dee2d9e32294e9f4e96e1b33c08892082,c2de069ba74fd7f3e43f30f0c1e0753f0bec1b25b51bf3985ffee018576d8376,98bd3c6e141fe70ff85ef055c7af1ac10797dc25cac884ef7f990d3e0348c1da,e2772d2b1a2740e3c7e0a1835a8c89f8a75e2cb1f5140f5d8a91567197b59f3c,127a65520ba392881ea9e258049269fb125c0b8d23b97090c9d96c0f6e2017b7,2cb6c8745aa22006bfe69c68568ca56521329a963c42e7fb5c9f76fccfb9017e,9e3d28402acbd614e5e0858f4f2425795c4bd4de2abe8dcd6b1cb9fc27c9fe20,389783ae662365ac7411a5ff3692cf8b669da88019e4ed054213a2696871f463
"2","8","91002","2","25021","8","10","25011","31","281001001","1"
"2","8","91002","2","25021","8","10","25011","31","281001002","2"
"2","8","91002","2","25021","8","10","25011","32","281001003","3"
"2","8","91002","2","25021","8","10","25011","32","281001004","4"
"2","8","91002","2","25021","8","10","25011","33","281001005","5"
"2","9","91002","2","25021","8","10","25011","33","281001006","6"
"2","9","91002","2","25021","8","10","25011","34","281001007","7"
"2","9","91002","2","25021","8","10","25011","35","281001008","8"
"2","9","91002","2","25021","8","10","25011","35","281001009","9"
"2","10","91002","2","25021","8","30","25011","37","281001010","10"
"2","10","91002","2","25021","8","10","25011","41","281001011","11"
"2","11","91002","2","25021","8","10","25011","43","281001012","12"
"2","11","91002","2","25021","8","10","25011","46","281001013","13"
"2","12","91002","2","25021","8","10","25011","48","281001014","14"
"2","12","91002","2","25021","8","10","25011","50","281001015","15"
"2","13","91002","2","25021","8","10","25011","53","281001016","16"
"2","14","91002","2","25021","8","10","25011","55","281001017","17"
"2","14","91002","2","25021","8","10","25011","58","281001018","18"
"2","15","91002","2","25021","8","10","25011","60","281001019","19"
"2","15","91002","2","25021","8","30","25011","62","281001020","20"
"2","16","91002","2","25021","8","10","25011","68","281001021","21"
"2","16","91002","2","25021","8","10","25011","70","281001022","22"
"2","16","91002","2","25021","8","10","25011","72","281001023","23"
"2","17","91002","2","25021","8","10","25011","75","281001024","24"
"2","18","91002","2","25021","8","10","25011","77","281001025","25"
"2","18","91002","2","25021","8","10","25011","79","281001026","26"
"2","19","91002","2","25021","8","10","25011","82","281001027","27"
"2","19","91002","2","25021","8","10","25011","84","281001028","28"
"2","19","91002","2","25021","8","10","25011","86","281001029","29"
"2","20","91002","2","25021","8","30","25011","89","281001030","30"
"2","20","91002","2","25021","8","10","25011","94","281001031","31"
"2","21","91002","2","25021","8","10","25011","96","281001032","32"
"2","21","91002","2","25021","8","10","25011","99","281001033","33"
"2","22","91002","2","25021","8","10","25011","101","281001034","34"
"2","22","91002","2","25021","8","10","25011","103","281001035","35"
"2","23","91002","2","25021","8","10","25011","106","281001036","36"
"2","23","91002","2","25021","8","10","25011","108","281001037","37"
"2","24","91002","2","25021","8","10","25011","111","281001038","38"
"2","25","91002","2","25021","8","10","25011","113","281001039","39"
"2","25","91002","2","25021","8","30","25011","115","281001040","40"
"2","26","91002","2","25021","8","10","25011","121","281001041","41"
"2","27","91002","2","25021","8","10","25011","123","281001042","42"
"2","28","91002","2","25021","8","10","25011","125","281001043","43"
"2","28","91002","2","25021","8","10","25011","128","281001044","44"
"2","29","91002","2","25021","8","10","25011","130","281001045","45"
"2","30","91002","2","25021","8","10","25011","132","281001046","46"
"2","30","91002","2","25021","8","10","25011","135","281001047","47"
"2","31","91002","2","25021","8","10","25011","137","281001048","48"
"2","31","91002","2","25021","8","10","25011","139","281001049","49"
"2","31","91002","2","25021","8","30","25011","142","281001050","50"
