b177a294b32629c945280f4f95de9e8a4c5d632469dd4f55cde0a2d3d5dfd4dc,2f60aa169c15f6235aa73c7caa2212bd0160b4b56a107de4bc26e45559b7cbb9,ae8040c9e5ce4526b39f8c553af87c7490e48d038659a09bdbcada69b1c64171,a8492f94677d341e9b29c13444802663a250f05562ea8029fd97fc3d0bbce895,9831a8c4f26522f96476766625d8f356cfb2c365a5bac864d7adb3b4fcce7bc2,6ba0fcd57a434d205e8a8850b56beb31414eb1fa1c09d287217ab09750b2ee14
"1001","11001001","99001001","1","15","1"
"0","91002","99001001","10","8","2"
"1001","11001002","99001002","1","15","3"
"0","91002","99001002","10","8","4"
"1002","11001003","99001003","1","15","5"
"0","91002","99001003","20","8","6"
"1003","11001004","99001004","1","15","7"
"0","91002","99001004","30","8","8"
"1001","11001005","99001005","1","15","9"
"0","91002","99001005","10","8","10"
"1001","11001006","99001006","1","15","11"
"0","91002","99001006","10","8","12"
"1002","11001007","99001007","1","15","13"
"0","91002","99001007","20","8","14"
"1003","11001008","99001008","1","15","15"
"0","91002","99001008","30","8","16"
"1001","11001009","99001009","1","15","17"
"0","91002","99001009","10","8","18"
"1001","11001010","99001010","1","15","19"
"0","91002","99001010","10","8","20"
"1002","11001011","99001011","1","15","21"
"0","91002","99001011","20","8","22"
"1003","11001012","99001012","1","15","23"
"0","91002","99001012","30","8","24"
"1001","11001017","99001017","1","15","33"
"0","91002","99001017","30","8","34"
"1001","11001018","99001018","1","15","35"
"0","91002","99001018","30","8","36"
"1002","11001019","99001019","1","15","37"
"0","91002","99001019","30","8","38"
"1003","11001020","99001020","1","15","39"
"0","91002","99001020","30","8","40"
"1001","11001021","99001021","0","15","41"
"1002","11001022","99001022","0","15","42"
"1001","11001023","99001023","1","15","43"
"0","91002","99001023","30","8","44"
"1001","11001024","99001024","1","15","45"
"0","91002","99001024","30","8","46"
"1002","11001025","99001025","1","15","47"
"0","91002","99001025","30","8","48"
"1003","11001026","99001026","1","15","49"
"0","91002","99001026","30","8","50"
"1001","11001027","99001027","1","15","51"
"0","91002","99001027","30","8","52"
"1001","11001028","99001028","1","15","53"
"0","91002","99001028","30","8","54"
"1002","11001029","99001029","1","15","55"
"0","91002","99001029","30","8","56"
"1003","11001030","99001030","1","15","57"
"0","91002","99001030","30","8","58"
"1001","11001031","99001031","1","15","59"
"0","91002","99001031","30","8","60"
"1001","11001032","99001032","1","15","61"
"0","91002","99001032","30","8","62"
"1002","11001033","99001033","1","15","63"
"0","91002","99001033","30","8","64"
"1003","11001034","99001034","1","15","65"
"0","91002","99001034","30","8","66"
"1001","11001039","99001039","0","15","75"
"1002","11001040","99001040","0","15","76"
"1003","11001041","99001041","0","15","77"
"1001","11001042","99001042","1","15","78"
"0","91002","99001042","30","8","79"
"1001","11001043","99001043","1","15","80"
"0","91002","99001043","30","8","81"
"1002","11001044","99001044","1","15","82"
"0","91002","99001044","30","8","83"
"1003","11001045","99001045","1","15","84"
"0","91002","99001045","30","8","85"
"1001","11001046","99001046","1","15","86"
"1001","11001050","99001046","1","15","87"
"0","91002","99001046","30","8","88"
"1001","11001047","99001047","1","15","89"
"0","91002","99001047","30","8","90"
"1002","11001048","99001048","1","15","91"
"0","91002","99001048","30","8","92"
"1003","11001049","99001049","1","15","93"
"0","91002","99001049","30","8","94"
"1001","11001051","99001051","1","15","95"
"0","91002","99001051","30","8","96"
"1001","11001052","99001052","1","15","97"
"0","91002","99001052","30","8","98"
"1002","11001053","99001053","1","15","99"
"0","91002","99001053","30","8","100"
"1003","11001054","99001054","1","15","101"
"0","91002","99001054","30","8","102"
"1001","11001055","99001055","1","15","103"
"0","91002","99001055","30","8","104"
"1001","11001056","99001056","1","15","105"
"0","91002","99001056","30","8","106"
"1002","11001057","99001057","1","15","107"
"0","91002","99001057","30","8","108"
"1003","11001058","99001058","1","15","109"
"0","91002","99001058","30","8","110"
"1001","11001059","99001059","1","15","111"
"0","91002","99001059","30","8","112"
"1001","11001060","99001060","1","15","113"
"0","91002","99001060","30","8","114"
"1002","11001061","99001061","1","15","115"
"0","91002","99001061","30","8","116"
"1003","11001062","99001062","1","15","117"
"0","91002","99001062","30","8","118"
"1001","11001063","99001063","1","15","119"
"0","91002","99001063","30","8","120"
"1001","11001064","99001064","1","15","121"
"0","91002","99001064","30","8","122"
"1002","11001065","99001065","1","15","123"
"0","91002","99001065","30","8","124"
"1003","11001066","99001066","1","15","125"
"0","91002","99001066","30","8","126"
"1001","11001067","99001067","1","15","127"
"0","91002","99001067","30","8","128"
"1001","11001068","99001068","1","15","129"
"0","91002","99001068","30","8","130"
"1002","11001069","99001069","1","15","131"
"0","91002","99001069","30","8","132"
"1003","11001070","99001070","1","15","133"
"0","91002","99001070","30","8","134"
"1001","11001071","99001071","0","15","135"
"1002","11001072","99001072","0","15","136"
