85cd969c835bdb72cf74ad2166a8c5ac259560ea5ca5860a572986db8d3c726b,311079e92d9426a61926875e3c65141a49468bea5a05def6411bad064ba6a590
"10001","プリンセスコネクト！Re:Dive 1"
"10002","プリンセスコネクト！Re:Dive 2"
"10003","プリンセスコネクト！Re:Dive 3"
"10004","プリンセスコネクト！Re:Dive 4"
"10005","プリンセスコネクト！Re:Dive Season2 1"
"10006","プリンセスコネクト！Re:Dive Season2 2"
"10007","プリンセスコネクト！Re:Dive Season2 3"
"10008","プリンセスコネクト！Re:Dive Season2 全巻購入特典"
"10009","CD購入特典"
"10010","Shadowverse EVOLVE 特典"
"20001","プリンセスコネクト！Re:Dive 3周年記念"
"20002","公式アートワークス Vol.3 発売記念アイテム"
"20003","プリンセスコネクト！Re:Dive 3.5周年記念"
"20004","プリンセスコネクト！Re:Dive 4周年記念"
"20005","プリンセスコネクト！Re:Dive 4.5周年記念"
"20006","プリンセスコネクト！Re:Dive 5周年記念"
"20007","プリンセスコネクト！Re:Dive 6周年記念"
"20008","プリンセスコネクト！Re:Dive 7周年記念"
"20009","プリンセスコネクト！Re:Dive 8周年記念"
"30000","ストーリーイベント"
"30001","ミニゲーム・ミニコンテンツ"
"40001","みんなのカレンダー"
"40002","ローソンコラボ記念"
"40003","TANITAコラボ記念"
"40004","2024年バレンタイン記念"
"40005","銀だこハイボール酒場コラボ記念"
"40006","煉獄のリベリオン"
"40007","豊島園 庭の湯コラボ記念"
"40008","劇場版『ゾンビランドサガ ゆめぎんがパラダイス』コラボ記念"
"40009","プリコネフェス2026 特別協賛記念"
