1b23bb2e1d0b0311d20b7a2e318894aef9a1a2bb81cdbe8ddac9251d9dd59776,ac8b48cc4d9f3446044c17ef85e176a9c29beea878066df64d1185cfc96a3ce3,98cd2929740aa26e9cbe55c023f66a73789103db58cbaf008e061cbdc8a4bc69,fe89b1ae30a1afae180416d34721faa9c8c698ca2d6ed06fdb42d058d2874b87,ebc66c83ecd4bb4fbfa291f002e3b3976837a0f080c8a3b51417fe25a41e022b,a92176d2619df0c7f387ec1c1c935d4f224c4b1bd0c66932422b6eaf0efb660b,189e9e1c84f9b7a68dba1e30be6aa997561826d7ffe1c0794512ab5e521d3dd8,f350933b3212b05d99edf9527e024b84616d6da76ae20bdb8642bea0626b1b69
"10001101","10001101","bgm_M32","bgm_M32","10001","タルグム地方","10001","10001"
"10002101","10002101","bgm_M98_2","bgm_M98","10002","マシーナ地方","10002","10002"
"10003101","10003101","bgm_M106","bgm_M106","10003","ランドソル郊外","10003","10003"
"10004101","10004101","bgm_M112","bgm_M112","10004","タパスビーチ周辺","10004","10004"
"10005101","10005101","bgm_M121","bgm_M121","10005","イルシオンの孤島","10005","10005"
"10006101","10006101","bgm_M128","bgm_M128","10006","王都ランドソル","10006","10006"
"10007101","10007101","bgm_M135","bgm_M135","10007","ランドソル近郊","10007","10007"
"10008101","10008101","bgm_M121","bgm_M121","10008","ランドソル近郊","10008","10008"
"10009101","10009101","bgm_M171","bgm_M171","10009","クリスマス","10009","10009"
"10010101","10010101","bgm_M121","bgm_M121","10010","神殿への参道","10010","10010"
"10011101","10011101","bgm_M189","bgm_M189","10011","バレンタイン","10011","10011"
"10012101","10012101","bgm_M206","bgm_M206","10012","王都ランドソル","10012","10012"
"10013101","10013101","bgm_M215","bgm_M215","10013","マナリア","10013","10013"
"10014101","10014101","bgm_M32","bgm_M32","10014","タルグム地方","10014","10014"
