a18a39b1b7a5448442298b52d6655dc6a8988cfef4dc57fe5f8c9658372b0d0a,1aab3c76ebe74769917252fc6f6dec8d4a36bb6c4ca4e36d0084f2b1f9f470ec,34943288195991faaa6b8c1c0a84523e10187c2a8b0cfeb0f214210fd4e49819,aa839f1f7aea7636f771596469bf24034b3b47fa9ab15de79ccda43f81573e8f,91ba7134bfbde837c14ce770d35c5f594e348bc3358fa89a4d3947bca0946dd1,ba2dc4f2537d6a9c497bb6910f60c9e68a2aa7c959d4ba2024a063da5429b2d7
"10201","201","5","2","10201001","5201083"
"10213","1021301","3","2","10213001","5213062"
"10213","5213063","2","3","10213002","1021301"
"10213","1021302","3","2","10213003","5213064"
"10213","5213065","2","3","10213004","1021302"
"10213","1021303","3","2","10213005","5213066"
"10213","5213067","2","3","10213006","1021303"
"10213","1021304","3","2","10213007","5213068"
"10213","5213069","2","3","10213008","1021304"
"10213","1021305","3","2","10213009","5213070"
"10213","5213071","2","3","10213010","1021305"
"10213","1021306","3","2","10213011","5213072"
"10213","5213073","2","3","10213012","1021306"
"10213","1021307","3","2","10213013","5213074"
"10213","5213075","2","3","10213014","1021307"
"10213","1021311","3","2","10213015","5213076"
"10213","5213077","2","3","10213016","1021311"
"10213","1021312","3","2","10213017","5213078"
"10213","5213079","2","3","10213018","1021312"
"10213","1021313","3","2","10213019","5213080"
"10213","5213081","2","3","10213020","1021313"
"10213","1021314","3","2","10213021","5213082"
"10213","5213083","2","3","10213022","1021314"
"10213","1021315","3","2","10213023","5213084"
"10213","5213085","2","3","10213024","1021315"
"10213","1021316","3","2","10213025","5213086"
"10213","5213087","2","3","10213026","1021316"
"10213","1021317","3","2","10213027","5213088"
"10213","5213089","2","3","10213028","1021317"
"10213","1021321","3","2","10213029","5213090"
"10213","5213091","2","3","10213030","1021321"
"10213","1021322","3","2","10213031","5213092"
"10213","5213093","2","3","10213032","1021322"
"10213","1021323","3","2","10213033","5213094"
"10213","5213095","2","3","10213034","1021323"
"10213","1021324","3","2","10213035","5213096"
"10213","5213097","2","3","10213036","1021324"
"10213","1021325","3","2","10213037","5213098"
"10213","5213099","2","3","10213038","1021325"
"10213","1021326","3","2","10213039","5213100"
"10213","5213101","2","3","10213040","1021326"
"10213","1021327","3","2","10213041","5213102"
"10213","5213103","2","3","10213042","1021327"
