2dd42c89967cb669d191f899a9c46bd9f0173c3a7dd8aab806e0054f53f88470,42322406b6d7c5c8109cbb8ecde49b05009d4973dd5c74135e29637a36d5bb59,492f9d337b76d3cc19b6129ff51d91d5c4387855bad7df636b9ea8480e120489,485e22ceb9d6f12fee758da8f9db76c0f196524e6a76e72426354191bdc402ad,ba6ccda235dc316e38b7e419e432094b035a2c529a12b7e918c36f4ce0c4b23d,d32768d796cfecf75367b48d4f4edb4683bb8769ae342fb64a7b9f8cad08054e,36dbabec04e58811f821e6cff79927dde8d0d2fe0b3db542da21819a2889462b,efaaa321e58472f245bc27b26ce8b0badcdcb151ff6e7a3778c864a9c6c5c816,f26456e80780418b8ef6429997a976a95022c314c133e7829f005f6b62893f12,2ccbc04bbb68528bd11a4bd69b8f33e62bf686646ba5c4d7a2b81a5b657dfd6e,cbad59220cb48e37fa553393e86462caa7227ffb76ef2cd354d1255ecae5122e
"2020-02-15 15:00:00","2030/12/31 15:00:00","","愛情たっぷりのチョコレートケー\nキを完成させよう！\n超キュートなタップゲーム！","2030/12/31 15:00:00","10000","1002","bgm_M199","bgm_M199_juke","お兄ちゃん争奪！\nどっちのチョコがおいしいでSHOW","1001"
"2020-02-15 15:00:00","2030/12/31 15:00:00","","大回転！クウカ！\n最高のエクスタシーここにあり！\n引っ張って飛ばす、空の旅！","2030/12/31 15:00:00","10000","1003","bgm_M227","bgm_M227_juke","クウカ大回転\n飛行道中エクスタシー","1002"
"2020-02-15 15:00:00","2030/12/31 15:00:00","","これぞ琉球魂！\n押し寄せるマジムンをなぎ倒す\n爽快アクションゲーム！","2030/12/31 15:00:00","10000","1004","bgm_M249","bgm_M249_juke","カオリのマブイ式空手道場","1003"
"2020-02-15 15:00:00","2030/12/31 15:00:00","","白熱バトル！\nドラゴンズネスト流\nタイマン式頭脳しりとり！","2030/12/31 15:00:00","10000","1005","bgm_M277","bgm_M277_juke","大激戦！しりとりドラゴンズ","1004"
"2020-05-31 12:00:00","2030/12/31 15:00:00","","キミはチーズを守り抜けるか！？\n瞬発力が試される\n反射神経系カジュアルゲーム！","2030/12/31 15:00:00","10000","1006","bgm_M355_Lofi","bgm_M355_Lofi_juke","チュウチュウパニック！\nチーズお守り大作戦！","1005"
"2020-08-15 15:00:00","2030/12/31 15:00:00","","目指せホームランバッター！\nミートタイミングがカギを握る\nスポーツアクションゲーム！","2030/12/31 15:00:00","10000","1007","bgm_M399","bgm_M399","猛訓打撃道！\nミサトのホームランドリル","1006"
"2021-08-31 12:00:00","2030/12/31 15:00:00","","カルミナファン大興奮！\nライブ応援グッズを手に入れて\n目指せ「カルミナ神推し」！","2030/12/31 15:00:00","10000","1008","bgm_M500","bgm_M500","カルミナサマーライブ\nライブ会場 グッズエリア","1007"
"2021-12-18 15:00:00","2030/12/31 15:00:00","","レッツ・クッキング！\nミヤコとプリンを作って食べて\nプリンの道を極めよう！","2030/12/31 15:00:00","10000","1009","bgm_M540","bgm_M540","ミヤコ's キッチン　究極への道","1008"
"2022-02-15 15:00:00","2022/02/28 11:59:59","ランドソルクイズコネクト！","５人チームで力を合わせて多種多\n様なジャンルのクイズに挑戦！\n目指せ、クイズプリンセス！","2022/02/15 15:00:00","0","1010","bgm_M569","bgm_M569","Happy Anniv.スペシャル　\nランドソルクイズコネクト！","1009"
"2022-07-18 15:00:00","2030/12/31 15:00:00","","砂浜駆けるプリンセス！\nハチャメチャなコースに挑む、\n南の島のビーチフラッグス！","2030/12/31 15:00:00","10000","1011","bgm_M605","bgm_M605","駆けろ常夏！\nアルティメットビーチフラッグス","1010"
"2023-09-18 15:00:00","2030/12/31 15:00:00","放課後クイズエデュケーション　{0}","めざせ全問正解！\nキャルとスズナと放課後の教室で\n二人きりのクイズ勉強会！","2030/12/31 15:00:00","10000","1012","bgm_MC068","bgm_MC068","キャルとスズナの\n放課後クイズエデュケーション","1012"
"2024-04-18 15:00:00","2030/12/31 15:00:00","行軍（マーチ）A-Go-Go！","魔物はびこる街道を突き進め！\n【王宮騎士団(NIGHTMARE)】\nの兵たちを率い、訓練に挑戦だ！","2030/12/31 15:00:00","10000","1013","bgm_MC141","bgm_MC141","エリコとマコトの\n行軍（マーチ）A-Go-Go！","1013"
"2024-11-18 15:00:00","2030/12/31 15:00:00","激突！破壊！\nイリーガルタンクウォー","戦車バトル大会開幕！\n組み上げたオリジナルマシンで\n頂点を目指せ！","2030/12/31 15:00:00","10000","1014","bgm_MC199","bgm_MC199_Battle","激突！破壊！\nイリーガルタンクウォー","1014"
