a8092ecb926778edc10b3898a6b35d964e9b2696f189f434ec463333c6fae8ee,e50b89094a8ed4ef591b768b31df25299e5659a287854e030e69ba4293af615c,08be5d3ee359807630ece90b4b6fbcf79f91e5068bd62c3a63378da211ad1ee2,3618156557fb9b1b1422f83021b30fcf37d765834badbde0c0158c8428004156,798abd02efd6cf8ea7506593ae26681d0eaa82fafcef426c6266b3c1b299c9dd,04e1803d0766cb1fc8fae2945801dc4d6dfdede2be74aa7b91c6a407fdd272f9,cde5d338b06829f4894531fb5970c17978d840a0df66819207362f56de7b8e16,1b3b8d64f243f5c51f029f0126304645e7e4f139d49102c1de369f81400f54b1,4faea41421b785e5933d96900705160cb54e2a64d4e2f77472e573f72b9c0bcc,e3710b18fd49e975305187cdb217f8056bb66a5e96796c5b418d6ff2b913e86f
"0","0","0","0","5110601","20059104","10110","懐かしき過去の結晶","オープニング","0"
"0","91002","30","1","5110602","20059104","10110","リーダーはどっちだ！","オクトーの追想　その1","8"
"0","91002","30","1","5110603","20059105","10110","勝ちたい理由","オクトーの追想　その2","8"
"0","91002","30","1","5110604","20059108","10110","聞き上手な誓約女君","クリスティーナの追想　その1","8"
"0","91002","30","1","5110605","20059109","10110","秘めたる本当の実力……？","ダイゴの追想　その1","8"
"0","91002","30","1","5110606","20059110","10110","友と書いてライバルと読む","ラビリスタの追想　その1","8"
"0","91002","30","1","5110607","20059112","10110","悪と正義の高笑い","マサキの追想","8"
"0","91002","30","1","5110608","20059113","10110","プリンセスナイトとは","ラジラジの追想　その1","8"
"0","91002","30","1","5110609","20059114","10110","まだ見ぬ日々に想い馳せて","オクトーの追想　その3","8"
"0","91002","30","1","5111602","20060103","10111","跳躍王のお仕置き","ラジラジの追想　その2","8"
"0","91002","30","1","5111603","20060105","10111","二人なら絶対だって","クリスティーナの追想　その2","8"
"0","91002","30","1","5111604","20060108","10111","虎の尾を踏む","ダイゴの追想　その2","8"
"0","91002","30","1","5111605","20060109","10111","一番怪しい七冠は誰だ","ラビリスタの追想　その2","8"
"0","91002","30","1","5111606","20060110","10111","簡単すぎる問題","ネネカの追想","8"
"0","91002","30","1","5111607","20060113","10111","魔物使いは語る","オクトーの追想　その4","8"
"0","91002","30","1","5111608","20060113","10111","悪党たちの目指す未来","オクトーの追想　その5","8"
"1","9000222","1","0","5111609","0","10111","過去を超える思い出を","エンディング","16"
