b5171932c78b22769fd8e300792d37985a1209663b58ab096c0f37fce5fb8dc6,69b9186dd6c95374d644cf44aaff74ac38a0d2caeb75373c9a68c27dda064348,20f21a42e80a5faad6330f93beb671208637900e33541cb0478626899e181bd4,4069fc3618b8af22bd79ba7bd4c70f899eae5245c5773d01664fa24a5458f446,1082c2e593e741dd5c06aa15b25ecd6dc0de17267f90de68657d81113cc9252b,5df6be5567395358e33cdcf37beb9af0139d78aa3dbf0278bf5724b781b556e4,ec85a0a67ee377882918a5791da58453871eed4d70940379611ee24571308291,03cf2f0001eae54ff09109032d66df09ac418c5bd4d141403a226116066e53db,1e3aabc1b0d07f8b2855f9f55fb9e31ce0b66cc8f548b4742b9e50017a72772b,b78fb05d6a79fa44e034327a28a5fc701fc68a0ba21f7ef52c1924b22ade5f1c,e27ad2f1be7e4241e4474f3767d3c664444965196c187035fed30194c362651e,56f9a61ae7d6f1ea4af37571b29c98a77a1bda056d333f9a9bde0168a20d1ade,f0537ecffb624d4f8c67555bd43bf2a622084aacb2b6a29d53ebc521da3650c1
"0","0","0","いぬ","いのしし","0","おおかみ","3110001","0","1","1","0","ぶた"
"0","0","0","四","二","0","一","3110002","0","1","1","0","三"
"1","0","0","七","九","0","十","3110003","0","1","1","0","八"
"0","0","0","也","要","0","花","3110004","0","1","1","0","亭"
"0","0","0","もぐもぐ","ぱかぱか","0","めそめそ","3110006","0","1","1","0","がつがつ"
"0","0","0","批判をする","ものがへこむ","0","犬の鳴き声","3110007","0","1","1","0","針で縫う"
"1","0","0","口","十","0","田","3110009","0","0","1","0","木"
"0","0","0","よって","だが","0","しかし","3110010","0","1","1","0","それで"
"0","0","0","身長が伸びる","身長な行動","0","服を身長する","3110011","0","1","1","0","身長をはかる"
"0","0","0","自信（じしん）","鼻血（はなじ）","0","身近（みじか）","3110012","0","1","1","0","地面（じめん）"
"0","0","0","さ","ば","0","ま","3110013","0","1","1","0","た"
"0","0","0","火","金","0","土","3110015","0","1","1","0","月"
"0","0","0","クイーン","ストライク","0","プリンセス","3111001","0","1","1","0","ブレイド"
"0","0","0","エクスプロージョン","オール","0","ヒール","3111002","0","1","1","0","アタック"
"0","1","0","J","G","0","F","3120001","0","1","0","0","H"
"0","0","0","ふじん","めおと","0","ふうふ","3120002","0","1","1","0","ふさい"
"1","0","0","酒","礼","0","無","3120006","0","1","1","0","講"
"1","0","0","四","王","0","天","3120007","0","1","1","0","山"
"1","0","0","想","空","0","絵","3120008","0","1","1","0","事"
"0","0","0","カボチャ","トマト","0","ナス","3120010","0","1","1","0","アスパラガス"
"1","1","0","夏","盆","0","新年","3120011","0","1","0","0","春"
"0","0","0","南","西","0","瓜","3120012","0","1","1","0","東"
"1","0","0","鬼に金棒","豚に真珠","0","猫に小判","3120013","0","1","1","0","馬の耳に念仏"
"1","0","0","全","半","0","自","3120014","0","1","0","0","傍"
"1","1","0","ろす","る","0","しい","3120015","0","0","1","0","がる"
"1","0","0","なさる","いらっしゃる","0","存じ上げる","3120016","0","1","0","0","申し上げる"
"0","0","0","クソ眼鏡","クソ猫","0","ロリババア","3121001","0","1","1","0","クソエルフ"
"0","0","0","アヴァロン","クリエイション","0","オブジェクト","3121002","0","1","1","0","ミラー"
"0","0","0","倍","梅","0","塩","3130001","0","1","1","0","暗"
"1","1","0","冬","夏","0","春","3130002","0","1","0","0","秋"
"0","0","0","良妻嫌母","四面楚歌","0","前代未聞","3130004","0","1","1","0","五里夢中"
"0","0","0","一期一得","公明正大","0","無我夢中","3130005","0","1","1","0","自我自賛"
"1","0","0","単刀直入","山止水明","0","怪刀乱麻","3130006","0","1","1","0","危機一発"
"1","0","0","興味深々","三位一体","0","以心伝心","3130007","0","1","1","0","意気消沈"
"1","0","0","温","念","0","朴","3130010","0","1","1","0","仁"
"1","0","0","独","壇","0","土","3130011","0","1","1","0","場"
"1","0","0","雑","楽","0","我","3130013","0","1","1","0","多"
"0","0","0","ただみ","まめ","0","ちゅうじつ","3130014","0","1","1","0","りちぎ"
"0","0","0","たまねぎ","もずく","0","わかめ","3130016","0","1","1","0","たけのこ"
"0","0","0","冥空","血盟","0","煉獄","3131001","0","1","1","0","戦記"
"0","0","0","妄想","トランス","0","エクスタシー","3131002","0","1","1","0","トリップ"
"1","0","0","ダイコン","ナス","0","トマト","3210001","0","1","1","0","キュウリ"
"0","0","0","心臓","腎臓","0","肺","3210002","0","1","1","0","肝臓"
"1","0","0","消火器","排出器","0","呼吸器","3210003","0","1","1","0","循環器"
"0","0","0","イソギンチャク","タコ","0","イカ","3210005","0","1","1","0","ナマコ"
"0","0","0","ナマケモノ","コアラ","0","カンガルー","3210006","0","1","1","0","イノシシ"
"0","0","0","がんがんむし","でんでんむし","0","マイマイ","3210008","0","1","1","0","モイモイ"
"0","0","0","モンアカチョウ","モンシロチョウ","0","モンキチョウ","3210009","0","1","1","0","モンアオチョウ"
"0","0","0","親指","中指","0","小指","3210010","0","1","1","0","人差し指"
"0","0","0","D型","B型","0","A型","3210011","0","1","1","0","C型"
"0","0","0","エビ","ハマグリ","0","アサリ","3210013","0","1","1","0","ヤドカリ"
"0","0","0","オオカミ","ウマ","0","ウサギ","3210014","0","1","1","0","ライオン"
"0","0","0","コアラ","シカ","0","サイ","3210015","0","1","1","0","クマ"
"0","0","0","サレン","ハツネ","0","スズナ","3211001","0","1","1","0","ミソギ"
"1","0","0","ミフユ","カヤ","0","ホマレ","3211002","0","1","1","0","イノリ"
"0","0","0","アメンボ","クモ","0","ムカデ","3220001","0","1","1","0","アリ"
"0","0","0","ヒト","ミミズ","0","バッタ","3220002","0","1","1","0","カエル"
"0","0","0","チョウチンアンコウ","メバル","0","カワハギ","3220003","0","1","1","0","トビウオ"
"0","0","0","メダカ","ベタ","0","グッピー","3220006","0","1","1","0","キンギョ"
"0","0","0","タンポポ","ヒヤシンス","0","チューリップ","3220007","0","1","1","0","ヒマワリ"
"1","0","0","ジンベエ","マッコウ","0","セミ","3220009","0","1","1","0","シロナガス"
"0","0","0","オコジョ","タンチョウ","0","トキ","3220011","0","1","1","0","ツキノワグマ"
"1","0","0","リンゴ","メロン","0","スイカ","3220012","0","1","1","0","イチゴ"
"1","0","0","酸素","光","0","水","3220013","0","1","1","0","二酸化炭素"
"1","0","0","クツワムシ","ミジンコ","0","アオミドロ","3220014","0","1","1","0","ボルボックス"
"1","0","0","ソマリ","パグ","0","チワワ","3220015","0","1","1","0","シーズー"
"0","0","0","ミドリムシ","イモムシ","0","アオムシ","3220016","0","1","1","0","フナムシ"
"0","0","0","キョウカ","ミミ","0","モニカ","3221001","0","1","1","0","ユカリ"
"1","0","0","ハツネ","シオリ","0","トモ","3221002","0","1","1","0","モニカ"
"0","0","0","獅子","羊","0","牛","3230001","0","1","1","0","ねずみ"
"1","1","0","トラ","ヤマネコ","0","ウミネコ","3230004","0","0","1","0","ライオン"
"1","0","0","神経質","エナメル質","0","象牙質","3230005","0","1","1","0","セメント質"
"1","0","0","エトピリカ","ウグイス","0","コマドリ","3230006","0","1","1","0","オオルリ"
"1","0","0","ロゼッタ咲き","カクタス咲き","0","アネモネ咲き","3230007","0","1","1","0","一重咲き"
"0","0","0","ニホンザル","サンショウウオ","0","ワニ","3230008","0","1","1","0","イルカ"
"0","0","0","ミミズク","コウモリ","0","モモンガ","3230010","0","1","1","0","コンドル"
"0","0","0","ダチョウ","イルカ","0","ムササビ","3230011","0","1","1","0","ペンギン"
