c4f11169c503c583dbb7f3287afdf28005fc536973d4e0ebad572f3379e576da,bf3b3e5f8ca2d274dde316171fd6f378657a7a37fb06a8a2c4f993b2b261a4b8,6ecb7f53def7c3ee436523eb790629f23b4869aa4c2c4873110020b138ec39f9,fd3d765a571bc27b482463b017883fdeb3e6f14dc4f0591e8a7862fb71f0e6b6,f140bf29a88b701c39c41e1bd559b14ec2387e2d2e6b3a7629f05f2ac590e6c3,02c05234c6005badff0e889e77aa2cbac493ac61bc6ca65390f86ea02371ad12,f2a7cd5cc732bc8176d55e7f4228af4b46855b95eba2ed41301d87dfc348a32a,054706ab94dfbeffc691ffa780a125a1f5145e6fef53a73bc930dac51b0eb2be,e89f647ac83350f31d8a9cf722d3dfc18ac789b4e555857e6d9b3349e633f912,e41b3cf9f8846d0bfdce1eaef521a6d6bb5410243a7d9e97f6ef749e93c9098a
"1100001","575","32","1001","1","1003","1002","1","1","10590"
"1100002","575","32","1004","1","1006","1005","1","1","10590"
"1100003","575","32","1007","1","1009","1008","1","2","10590"
"1100004","500","33","1010","1","1012","1011","1","1","11820"
"1100005","500","33","1013","1","1015","1014","1","1","11820"
"1100006","500","33","1016","1","1018","1017","1","2","11820"
"1100007","500","33","1019","1","1021","1020","1","4","11820"
"1100008","375","35","1022","1","1024","1023","1","1","13050"
"1100009","375","35","1025","1","1027","1026","1","1","13050"
"1100010","375","35","1028","1","1030","1029","1","6","13050"
"1200001","575","34","2001","1","2003","2002","2","1","10590"
"1200002","575","34","2004","1","2006","2005","2","1","10590"
"1200003","575","34","2007","1","2009","2008","2","1","10590"
"1200004","575","34","2010","1","2012","2011","2","1","10590"
"1200005","575","34","2013","1","2015","2014","2","2","10590"
"1200006","575","34","2016","1","2018","2017","2","4","10590"
"1200007","575","34","2019","1","2021","2020","2","6","10590"
"1200008","500","35","2022","1","2024","2023","2","1","11820"
"1200009","500","35","2025","1","2027","2026","2","1","11820"
"1200010","500","35","2028","1","2030","2029","2","1","11820"
"1200011","500","35","2031","1","2033","2032","2","1","11820"
"1200012","500","35","2034","1","2036","2035","2","4","11820"
"1200013","500","35","2037","1","2039","2038","2","6","11820"
"1200014","375","38","2040","1","2042","2041","2","1","13050"
"1200015","375","38","2043","1","2045","2044","2","1","13050"
"1200016","375","38","2046","1","2048","2047","2","1","13050"
"1200017","375","38","2049","1","2051","2050","2","1","13050"
"1200018","375","38","2052","1","2054","2053","2","2","13050"
"1200019","375","38","2055","1","2057","2056","2","4","13050"
"1200020","375","38","2058","1","2060","2059","2","6","13050"
"1300001","575","37","3001","1","3003","3002","3","1","10590"
"1300002","575","37","3004","1","3006","3005","3","1","10590"
"1300003","575","37","3007","1","3009","3008","3","1","10590"
"1300004","575","37","3010","1","3012","3011","3","1","10590"
"1300005","575","37","3013","1","3015","3014","3","1","10590"
"1300006","575","37","3016","1","3018","3017","3","1","10590"
"1300007","575","37","3019","1","3021","3020","3","2","10590"
"1300008","575","37","3022","1","3024","3023","3","2","10590"
"1300009","575","37","3025","1","3027","3026","3","4","10590"
"1300010","575","37","3028","1","3030","3029","3","6","10590"
"1300011","500","38","3031","1","3033","3032","3","1","11820"
"1300012","500","38","3034","1","3036","3035","3","1","11820"
"1300013","500","38","3037","1","3039","3038","3","1","11820"
