ae08e46ca069e99ca07ea8196947d76ea5deec65a7a59b2464bd90e413fd6c47,47dc5bc33623322a18275296de7f95293eea74430d9cbfa2c3eed7e3966ae933,331afe1984c7ebb56c92ae8442c080128b6ffef1cb271974e08ef296016fc817,5321b0538663362605ff213d9a8587cbc1f27eed4362d4e1f7c6c04f85cab4c5,4cde620e26791f96d8a5d95c9bf6533002a8a5873ac629224060aafb6886afc0
"1","91002","1","8","100"
"2","91002","2","8","100"
"3","91002","3","8","100"
"4","91002","4","8","100"
"5","91002","5","8","100"
"6","23003","6","2","500"
"7","140001","7","4","100"
"8","21953","8","2","1"
"9","23003","9","2","500"
"10","25001","10","2","100"
"11","90005","11","2","100"
"12","41000","12","2","1"
"13","23003","13","2","500"
"14","25011","14","2","10000"
"15","25012","15","2","10000"
"16","25013","16","2","10000"
"17","25014","17","2","10000"
"18","25015","18","2","10000"
"19","25021","19","2","5000"
"20","25101","20","2","1"
"21","23003","21","2","100"
"22","25011","22","2","10000"
"23","25012","23","2","10000"
"24","25013","24","2","10000"
"25","25014","25","2","10000"
"26","25015","26","2","10000"
"27","25021","27","2","5000"
"28","91002","28","8","100"
"29","23003","29","2","150"
"30","23003","30","2","150"
"31","23003","31","2","150"
"32","23003","32","2","150"
"33","23003","33","2","150"
"34","23003","34","2","150"
"35","26202","35","2","50000"
"36","26202","36","2","50000"
"37","26203","37","2","1"
"38","26202","38","2","50000"
"39","26202","39","2","50000"
"40","26203","40","2","1"
"41","26202","41","2","50000"
"42","26202","42","2","50000"
"43","26203","43","2","1"
"44","26202","44","2","50000"
"45","26202","45","2","50000"
"46","26203","46","2","1"
"47","26202","47","2","50000"
"48","26202","48","2","50000"
"49","26203","49","2","1"
"50","26202","50","2","100000"
"51","26202","51","2","100000"
"52","26203","52","2","1"
"53","26202","53","2","100000"
"54","26202","54","2","100000"
"55","26203","55","2","1"
"56","26202","56","2","100000"
"57","26202","57","2","100000"
"58","26203","58","2","1"
"59","26202","59","2","100000"
"60","26202","60","2","100000"
"61","26203","61","2","1"
"62","26202","62","2","100000"
"63","26202","63","2","100000"
"64","26203","64","2","1"
"65","91002","65","8","100"
"66","91002","66","8","100"
"67","91002","67","8","100"
"68","91002","68","8","100"
"69","91002","69","8","100"
"70","23003","70","2","1000"
"71","23003","71","2","1000"
"72","23003","72","2","1000"
"73","25101","73","2","1"
"74","26202","74","2","150000"
"75","26202","75","2","150000"
"76","26202","76","2","150000"
"77","26202","77","2","150000"
"78","41000","78","2","1"
"79","26202","79","2","150000"
"80","26202","80","2","150000"
"81","26202","81","2","150000"
"82","26202","82","2","150000"
"83","41000","83","2","1"
"84","26202","84","2","150000"
"85","26202","85","2","150000"
"86","26202","86","2","150000"
"87","26202","87","2","150000"
"88","41000","88","2","1"
"89","26202","89","2","150000"
"90","26202","90","2","150000"
"91","26202","91","2","150000"
"92","26202","92","2","150000"
"93","41000","93","2","1"
"94","26202","94","2","150000"
"95","26202","95","2","150000"
"96","26202","96","2","150000"
"97","26202","97","2","150000"
"98","41000","98","2","1"
"99","26202","99","2","150000"
"100","26202","100","2","150000"
"101","26202","101","2","150000"
"102","26202","102","2","150000"
"103","41000","103","2","1"
"104","26202","104","2","150000"
"105","26202","105","2","150000"
"106","26202","106","2","150000"
"107","26202","107","2","150000"
"108","41000","108","2","1"
"109","26202","109","2","150000"
"110","26202","110","2","150000"
"111","26202","111","2","150000"
"112","26202","112","2","150000"
"113","41000","113","2","1"
"114","26202","114","2","150000"
"115","26202","115","2","150000"
"116","26202","116","2","150000"
"117","26202","117","2","150000"
"118","41000","118","2","1"
"119","26202","119","2","150000"
"120","26202","120","2","150000"
"121","26202","121","2","150000"
"122","26202","122","2","150000"
"123","41000","123","2","1"
"124","26202","124","2","150000"
"125","26202","125","2","150000"
"126","26203","126","2","1"
"127","26202","127","2","150000"
"128","26202","128","2","150000"
"129","26202","129","2","150000"
"130","26202","130","2","150000"
"131","41000","131","2","1"
"132","26202","132","2","150000"
"133","26202","133","2","150000"
"134","26203","134","2","1"
"135","26202","135","2","150000"
"136","26202","136","2","150000"
"137","26202","137","2","150000"
"138","26202","138","2","150000"
"139","41000","139","2","1"
"140","26202","140","2","150000"
"141","26202","141","2","150000"
"142","26203","142","2","1"
"143","26202","143","2","150000"
"144","26202","144","2","150000"
"145","26202","145","2","150000"
"146","26202","146","2","150000"
"147","41000","147","2","1"
"148","26202","148","2","150000"
"149","26202","149","2","150000"
"150","26203","150","2","1"
"151","26202","151","2","150000"
"152","26202","152","2","150000"
"153","26202","153","2","150000"
"154","26202","154","2","150000"
"155","41000","155","2","1"
