45b0780f6d8f317d4a7daebc9affe98bd15456950149badbb3c557423be84bb2,cda6c6ed98c4505e922e74310f9af1a23a6644c5711509cf84bbdcda441db530,74c68a18bf4fc559532cb89228a14d30ebe2e2e8147bbd0816ff08acc9d131fd,f0f09117031617fe55d2511a8c2905b8084231597f4c3900eecf5f5d9a7005bd,84d013bacecf08ee69891857ac901aef28641da4e7294721e2e9f60a681239aa,69f86a2d19ddff2fb8a52cbe1897e9016603fa090fff62033b1737468fcb88db,00557913b64228a9656adb98f6f902383e4d95baf8d4e2e01f28ccd780d716d7,ab50ee961a5d96c929d06e4e41832f246a5d42a16557d5439b7d6a69424dca63,a69fe1185dc6e2b763ea899e046a55aff89339f56257d3df159862a5be17cbe4,11e33546fe8b1ab9eea364d63aa78a54303e00d8118e2b2382b4580f594136b1,f63712d85a55969af897fc6bbd12d2512361daa78cb55c504a3aebd9cd034fd8,e546647093b2a2384665e5da735e2587087dffdda40a53804218526aba19f56f
"104","0","0","2","1","0","0","0","101","4","11041","1"
"14","0","0","3","2","0","1","0","201","2","10141","2"
"103","0","0","2","3","0","2","0","301","2","11031","3"
"102","0","0","1","4","0","3","0","401","1","11021","4"
"104","0","0","2","5","0","4","0","501","4","11041","5"
"1","0","0","3","6","0","5","0","601","1","10011","6"
"101","0","0","4","7","0","6","0","701","3","11011","7"
"100","0","0","3","8","0","7","0","801","1","11001","8"
"104","0","0","2","9","0","8","0","901","4","11041","9"
"1","0","0","3","10","0","9","0","1001","2","10011","10"
"51","0","0","4","11","0","10","0","1101","1","10511","11"
"52","0","0","3","12","0","11","0","1201","2","10521","12"
"104","0","0","2","13","0","12","0","1301","4","11041","13"
"103","0","0","1","14","0","13","0","1401","1","11031","14"
"102","0","0","2","15","0","14","0","1501","1","11021","15"
"1","0","0","3","16","0","15","0","1601","1","10011","16"
"104","0","0","2","17","0","16","0","1701","4","11041","17"
"50","0","0","3","18","0","17","0","1801","2","10501","18"
"101","0","0","4","19","0","18","0","1901","3","11011","19"
"100","0","0","3","20","0","19","0","2001","2","11001","20"
"104","0","0","2","21","0","20","0","2101","4","11041","21"
"1","0","0","1","22","0","21","0","2201","3","10011","22"
"100","0","0","3","23","0","22","0","2301","2","11001","23"
"101","0","0","2","24","0","23","0","2401","2","11011","24"
"104","0","0","3","25","0","24","0","2501","4","11041","25"
"50","0","0","4","26","0","25","0","2601","3","10501","26"
"52","0","0","3","27","0","26","0","2701","3","10521","27"
"50","0","0","1","28","0","27","0","2801","1","10501","28"
"104","0","0","2","29","0","28","0","2901","4","11041","29"
"51","0","0","1","30","0","29","0","3001","3","10511","30"
"100","0","0","2","31","0","30","0","3101","2","11001","31"
"101","0","0","3","32","0","31","0","3201","1","11011","32"
"104","0","0","4","33","0","32","0","3301","4","11041","33"
"100","0","0","3","34","0","33","0","3401","3","11001","34"
"104","0","0","2","35","0","34","0","3501","4","11041","35"
"103","0","0","3","36","0","35","0","3601","2","11031","36"
"102","0","0","2","37","0","36","0","3701","1","11021","37"
"50","0","0","1","38","0","37","0","3801","2","10501","38"
"102","0","0","3","39","0","38","0","3901","3","11021","39"
"104","0","0","4","40","0","39","0","4001","4","11041","40"
"100","0","0","3","41","0","40","0","4101","1","11001","41"
"52","0","0","2","42","0","41","0","4201","3","10521","42"
"104","0","0","1","43","0","42","0","4301","4","11041","43"
"103","0","0","2","44","0","43","0","4401","1","11031","44"
"104","0","0","1","45","0","44","0","4501","4","11041","45"
"101","0","0","3","46","0","45","0","4601","3","11011","46"
"102","0","0","4","47","0","46","0","4701","1","11021","47"
"104","0","0","2","48","0","47","0","4801","4","11041","48"
"103","0","0","3","49","0","48","0","4901","2","11031","49"
"104","0","0","2","50","0","49","0","5001","4","11041","50"
"101","0","0","1","51","0","50","0","5101","2","11011","51"
"102","0","0","2","52","0","51","0","5201","3","11021","52"
"104","0","0","3","53","0","52","0","5301","4","11041","53"
"52","0","0","4","54","0","53","0","5401","1","10521","54"
"103","0","0","3","55","0","54","0","5501","3","11031","55"
"104","0","0","4","56","0","55","0","5601","4","11041","56"
"100","0","0","2","57","0","56","0","5701","1","11001","57"
"101","0","0","3","58","0","57","0","5801","3","11011","58"
"103","0","0","4","59","0","58","0","5901","2","11031","59"
"104","0","0","3","60","0","59","0","6001","4","11041","60"
"102","0","0","1","61","0","60","0","6101","1","11021","61"
"50","0","0","2","62","0","61","0","6201","3","10501","62"
"104","0","0","1","63","0","62","0","6301","4","11041","63"
"103","0","0","2","64","0","63","0","6401","2","11031","64"
"102","0","0","3","65","0","64","0","6501","1","11021","65"
"104","0","0","2","66","0","65","0","6601","4","11041","66"
"52","0","0","3","67","0","66","0","6701","1","10521","67"
"102","0","0","2","68","0","67","0","6801","2","11021","68"
"104","0","0","4","69","0","68","0","6901","4","11041","69"
"103","0","0","3","70","0","69","0","7001","2","11031","70"
"101","0","0","2","71","0","70","0","7101","3","11011","71"
"100","0","0","3","72","0","71","0","7201","2","11001","72"
"104","0","0","1","73","0","72","0","7301","4","11041","73"
"103","0","0","1","74","0","73","0","7401","1","11031","74"
"102","0","0","3","75","0","74","0","7501","3","11021","75"
"50","0","0","4","76","0","75","0","7601","1","10501","76"
