b4ee8de78369ef1371afdb9a660f7f8a5ff3a5451eb6e712762fe8de7b172667,1c9e9783d59d7f8bc5bef08c2efeb21a524def3dbf55f586c9cdf01a1a242917,1daf97f948bb4f115abb83d766995f2ef9d7df7fd48959a585b4801a0390e8ad,bb6da8df05d22b12a7ba8f646b5dc916a4a05c25e38da0eb4497c05d4421ecae,14b90a34e373c94e0a1e25dc19a2d84a48b06063c3b4a96cd25a2dc657fa4a8e,04c4a3ef58b51d5fffe94be75969e1a167d72d8b1c2aa88a44a6084b0fc4c11b,e06e416487677828d98414eeb66f1be81066d6858704a2865a019511b95733a4,220dd1fd05308e016058e15e583a418acb0889727ab6de978d36372325e47320,03b290fee5934d8a04cac57d2032beb98c6592c9eb6949f190a2e86e4ea1aab1,9fa230fea55540ef3abac5958304008dadaf0d827f1f1c5aa9a80b89a9c20a3b,f0306363f59db87c5f2d6cef922402f295447cba113058724d1aa163bca8b43f,233e541ef61bbe720d8cf300f2e288b04276febb142003e3d321c8eb612397d6,bb3a684b0873badaf69814605beaa9f3d2fd5a0e004ce282bd448f6513c3056a,c2a5aa8b6fa97c50a614f4477f76b0f1b85391a057fac1fc64c5f14b833f68b0,c4328e64776ddcb120af07fb64eddd27e0364a8bfbc1cd75348b87cb69f9c563,85f82f4cf9c302c873f6593b4fd5c494752442500585058102a3b6c667f36fd5,2737f7ce10e1b0425b90752ced08ea5e4a248cc6a54d230ab63dba74333c0592,d1fd1dd80e6835dba1b6bd32d37a6fab8d81e5ff32e31ac612a5e11b5e0044a9
"4","3","20004","8","30","94002","3","2","1001","150003","1","91002","90005","100","8","2","12","300000"
"4","3","140001","8","30","94002","3","2","1001","150004","2","91002","90005","150","60","4","12","400000"
"4","3","20004","8","30","94002","3","2","1001","150005","3","91002","90005","150","10","2","12","500000"
"4","3","140001","8","30","94002","3","2","1001","150006","4","91002","90005","200","90","4","12","750000"
"4","3","21951","8","30","94002","3","2","1001","150007","5","91002","90005","200","1","2","12","1000000"
"4","3","20004","8","30","94002","3","2","1002","150003","1","91002","90005","100","8","2","12","300000"
"4","3","140001","8","30","94002","3","2","1002","150004","2","91002","90005","150","60","4","12","400000"
"4","3","20004","8","30","94002","3","2","1002","150005","3","91002","90005","150","10","2","12","500000"
"4","3","140001","8","30","94002","3","2","1002","150006","4","91002","90005","200","90","4","12","750000"
"4","3","21951","8","30","94002","3","2","1002","150007","5","91002","90005","200","1","2","12","1000000"
"4","100","20004","8","100","94002","3","4","1003","150003","1","91002","150004","50","8","2","12","300000"
"4","5","140001","8","50","94002","3","2","1003","150005","2","91002","90005","100","60","4","12","400000"
"4","500000","20004","8","50","0","3","12","1003","150006","3","91002","94002","100","10","2","0","0"
"4","10","140001","8","50","94002","3","2","1003","150007","4","91002","90005","150","90","4","12","750000"
"4","1000000","21951","8","50","0","3","12","1003","150008","5","91002","94002","150","1","2","0","0"
"4","100","20004","8","100","94002","3","4","1004","150003","1","91002","150004","50","8","2","12","300000"
"4","5","140001","8","50","94002","3","2","1004","150005","2","91002","90005","100","60","4","12","400000"
"4","500000","20004","8","50","0","3","12","1004","150006","3","91002","94002","100","10","2","0","0"
"4","10","140001","8","50","94002","3","2","1004","150007","4","91002","90005","150","90","4","12","750000"
"4","1000000","21951","8","50","0","3","12","1004","150008","5","91002","94002","150","1","2","0","0"
"4","100","20004","8","100","94002","3","4","1005","150003","1","91002","150004","50","8","2","12","300000"
"4","5","140001","8","50","94002","3","2","1005","150005","2","91002","90005","100","60","4","12","400000"
"4","500000","20004","8","50","0","3","12","1005","150006","3","91002","94002","100","10","2","0","0"
"4","10","140001","8","50","94002","3","2","1005","150007","4","91002","90005","150","90","4","12","750000"
"4","1000000","21951","8","50","0","3","12","1005","150008","5","91002","94002","150","1","2","0","0"
"4","100","20004","8","100","94002","3","4","1006","150004","1","91002","150005","50","8","2","12","300000"
"4","5","140001","8","50","94002","3","2","1006","150006","2","91002","90005","100","60","4","12","400000"
"4","500000","20004","8","50","0","3","12","1006","150007","3","91002","94002","100","10","2","0","0"
"4","10","140001","8","50","94002","3","2","1006","150008","4","91002","90005","150","90","4","12","750000"
"4","1000000","21951","8","50","0","3","12","1006","150009","5","91002","94002","150","1","2","0","0"
