bda828fc80718fb36c19b44684ee50e0b9259da6089781a040bdbfd7e67c6d28,290a966a908d1d8a826c20251f05e2216f109d1824c459486c8c791f98d2d8c8,b0881b96a8c5ca0b130d43174e2a41f7ddc9f9d300544a5553162d88ed4665d5,2ce7a9c23e3eb0f39f42cf965affbe4db0f4a29f309860c8ca8a93cd1ae9878c,a64bf03441246c09c5e85f1488e08ca3a9d6252d2b9b80c2b3b9af25b7d9a5d8,b2ba1a645f38e0aee03e42cc67d12efc5758e93fc2a82a160f7324f4e2754b6c,b2760714d8ffbf4a005b86e6077793625ce7c1d1ae415f2256c9e340ba5e2ecd,a67fb15a8be9e0c2afd10a8ff76349d72d38b2cc0b9cffdea79205988995048b,2911fa84961ededcf43582a278a114c05df596f7ef4e4db7b580dc3dd455b740,29808e2c9802d2ad5631b614522a900eb521e2890a9b5c7402bbfebf0aa4fa38,f9aa62038233dacf8d961dcc1d03ed20b8e89d6f188540c19cc43dfa702a4ca0,dbc67a27264ded62d8fb5f8ccf0c3d00218b5ab762870735abe38cec318b7968,71707cd4b5439efbd24a8ff4b91c4c1dd963c7d3ce08b5c339484d8f818dd1cd,8dc79abd42bea6a176dbbc2a559e01bd47d583a5880fb26c832a02c0d143058e
"10050","0","0","0","1.7","1.5","0","-30","2","30","100000","10","0","1005001"
"10050","0.03","10050101","1","1.7","1.5","0","25","1","-17","100000","0","-40","1005001"
"10050","0","0","0","1.7","1.5","0","-47","3","-32","100000","10","-23","1005001"
"10050","0","0","0","1.7","1.5","0","-30","2","30","100000","10","0","1005002"
"10050","0.03","10050201","1","1.7","1.5","0","25","1","-17","100000","0","-40","1005002"
"10050","0","0","0","1.7","1.5","0","-47","3","-32","100000","10","-23","1005002"
"10050","0","0","0","1.7","1.5","0","-30","2","30","100000","10","0","1005003"
"10050","0.03","10050301","1","1.7","1.5","0","25","1","-17","100000","0","-40","1005003"
"10050","0","0","0","1.7","1.5","0","-47","3","-32","100000","10","-23","1005003"
"10050","0","0","0","1.7","1.5","0","-30","2","30","100000","10","0","1005004"
"10050","0.03","10050401","1","1.7","1.5","0","25","1","-17","100000","0","-40","1005004"
"10050","0","0","0","1.7","1.5","0","-47","3","-32","100000","10","-23","1005004"
"10050","0","0","0","1.7","1.5","0","-30","2","30","100000","10","0","1005005"
"10050","0.03","0","1","1.7","1.5","0","25","1","-17","100000","0","-40","1005005"
"10050","0","0","0","1.7","1.5","0","-47","3","-32","100000","10","-23","1005005"
"10077","0","0","0","1.7","1.5","0","-30","2","30","100000","10","0","1007701"
"10077","0.03","10077101","1","1.7","1.5","0","25","1","-17","100000","0","-40","1007701"
"10077","0","0","0","1.7","1.5","0","-47","3","-32","100000","10","-23","1007701"
"10077","0","0","0","1.7","1.5","0","-30","2","30","100000","10","0","1007702"
"10077","0.03","10077201","1","1.7","1.5","0","25","1","-17","100000","0","-40","1007702"
"10077","0","0","0","1.7","1.5","0","-47","3","-32","100000","10","-23","1007702"
"10077","0","0","0","1.7","1.5","0","-30","2","30","100000","10","0","1007703"
"10077","0.03","10077301","1","1.7","1.5","0","25","1","-17","100000","0","-40","1007703"
"10077","0","0","0","1.7","1.5","0","-47","3","-32","100000","10","-23","1007703"
"10077","0","0","0","1.7","1.5","0","-30","2","30","100000","10","0","1007704"
"10077","0.03","10077401","1","1.7","1.5","0","25","1","-17","100000","0","-40","1007704"
"10077","0","0","0","1.7","1.5","0","-47","3","-32","100000","10","-23","1007704"
"10077","0","0","0","1.7","1.5","0","-30","2","30","100000","10","0","1007705"
"10077","0.03","0","1","1.7","1.5","0","25","1","-17","100000","0","-40","1007705"
"10077","0","0","0","1.7","1.5","0","-47","3","-32","100000","10","-23","1007705"
