b1abb8c28cab3aedc04d4aa0621b4279897a551a291bfdd23b153a238a2a41b0,07a334c3a0c87cd487f3363c4af6e11ca7323e62db0ecb109f4c44ebb9434d78,633f7845d3c19d786fd078d521400caaaf98a6bd8372281ef880c5a1bf25a939,ed8c341f81081f627633d44fcd4100083e8dbfbb47f0226df056d7751b66fcba,8d5374a37dcd6772cbcb139a86e6fe4df32000258f5dc63aa6f6fc82b037353f,3bfb356aa72ecd194327550bedee9c5c2f549b93285c386c62256fd22f8f782e,5bdbe91ae60fd786d8b6e37c00edf5a40f7cfc76ed49ba3118071755ca86f446
"0","0","0","料理入手イベント","1","3","1"
"0","0","0","ダイス入手イベント1","2","1","2"
"0","0","0","ダイス入手イベント2","2","2","3"
"3","1","0","ターン数カウントスキップ","3","0","4"
"2","0","1","マイル+100%","4","100","5"
"2","0","1","ミニゲームマイル+100%","5","100","6"
"3","0","1","ショップ割引イベント","6","300","7"
"3","0","1","ショップ割引イベント","6","300","8"
"3","2","0","ターン数カウントスキップ1","3","0","98001"
"3","1","0","ターン数カウントスキップ1","3","0","98011"
"3","2","0","ターン数カウントスキップ2","3","0","98012"
