5fdaf291f84a0168780836b995acbbd16d1035c16a59fa6fa43f4d77a9b2505b,c6b3c77036b935c2a07deccf6e7eb3de952df4d1c7a00c7a285bfdc3245d94ee,18b49bf3c4e9d589587fa7875421e61d454a3b940b194455a49a5b4d0d513bde,97794e1089c486df471fb97491dc425a1cf7479f99ccdcfa030f53fce4a0ac0f
"2025/03/31 12:00:00","104001","1020301","10203"
"2025/03/31 12:00:00","126401","1020302","10203"
"2025/04/15 15:00:00","134701","1020303","10203"
"2025/03/31 12:00:00","126501","1020304","10203"
"2025/03/31 12:00:00","127801","1020305","10203"
"2025/05/03 19:00:00","132301","1020402","10204"
"2025/04/30 12:00:00","100901","1020403","10204"
"2025/04/30 12:00:00","102701","1020404","10204"
"2025/04/30 12:00:00","101301","1020405","10204"
"2025/04/30 12:00:00","105101","1020406","10204"
"2025/04/30 12:00:00","105601","1020407","10204"
