c48d02b77fc1baf8ee2f63441a2aa4ce14dd81202840298b286c66dd0e4d6950,0c521966f63ae240199671b2267883ac0851553fb29089ef1eda7b8dff489dd3,af03e5ea41ae1c7bc4bc962f78362272d80d724cef147e6f029fc354a4b44336,718b3b8e02a2bf194d1a2b47ff968955f1adab3764e693911edd31e5348271d5,c799c0938ed76b83a57849abab178f87e6f2e974df6f62dbd950b81a5810d3a8,c5cfb5db6c6250db3c2cc9a0b764acfc2c172e527208511242b7a1fa58dfb935
"3000","0","0","1","100111","2991180"
"10000","0","0","1","100112","2991101"
"10000","0","0","1","100121","2991167"
"10000","0","0","1","100122","2991168"
"5000","0","0","1","100131","2991172"
"10000","0","0","1","100211","2991182"
"2000000","0","0","1","100221","2991102"
"40000","0","0","1","100231","2991103"
"15000","0","0","1","100311","2991184"
"200000","0","0","1","100321","2991183"
"15000","0","0","1","100322","2991184"
"1000000","0","0","1","100331","2991185"
"50000","0","0","1","100332","2991186"
"3000","0","0","1","100411","2991104"
"110","0","0","1","100412","2991177"
"5000","0","0","1","100421","2991105"
"130","0","0","1","100422","2991178"
"7000","0","0","1","100431","2991106"
"160","0","0","1","100432","2991179"
"3300","0","0","1","100511","2991190"
"40000","0","0","1","100521","2991107"
"20000","0","0","1","100531","2991112"
"5","0","0","14","110011","14"
"10000","0","0","1","110021","2991117"
"10000","0","0","1","110031","2991120"
"2","0","0","14","110041","16"
"1000","0","0","1","110051","2991101"
"2000","0","0","14","120011","105"
"3000","0","0","1","120021","2991121"
"3000","0","0","1","120031","2991124"
"1000","0","0","1","120041","2991127"
"1000","0","0","1","120051","2991128"
"1000","0","0","1","130011","2991129"
"1000","0","0","14","130021","100"
"1000","0","0","14","130022","101"
"3000","0","0","14","130031","107"
"1000","0","0","14","130041","6"
"1000","0","0","14","130042","7"
"10","0","0","14","130051","9"
"3000","0","0","14","140011","108"
"5000","0","0","1","140021","2991132"
"5000","0","0","1","140031","2991133"
"2000","0","0","14","140041","2"
"2000","0","0","14","140042","4"
"1000","0","0","14","140051","3"
"1000","0","0","14","140052","5"
"1000","0","0","14","150011","110"
"1000","0","0","14","150021","1"
"50000","0","0","1","150031","2991134"
"50000","0","0","1","150041","2991149"
"5000","0","0","1","150051","2991164"
"10","0","0","14","210011","14"
"20000","0","0","1","210021","2991118"
"20000","0","0","1","210031","2991120"
"4","0","0","14","210041","16"
"2000","0","0","1","210051","2991101"
"4000","0","0","14","220011","105"
"6000","0","0","1","220021","2991122"
"6000","0","0","1","220031","2991125"
"2000","0","0","1","220041","2991127"
"2000","0","0","1","220051","2991128"
"2000","0","0","1","230011","2991129"
"2000","0","0","14","230021","100"
"2000","0","0","14","230022","101"
"6000","0","0","14","230031","107"
"2000","0","0","14","230041","6"
"2000","0","0","14","230042","7"
"20","0","0","14","230051","9"
"6000","0","0","14","240011","108"
"10000","0","0","1","240021","2991132"
"10000","0","0","1","240031","2991133"
"4000","0","0","14","240041","2"
"4000","0","0","14","240042","4"
"2000","0","0","14","240051","3"
"2000","0","0","14","240052","5"
"2000","0","0","14","250011","110"
"2000","0","0","14","250021","1"
"100000","0","0","1","250031","2991139"
"100000","0","0","1","250041","2991154"
"10000","0","0","1","250051","2991165"
"10000","0","0","14","300011","104"
"15","0","0","14","310011","14"
"30000","0","0","1","310021","2991119"
"30000","0","0","1","310031","2991120"
"6","0","0","14","310041","16"
"3000","0","0","1","310051","2991101"
"6000","0","0","14","320011","105"
"9000","0","0","1","320021","2991123"
"9000","0","0","1","320031","2991126"
"3000","0","0","1","320041","2991127"
"3000","0","0","1","320051","2991128"
"3000","0","0","1","330011","2991129"
"3000","0","0","14","330021","100"
"3000","0","0","14","330022","101"
"9000","0","0","14","330031","107"
"3000","0","0","14","330041","6"
"3000","0","0","14","330042","7"
"30","0","0","14","330051","9"
"9000","0","0","14","340011","108"
"15000","0","0","1","340021","2991132"
"15000","0","0","1","340031","2991133"
"6000","0","0","14","340041","2"
"6000","0","0","14","340042","4"
"3000","0","0","14","340051","3"
"3000","0","0","14","340052","5"
"3000","0","0","14","350011","110"
"3000","0","0","14","350021","1"
"150000","0","0","1","350031","2991144"
"150000","0","0","1","350041","2991159"
"15000","0","0","1","350051","2991166"
