623760e126df08afcf76ee8888f7e220b8c7cb92d823863052c826504a01c106,f20953d26ce3eb3eec439f80c95388db19ec8c1c5f3f4dbb60f7302560d6403a,4d220884eee8e989a20384cd1f8818d4f801a6ba8ec0264f23ed788b127f7ab9
"エレクトロ・ギガス","6","32001"
"壊乱の黒鎧騎士","7","32001"
"ライライ","8","32001"
"ニードルクリーパー","9","32001"
"白陽・黒月の守護像","10","32001"
"エレクトロ・ギガス","6","32002"
"壊乱の黒鎧騎士","7","32002"
"ライライ","8","32002"
"ニードルクリーパー","9","32002"
"白陽・黒月の守護像","10","32002"
"ハイ・ガルグ","6","32003"
"カース・オラム","7","32003"
"ワイルドグリフォン","8","32003"
"ジャッカルシーフ","9","32003"
"黒月・白陽の守護像","10","32003"
"マスター・ウキキー","6","32004"
"キリングオルカ","7","32004"
"ランドスロース","8","32004"
"マッドベア","9","32004"
"ラースドラゴン","10","32004"
"イワノヅチ","6","32005"
"水瑚麟","7","32005"
"ワイバーン","8","32005"
"マダムプリズム","9","32005"
"ラースドラゴン","10","32005"
"ロード・イビリィ","6","32006"
"紅極鳥","7","32006"
"ライライ","8","32006"
"オークチーフ","9","32006"
"ラースドラゴン","10","32006"
"エレクトロ・ギガス","6","32007"
"クリスタルゴーレム","7","32007"
"ランドスロース","8","32007"
"ソードコブラ","9","32007"
"アルティマガーディアン","10","32007"
"マスター・ウキキー","6","32008"
"カース・オラム","7","32008"
"ゴブリンライダー","8","32008"
"ライデン","9","32008"
"アルティマガーディアン","10","32008"
"イワノヅチ","6","32009"
"紅極鳥","7","32009"
"ワイバーン","8","32009"
"トライロッカー","9","32009"
"アルティマガーディアン","10","32009"
"マスター・ウキキー","6","32010"
"ゴブリンメイスター","7","32010"
"フロストハウンド","8","32010"
"スカイワルキューレ","9","32010"
"ゴブリンロード","10","32010"
