77292dda7e23cbace18e3385b705014781a4df9ec0e0d0cd652c4103fa666c77,2b0b6c3a33f8705206820786d07ace794b67ee912558016c0fb440f3959bc7f3,579ea471c3a56aefc6b796c02674983f64c321c13ec851a082bb0256f9c5f093,42cd12a583479e404c58d492c018fc3d3a86afa51a4d39e08401426e143266be,6c4746bc0b6a0f36a12b86806be390e04056b3f308749158224d04a2d33f9081,caa277d8278593970799b02813f9e884741461b31a1deabd6155a0807dea104f,674d98ed73d380ddd25d33b0ef9d980902657f8938817beb0f4362f5424e08de,de593271c7489063989a8921aa56c8ccc5ffcfb5f23b4d2a35a99aebe2e8fcea,6c22a27a56c14f2c765fb47ec48e4a1fe31deaaa96ed913704d2667658d89c75,41e45cc66cfceae4b6331ef51dbc1c9c9cf53e56c046119cc66ed01c934ddd1d,d5f9c48a196ff2413421902719136b5be0d44fa17829e4392ebc51aaf4b7b098,469eb96083c5b596a363359da82b310a8cef3c4efd1b2bd9cb39247b7ad3874a,fb4e62ecf1571f9916d50aad5bb2089e3894e59a81242583348fe06371285d70,13274a8c3ad82287115383bc3048500833d1bc616da93620bde6153f5e11ae2b
"1","100","0","31058","28001","105801","2030/08/01 14:59:59","0","2020/08/04 12:00:00","0","0","0","0","2"
"2","100","0","31075","28001","107501","2030/08/01 14:59:59","0","2020/08/04 12:00:00","0","0","0","0","2"
"3","100","0","31804","28001","180401","2030/08/01 14:59:59","0","2020/08/04 12:00:00","0","0","0","0","2"
"1","100","0","31059","28002","105901","2030/08/01 14:59:59","0","2020/08/04 12:00:00","0","0","0","0","2"
"2","100","0","31076","28002","107601","2030/08/01 14:59:59","0","2020/08/04 12:00:00","0","0","0","0","2"
"3","100","0","31119","28002","111901","2030/08/01 14:59:59","0","2020/08/04 12:00:00","0","0","0","0","2"
"4","100","0","31805","28002","180501","2030/08/01 14:59:59","0","2020/08/04 12:00:00","0","0","0","0","2"
"1","100","0","31060","28003","106001","2030/08/01 14:59:59","0","2020/08/04 12:00:00","0","0","0","0","2"
"2","100","0","31078","28003","107801","2030/08/01 14:59:59","0","2020/08/04 12:00:00","0","0","0","0","2"
"3","100","0","31120","28003","112001","2030/08/01 14:59:59","0","2020/08/04 12:00:00","0","0","0","0","2"
"1","100","0","31012","28004","101201","2030/08/01 14:59:59","0","2020/09/03 19:00:00","0","0","0","0","2"
"2","100","0","31134","28004","113401","2030/08/01 14:59:59","0","2020/09/03 19:00:00","0","0","0","0","2"
"1","100","0","31038","28005","103801","2030/08/01 14:59:59","0","2020/09/03 19:00:00","0","0","0","0","2"
"2","100","0","31123","28005","112301","2030/08/01 14:59:59","0","2020/09/03 19:00:00","0","0","0","0","2"
"1","100","0","31071","28006","107101","2030/08/01 14:59:59","0","2020/09/03 19:00:00","0","0","0","0","2"
"2","100","0","31115","28006","111501","2030/08/01 14:59:59","0","2020/09/03 19:00:00","0","0","0","0","2"
"1","100","0","31020","28007","102001","2030/08/01 14:59:59","0","2020/10/01 17:00:00","0","0","0","0","2"
"2","100","0","31113","28007","111301","2030/08/01 14:59:59","0","2020/10/01 17:00:00","0","0","0","0","2"
"1","100","0","31004","28008","100401","2030/08/01 14:59:59","0","2020/10/01 17:00:00","0","0","0","0","2"
"2","100","0","31112","28008","111201","2030/08/01 14:59:59","0","2020/10/01 17:00:00","0","0","0","0","2"
"1","100","0","31036","28009","103601","2030/08/01 14:59:59","0","2020/10/01 17:00:00","0","0","0","0","2"
"2","100","0","31111","28009","111101","2030/08/01 14:59:59","0","2020/10/01 17:00:00","0","0","0","0","2"
"1","100","0","31049","28010","104901","2030/08/01 14:59:59","0","2020/11/05 12:00:00","0","0","0","0","2"
"2","100","0","31091","28010","109101","2030/08/01 14:59:59","0","2020/11/05 12:00:00","0","0","0","0","2"
"1","100","0","31011","28011","101101","2030/08/01 14:59:59","0","2020/11/05 12:00:00","0","0","0","0","2"
"2","100","0","31129","28011","112901","2030/08/01 14:59:59","0","2020/11/05 12:00:00","0","0","0","0","2"
"1","100","0","31070","28012","107001","2030/08/01 14:59:59","0","2020/11/05 12:00:00","0","0","0","0","2"
"1","100","0","31110","28013","111001","2030/08/01 14:59:59","0","2022/03/21","0","0","0","0","2"
"2","100","0","31164","28013","116401","2030/08/01 14:59:59","0","2022/03/21","0","0","0","0","2"
"1","100","0","31109","28014","110901","2030/08/01 14:59:59","0","2022/03/21","0","0","0","0","2"
"2","100","0","31163","28014","116301","2030/08/01 14:59:59","0","2022/03/21","0","0","0","0","2"
"1","100","0","31108","28015","110801","2030/08/01 14:59:59","0","2022/03/21","0","0","0","0","2"
"2","100","0","31162","28015","116201","2030/08/01 14:59:59","0","2022/03/21","0","0","0","0","2"
"1","100","0","31042","28016","104201","2030/08/01 14:59:59","0","2022/04/18","0","0","0","0","2"
"2","100","0","31084","28016","108401","2030/08/01 14:59:59","0","2022/04/18","0","0","0","0","2"
"3","100","0","31173","28016","117301","2030/08/01 14:59:59","0","2022/04/18","0","0","0","0","2"
"1","100","0","31014","28017","101401","2030/08/01 14:59:59","0","2022/04/18","0","0","0","0","2"
"2","100","0","31122","28017","112201","2030/08/01 14:59:59","0","2022/04/18","0","0","0","0","2"
"3","100","0","31157","28017","115701","2030/08/01 14:59:59","0","2022/04/18","0","0","0","0","2"
"1","100","0","31053","28018","105301","2030/08/01 14:59:59","0","2022/04/18","0","0","0","0","2"
"2","100","0","31142","28018","114201","2030/08/01 14:59:59","0","2022/04/18","0","0","0","0","2"
"1","100","0","31068","28019","106801","2030/08/01 14:59:59","0","2022/05/16","0","0","0","0","2"
"2","100","0","31212","28019","121201","2030/08/01 14:59:59","0","2022/05/16","0","0","0","0","2"
"1","100","0","31047","28020","104701","2030/08/01 14:59:59","0","2022/05/16","0","0","0","0","2"
"2","100","0","31136","28020","113601","2030/08/01 14:59:59","0","2022/05/16","0","0","0","0","2"
"1","100","0","31027","28021","102701","2030/08/01 14:59:59","0","2022/05/16","0","0","0","0","2"
"2","100","0","31090","28021","109001","2030/08/01 14:59:59","0","2022/05/16","0","0","0","0","2"
"3","100","0","31170","28021","117001","2030/08/01 14:59:59","0","2022/05/16","0","0","0","0","2"
"1","100","0","31071","28022","107101","2030/08/01 14:59:59","0","2023/01/15 15:00:00","0","0","0","0","2"
"2","100","0","31061","28022","106101","2030/08/01 14:59:59","0","2023/01/15 15:00:00","0","0","0","0","2"
"3","100","0","31070","28022","107001","2030/08/01 14:59:59","0","2023/01/15 15:00:00","0","0","0","0","2"
