abd028eac73488723dea753e8f9b1b0ee82248ac32d4bec16d83748e6fa85f78,fe0c85ecd189120df42efa3bed6439ac67d31a8ab390aecf172c476ecff62434,1feebc73f784d92841ff4dc0293a411a1aae5892572a7de0dcb57cd67fa9e28c,ae9b0b32ee8563943e04b26b74ceadb60a3a0fc99604d5509223854e9455a2d2,be7667f50de8cc1b765cbf9ec6e3e2b5f4e40c1662d28abf3b7193dc9be620c9,8185fbcd6bf5b4d41bbe1782a7336178468260da7ed72752f9dbc21b5e8f15b3,84e43ce0a47bfe8b8e379e5398e75ae4e2e5e0acceaec0529cfc52a5b5ffe7f2,ddf41dfb5b4d10744246624179b012f8dc7a00f65bbb573ed2ffcf30a1b7db33
"2001","0","0","短時間、障害物バリアを展開！","0","3","短時間、障害物バリアを展開する　（ＴＰ上昇率：大）","101"
"3","5","0","中時間、スピードとジャンプ小アップ！","5","5","中時間、スピードとジャンプを　　小アップ（ＴＰ上昇率：小）","102"
"1","0","0","短時間、スピード中アップ！","6","4","短時間、スピードを中アップ　　　（ＴＰ上昇率：中）","103"
"2001","0","0","中時間、障害物バリアを展開！","0","5","中時間、障害物バリアを展開する　（ＴＰ上昇率：小）","104"
"1","0","0","中時間、スピード小アップ！","3","6","中時間、スピードを小アップ　　　（ＴＰ上昇率：小）","105"
"1001","0","0","中時間、対戦相手のスピード小ダウン！","4","6","中時間、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：大）","106"
"3","16","0","中時間、スピードとジャンプ特大アップ！","17","5","中時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：小）","107"
"1","0","0","ラウンド中、スピード中アップ！","8","40","ラウンド中、スピードを中アップ　（ＴＰ上昇率：小）","108"
"1","0","0","短時間、スピード特大アップ！","30","4","短時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","109"
"1001","0","0","ラウンド中、対戦相手が大きく減速！","10","40","ラウンド中、対戦相手のスピードを中ダウン（ＴＰ上昇率：小）","110"
"2001","0","0","ごく短時間、障害物バリアを展開！","0","1","ごく短時間、障害物バリアを　　　展開する（ＴＰ上昇率：大）","111"
"1004","0","0","短時間、先頭の対戦相手が大きく減速！","15","4","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：小）","112"
"1","0","0","中時間、スピード小アップ！","5","6","中時間、スピードを小アップ　　　（ＴＰ上昇率：大）","113"
"2","0","0","中時間、ジャンプ小アップ！","5","5","中時間、ジャンプを小アップ　　　（ＴＰ上昇率：大）","114"
"2002","0","0","長時間、バリアで能力ダウンを防ぐ！","0","7","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：特大）","115"
"1","0","0","累積で、スピード小アップ！","3","25","累積で、スピードを小アップ　　　（ＴＰ上昇率：特大）","116"
"1001","0","0","累積で、対戦相手が小さく減速！","3","25","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","117"
"3","20","0","長時間、スピードとジャンプ特大アップ！","30","7","長時間、スピードとジャンプを　　特大アップ（ＴＰ上昇率：中）","118"
"1004","0","0","短時間、先頭の対戦相手が大きく減速！","15","4","短時間、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","119"
"2002","0","0","長時間、バリアで能力ダウンを防ぐ！","0","7","長時間、能力ダウンを防ぐバリアを展開する（ＴＰ上昇率：大）","120"
"2","0","0","長時間、ジャンプ特大アップ！","30","12","長時間、ジャンプを特大アップ　　（ＴＰ上昇率：中）","121"
"1004","0","0","累積で、先頭の対戦相手が大きく減速！","15","30","累積で、先頭の対戦相手のスピードを大ダウン（ＴＰ上昇率：中）","122"
"4","2","8","短時間大きく加速した後、ごく短時間減速！","11","4","短時間スピード大アップ後、　　　スピードダウン（ＴＰ上昇率：大）","123"
"1","0","0","長時間、スピード中アップ！","9","8","長時間、スピードを中アップ　　　（ＴＰ上昇率：大）","124"
"2001","0","0","短時間、障害物バリアを展開！","0","4","短時間、障害物バリアを展開する　（ＴＰ上昇率：中）","125"
"1001","0","0","累積で、対戦相手が小さく減速！","3","30","累積で、対戦相手のスピードを　　小ダウン（ＴＰ上昇率：特大）","126"
"1","0","0","長時間、スピード特大アップ！","22","10","長時間、スピードを特大アップ　　（ＴＰ上昇率：特小）","127"
"2","0","0","短時間、ジャンプ特大アップ！","30","4","短時間、ジャンプを特大アップ　　（ＴＰ上昇率：大）","128"
"1001","0","0","短時間、対戦相手のスピード特大ダウン！","20","3","短時間、対戦相手のスピードを　　特大ダウン（ＴＰ上昇率：大）","129"
"1","0","0","短時間、スピード特大アップ！","30","4","短時間、スピードを特大アップ　　（ＴＰ上昇率：大）","130"
