68904724d20575188e0c07c397a44468cf8cec365fbfcde0dff0b2a77acf103c,ecd652d653740f0e0fc24d5587fce74680e62c6fcf02b2c44c195708bea987aa,31ed9926487c542acc4d3ddc24f0b728717ac5ace74e743ce3e3c76b9b45e603,3a9ffe7a43770cf5c6294db9c417dcf6ff378c9a1e9408bcc60387374f4805ce,c22f9743f49cabc239bd2cbf859306d73c26459d3b11128a58a0b8c35e8d5381,766df9442ae5db013db2fbb4452ba8970e1095fd97df79094afbeb9ed0458b67,f8d252701063a05d5b8f440014c2932a3b2a26d6e2a6f681828d0d7e5444556a,eaf31411065e59cdc5704de5ee36169b2907beae3f667e148137387211f915ea,035227bbf1d80508f860e4bb47a147bf7a1c320ab520ae32ce53728c4d9ec590,222aba9d53f3129ad482750a3d240ca81df04cff51fd578ff22c01456a63baa1,53948167504e1a756f4eb9a0586da70194dd790d45e56fa8626ef864dda4c4f6,ffe85f35f15e3b5499b46bd8e69285afa0075357c3a5b7fa3a651fdef645ecc2,970646b320bbb930be18f241d9dda0e82bad4ff173806c7d845ff81b89e16375,ab0bf576f8f4a1ea268d498afef1ac1755fc84b0b1b2336b339ecd4247257d20,5332bc54beae4b1755c1d96af49d758bdfe7fb72d3ae48707e9df77c2ef483be,9cba6e85141ed75ff51137edfacced281e2596207f500d5448f5575c127c6241,1f61976e223d53931d419eba2ee7ad07cd51d6ee3296dad6b7c6875149a4f9d6,808152b1cf41fbf6a88034fe9aef0cc0ee1ac80ca5d6d0e2fa8bad0ec14f2a48,b86f7f440ac1cff286d905ad07011874a5414673f1f54a4d278f104723606b16,bab57529f4bebf15c15abe07798738e0b9da97c140f2788ab8fcc1fa2ea137b0,bb838070532110bd1ec771b4e0acf5e7f66ca88360732a71c450b58af9c3d9b9,d5d100fdbd6eecccc79c66a6415269569ca11e39653524a622c22b8ee01b1724,2e598c0f26f9c194258f4a4bc020af2abc5d082e4a79fd4f503ab6be0c686217,91b5b069011f0ff4d9ac998ba3f8c56376fd6bb2e1e2fa3f0450e8e540a44146,7393ab16c5ebf21659d133d01a8b2f7867465978104034947216ece5a2b18b55,f4c7c67a20cf5dc0ca9806645ed2d4de82edf81a88e7aff9150aa81f7d51f681,d6262f947bf987caf559c6d171454f11688cb7457f75f1540502ce66dfd399c4,8b9b3082e77b5efbd0f12e9e450db8a14fa21989fd5896f930f539a2585506ce,14735acc8c766e09ccb91ad49915f1329792b5cd8bb36d1bddc476f461f0e06b,6e379f3a6468c1ce7529a8db8a6f086d713abd0b0e5da769c304831022321b7d,2c8461ec33c14790a9639ecc828bdde1886426d6e6a8231a7e6438a8f7562ad5,aec658baf33662eea71742642bdd32b3bbb7202f0f0a6fa8f08eb62c93c65141,eb11ffdc8a49a7777ff81a9ff4a56786ff14e0283e504e6c7242342c84a974d1,7de582c7dd50d7dc59327c1dc83ac27a2e432e6facfe9d4cb97dab97d1c84670,2b6a29b18bcd41f3264e94e803a3a3ab8004c30424c9f3d343f42e70ee17f067,5071263529408658c97bbf6f0a1d2b9ed268a7cdfe1c14512c92c6057f1f25a9,274b465b1207ac667374bbf69269a27958f3bca29a073008f9533431c8809ced,ee4be5252801e45684402660a9089f193e5b12d88b165adc264b17ebb6f9d83b
"650002011","0","0","0","670090110","1","18","0","0","0","0","0","0","0","670110010","0","0","273","670300010","0","0","0","0","0","0","36","1","61001005","1","1","30","0","61001007","0","0","1","0","61001004"
"650002012","0","0","0","670120008","1","66","0","4","0","0","0","0","0","670390010","0","0","273","670300010","0","101011","0","0","0","0","66","1","10011003","1","2","66","0","10011001","0","0","1","0","10011002"
"650002013","101011","0","0","670380009","1","66","670230010","0","0","0","0","0","0","670420010","0","0","273","670050009","0","0","0","4","0","0","66","1","10011006","1","3","66","0","10011004","0","0","1","0","10011005"
"650002021","0","0","0","670370011","1","18","0","0","0","0","0","0","0","670440011","0","0","281","670060011","0","0","0","0","0","0","36","1","61001005","1","1","30","0","61001007","0","0","1","0","61001004"
"650002022","0","0","0","670330009","1","66","0","4","0","0","0","0","0","670080011","0","0","281","670210111","0","101011","0","0","0","0","66","1","10011003","1","2","66","0","10011001","0","0","1","0","10011002"
"650002023","101011","0","0","670290111","1","66","670340011","0","0","0","0","0","0","670160011","0","0","281","670380110","0","0","0","4","0","0","66","1","10011006","1","3","66","0","10011004","0","0","1","0","10011005"
"650002031","0","0","0","670060012","1","18","0","0","0","0","0","0","0","670130012","0","0","288","670090012","0","0","0","0","0","0","36","1","61001005","1","1","30","0","61001007","0","0","1","0","61001004"
"650002032","0","0","0","670090012","1","66","0","4","0","0","0","0","0","670070012","0","0","288","670300112","0","101011","0","0","0","0","66","1","10011003","1","2","66","0","10011001","0","0","1","0","10011002"
"650002033","101011","0","0","670040011","1","66","670210112","0","0","0","0","0","0","670100012","0","0","288","670030012","0","0","0","4","0","0","66","1","10011006","1","3","66","0","10011004","0","0","1","0","10011005"
"650002041","0","0","0","670030013","1","18","0","0","0","0","0","0","0","670020013","0","0","298","670280013","0","0","0","0","0","0","36","1","61001005","1","1","30","0","61001007","0","0","1","0","61001004"
"650002042","0","0","0","670120011","1","66","0","4","0","0","0","0","0","670390013","0","0","298","670300013","0","101011","0","0","0","0","66","1","10011003","1","2","66","0","10011001","0","0","1","0","10011002"
"650002043","101011","0","0","670270013","1","66","670160013","0","0","0","0","0","0","670420013","0","0","298","670380112","0","0","0","4","0","0","66","1","10011006","1","3","66","0","10011004","0","0","1","0","10011005"
"650002051","0","0","0","670090114","1","18","0","0","0","0","0","0","0","670110014","0","0","309","670300014","0","0","0","0","0","0","36","1","61001005","1","1","30","0","61001007","0","0","1","0","61001004"
"650002052","0","0","0","670090014","1","66","0","4","0","0","0","0","0","670070014","0","0","309","670300114","0","101011","0","0","0","0","66","1","10011003","1","2","66","0","10011001","0","0","1","0","10011002"
"650002053","101011","0","0","670330012","1","66","670130114","0","0","0","0","0","0","670250014","0","0","309","670290214","0","0","0","4","0","0","66","1","10011006","1","3","66","0","10011004","0","0","1","0","10011005"
"650002061","0","0","0","670370015","1","18","0","0","0","0","0","0","0","670440015","0","0","313","670060015","0","0","0","0","0","0","36","1","61001005","1","1","30","0","61001007","0","0","1","0","61001004"
"650002062","0","0","0","670050014","1","66","0","4","0","0","0","0","0","670140015","0","0","313","670300015","0","101011","0","0","0","0","66","1","10011003","1","2","66","0","10011001","0","0","1","0","10011002"
