6614a787da53064881aa7e523e1377234762977fc844e158bbe424f288e2b878,370eb952c285bcdb0276976c4d2b2cc6eaa5bd0e5631edd1d783e1873db4f6bc,a13834f243a25564996298696769be0af0209519cb36db48fa317c30ab6e15e0
"通常時","装備中","106101"
"通常時","特殊スキル","106701"
"通常時","権能解放中","106801"
"通常時","特殊スキル","106901"
"通常時","変身中","115801"
"通常時","特殊スキル","116401"
"通常時","特殊スキル","118201"
"通常時","特殊スキル","118501"
"通常時","特殊スキル","118601"
"通常時","初回発動時","120801"
"通常時","特殊スキル","122001"
"通常時","共闘中","122301"
"通常時","特殊スキル","122701"
"通常時","特殊スキル","123001"
"通常時","共闘中","125001"
"通常時","特殊スキル","125801"
"通常時","特殊スキル","126001"
"通常時","特殊スキル","126101"
"通常時","特殊スキル","126201"
"通常時","【フルチャージ】中","126401"
"通常時","特殊スキル","126501"
"通常時","特殊スキル","129001"
"通常時","特殊スキル","129301"
"通常時","特殊スキル","129401"
"通常時","初回発動時","129501"
"通常時","特殊スキル","129601"
"通常時","特殊スキル","129701"
"通常時","特殊スキル","130001"
"通常時","特殊スキル","130101"
"通常時","特殊スキル","131201"
"通常時","特殊スキル","131801"
"通常時","特殊スキル","132001"
"通常時","鬼化中","132101"
"通常時","初回発動時","132401"
"通常時","初回発動時","132901"
"通常時","特殊スキル","133101"
"通常時","召喚体スキル","133801"
"通常時","特殊スキル","134501"
"通常時","特殊スキル","134901"
"通常時","特殊スキル","135001"
"通常時","特殊スキル","135101"
"通常時","特殊効果","135201"
"通常時","特殊スキル","135601"
"通常時","初回発動時","135901"
"通常時","特殊スキル","136001"
"通常時","特殊スキル","136101"
"通常時","初回発動時","136401"
"通常時","パターン変化後","137401"
"通常時","特殊スキル","181201"
