3301b7de4ffb3f8e6e9c2c398be74399c68d03f5561dd973097fd7cf9a2bea36,f079d60f6ec1c420932017c141c1559817704a55e300f4a0814b8494ba47fade,d9ab6b7f565204a344b15b6c7011b25ad8a76108278e8b1c0e71f67646fd0293,e6ae36974ae422cc2ec66470d1eafc7ba5f57f65ecc68b6a13874a148e0be50f
"5046601","1","1004601","1004601"
"5048007","1","1004801","1004801"
"1004801","2","1004802","1004802"
"5056601","1","1005601","1005601"
"5061601","1","1006101","1006101"
"5061602","3","1006102","1006102"
"5061601","1","1006103","1006103"
"5027704","4","1006601","1006601"
"0","5","1007001","1007001"
"5046601","1","1007301","1007301"
"5048007","1","1007501","1007501"
"1004801","2","1007502","1007502"
"0","6","1008201","1008201"
"5056601","1","1008301","1008301"
"5061601","1","1008901","1008901"
"5061602","3","1008902","1008902"
"5061601","1","1008903","1008903"
"5092601","3","1009201","1009201"
"5100601","3","1010001","1010001"
"5100601","3","1010201","1010201"
"0","6","1010901","1010901"
"5092601","3","1011901","1011901"
"5100601","3","1012701","1012701"
"5056601","1","2003201","2003201"
