bb7524d4d8259c1c8cda70f454600a831b0d5a6f677e3ff094b854d0d8b77f0a,17b45561055998db801e0a8c9084b5622784fa70e446653a894874ba2312d9d1,7f32f6285c68da295843cc76b7ebfd6832fdc1e6a87a345ce2893d939dc2bbce,ee3d16c28a8b783595a56a80bac9e8e3c576c150d9dcee95c45b2a09f10c6665
"1","2500","1","1"
"2","2000","2","1"
"3","2000","107","1"
"4","2000","4","1"
"5","1000","3","1"
"6","1000","110","1"
"7","1000","5","1"
"8","2000","6","1"
"9","2000","105","1"
"10","2000","7","1"
"11","0","1000","3"
"12","20","100","1"
"13","1000","108","1"
"14","20","101","1"
"15","5","102","1"
"16","1000","109","1"
"17","5","103","1"
"18","500","1","1"
"19","0","2000","2"
"20","500","1","1"
"21","0","25","5"
"22","3000","2","1"
"23","3000","107","1"
"24","3000","4","1"
"25","1500","3","1"
"26","1500","110","1"
"27","1500","5","1"
"28","3000","6","1"
"29","3000","105","1"
"30","3000","7","1"
"31","0","1","6"
"32","30","100","1"
"33","1500","108","1"
"34","30","101","1"
"35","10","102","1"
"36","1500","109","1"
"37","10","103","1"
"38","500","1","1"
"39","0","3000","2"
"40","500","1","1"
"41","0","50","4"
