265065e06e22a2b0855230ed0607a7ea811f0621564ab3f3d65f454c33118014,b430896a7572705570977c6fb1187722a29e7031fc4303136b99795604469944,800aeee7f8f6837e969664a33a7d35926bb44d53d3063f6d7036c0eba6c85891,cd967f9b6ceec903fd2f0e3f40b5bd60a4aa601a7ccf476bee5d1a9e323793e3,4c17a07b2d8b8c24442413600d8f973e41bff6a688a2fa10a91daa3996846a46,fd622a5f2949a78eb0418c2f6409b847e653f431ffd9815a5b360f2aeb863183,bdfe8db95d6c13a1bb9500abb3301829cb3993f89277fad97afcc5ed911a81ea,1a301b41d303f9804697dbb9415010fc46c57b904a6bf82d0a072e4eaf76c781,ec1e0e26728d397fc8ff5aa96c48c9c42ded40a2204cb439affad881d2a4f19d,990f109fff5fb81d4584a9742ad34bc72cbecf031a93c8ae7a71360015647b78,0ff870708f84e7089f346f30243fa0d1cbfecbbdc9e39052c45d759fc0fcdfbf,259f6ca5467c8d276a4afa698b0bea7f4bbddbfdbb94b892dbf472480f7c6b0e,61cdfd5b30e261c9578794bcc509882e1c118f7ba73332e548f4ad19270b55d3,3fe57822b46bf55468358e77b7fc43d7e7cb511e60e6a12fb6d98e860f599c2d,d9277f7426aaec243e8ee1fc628bd5d646cb4ef706e99d5ca9e2ab21c892234a,7ece88c7e12dbc73f82bafb452890b997e81b1c76420df9581c54a75e9b4802f,f72b669665a3579371aa6ac9aae5cd4d0fe6f1b0339f6eee14412b110fb5c06a,4736c9870ee99e736b4210dc62c9d3285f1713c23e9f7c679707cb33c28c8479,d244b165f9971f14741fdf98d13cd2d9c6debeb45fbb50e3f94c60efd6d26352
"2","2","0","50","20004","1","1","2000000","1002200","0","0","0","94002","12","50","0","23001","80","0"
"2","2","0","100","20004","2","51","1600000","1002200","0","0","0","94002","12","40","0","23001","80","0"
"2","2","0","200","20004","3","101","1400000","1002200","0","0","0","94002","12","40","0","23001","60","0"
"2","2","0","500","20004","4","201","1200000","1002200","0","0","0","94002","12","35","0","23001","60","0"
"2","2","0","1000","20004","5","501","1000000","1002200","0","0","0","94002","12","35","0","23001","40","0"
"2","2","0","1500","20004","6","1001","800000","1002200","0","0","0","94002","12","30","0","23001","40","0"
"2","2","0","2000","20004","7","1501","600000","1002200","0","0","0","94002","12","25","0","23001","40","0"
"2","2","0","3000","20003","8","2001","600000","1002200","0","0","0","94002","12","25","0","23001","80","0"
"2","2","0","5000","20003","9","3001","400000","1002200","0","0","0","94002","12","20","0","23001","60","0"
"2","2","0","10000","20003","10","5001","300000","1002200","0","0","0","94002","12","15","0","23001","40","0"
"2","2","0","100000","20003","11","10001","200000","1002200","0","0","0","94002","12","10","0","23001","20","0"
"2","2","0","200000","20003","12","100001","100000","1002200","0","0","0","94002","12","5","0","23001","12","0"
"2","2","0","300000","20003","13","200001","80000","1002200","0","0","0","94002","12","5","0","23001","8","0"
"2","2","0","400000","20003","14","300001","60000","1002200","0","0","0","94002","12","5","0","23001","5","0"
"2","2","0","-1","20003","15","400001","50000","1002200","0","0","0","94002","12","5","0","23001","3","0"
