2dbd49999bf6f1dc44e6b00a1c9a042a9c0af2c5635c9e7dc1c10658e1c6aefd,e665783d21c67d2064afdcccacb9d422dd394029afa680e67e113874f93a7f9e,b68c922bba2482610573f56750d50553293ef0ecad9be62bbf696c53d1062867
"物理","1","icon_unit_sort_physics"
"魔法","2","icon_unit_sort_magic"
"アタッカー","100","icon_unit_role_001"
"ブレイカー","101","icon_unit_role_002"
"バッファー","102","icon_unit_role_003"
"デバッファー","103","icon_unit_role_004"
"ブースター","104","icon_unit_role_005"
"ヒーラー","105","icon_unit_role_006"
"タンク","106","icon_unit_role_007"
"ジャマー","107","icon_unit_role_008"
"単体","200","icon_unit_sort_single_attack"
"範囲","201","icon_unit_sort_range_attack"
"継続ダメージ","203","icon_unit_sort_slip_attack"
"物攻ダウン","301","icon_status_13"
"魔攻ダウン","302","icon_status_15"
"物防ダウン","311","icon_status_14"
"魔防ダウン","312","icon_status_16"
"速度ダウン","321","icon_status_22"
"ＴＰ上昇ダウン","331","icon_status_19"
"ＴＰダウン","332","icon_status_19"
"物理無効","401","icon_status_24"
"魔法無効","402","icon_status_25"
"物理吸収","403","icon_status_26"
"魔法吸収","404","icon_status_27"
"物理魔法無効","405","icon_status_28"
"物理魔法吸収","406","icon_status_29"
"物攻アップ","501","icon_status_01"
"魔攻アップ","502","icon_status_03"
"物防アップ","511","icon_status_02"
"魔防アップ","512","icon_status_04"
"速度アップ","521","icon_status_09"
"加算速度アップ","522","icon_status_152"
"物クリアップ","531","icon_status_06"
"魔クリアップ","532","icon_status_06"
"物クリダメアップ","533","icon_status_67"
"魔クリダメアップ","534","icon_status_69"
"ＴＰ上昇アップ","541","icon_status_07"
"前衛","700","common_unit_icon_front"
"中衛","701","common_unit_icon_middle"
"後衛","702","common_unit_icon_back"
"ＨＰ回復","800","icon_status_08"
"ＴＰ回復","801","icon_status_07"
"継続ＨＰ回復","802","icon_status_08"
"継続ＴＰ回復","803","icon_status_07"
"行動不能","901","icon_status_43"
"魅了・混乱","902","icon_status_36"
"挑発","903","icon_status_37"
"飛行","904","icon_status_132"
"調和","905","icon_status_203"
"ダメージカット","906","icon_status_75"
"行動不能無効","907","icon_status_129"
"タンク","10001",""
"前衛","10002",""
"中衛","10003",""
"後衛","10004",""
"物理攻撃","10005",""
"魔法攻撃","10006",""
"範囲攻撃","10007",""
"継続ダメージ","10008",""
"物防ダウン","10009",""
"魔防ダウン","10010",""
"物攻ダウン","10011",""
"魔攻ダウン","10012",""
"物防アップ","10013",""
"魔防アップ","10014",""
"TPダウン","10015",""
"回復","10016",""
"バリア","10017",""
"挑発","10018",""
"行動不能","10019",""
"召喚","10020",""
