8ed53f6144409b43575e457c201c0847ea3aca5f1e18b6a6071fa9f30b530786,786812c40ecd6c8ab9cfafc426007d69e1dc1e9358d668d748610c4f08c033ad,64bb521bdf32ed99871ff0e6bc98b13ddadc4f3b4a5ad1e22bc4124cfbc9a6fa,07b9d8b988f3e9a02f0271b2703f5aaf6d7a61234324d9c4da053f6f831281d6,3bffccd9e9b3a5f9b39c661d9f1d94ee37404ae31bc5acdb2d6917225f887a2d,108340d4bd2e2f5ee3aee8c57f31a633cd17af81afa248b48c4c7df03e6a73c9,ebb82dd9ec29a359d868f96b6ce8d48014eca6c0817f1e7e4b5a682c5ec44f6c,e87873b64ab7e55c9e2143580949930367df3fada86dc130765d946c8e073d53,1da43c1fd19bf765f9541b3a492f674ed14f5306629d6e2384e87aea481d6f34,1c084cd880e402def4176ad542f400f6fbb4eeead36df735bc38aaf9764072dd,e81bada7f281d3d6e97877d554fa2b67c34204ee27cf42aa2863d91ded61782e
"1010001","1.65","-175","1","113511","pkb_idle_normal","1","1","1","64","100"
"1010002","0.2","","3","pkb_talk_wish","","","1","113511","","1"
"1010003","","","21","vo_minigame_1006_top_101","","","1","vo_minigame_1006","0","0"
"1010004","0","0","11","今日も先生と一緒に\n頑張りましょうね～","0","0","1","113511","0","8"
"1010005","","","91","","","","1","0","",""
"1010006","0.2","","3","pkb_idle_normal","","","1","113511","","1"
"1020001","1.65","-175","1","113511","pkb_idle_normal","1","2","1","64","100"
"1020002","0.2","","3","pkb_talk_wish","","","2","113511","","1"
"1020003","","","21","vo_minigame_1006_top_102","","","2","vo_minigame_1006","0","0"
"1020004","0","0","11","みんなの力、先生は\n信じてますからね～！\nファイトですよ～♪","0.5","0","2","113511","0","6"
"1020005","","","93","","","","2","6","",""
"1020006","0.2","1","3","pkb_talk_fun","","","2","113511","pkb_idle_normal","0"
"1020007","","","91","","","","2","1020004","",""
"1020008","0.2","","3","pkb_idle_normal","","","2","113511","","1"
"1030001","1.65","-175","1","113511","pkb_idle_normal","1","3","1","64","100"
"1030002","0.2","1","3","pkb_smile","","0.2","3","113511","pkb_idle_normal","0"
