e54778c817a111391449a575f2120a6668052c958bee6ecb7b4f4c8083d5b7e9,5e23b4310a05df4e7565deccda275c593789b8db94c5692357dd96de53d1709b,a2f4de77f255bc4b9f3e14a5d7480544b3682e24ec299b6268ab0d83388ca2bf,9b51dd1cabd297582c3eb715233ff01d5de6735ce4b5d3ae577163f39b37aa2a,3141632e7d1b250a9f3a2f735b78658ac2d11fe5fc6caf0b8a380c5cc9fdb583,853201007e80d9648a7b6bc2171354e65e80034804b8e9459e75a8599cdcc6d7,180fba409c005d41eeed1f1409244714c87508d1f03ec6b218214ff8974ac91f,80dd754ade30a1b9877401c08e74ba1cae5504ac0714d536065ce472db6b3e48,33b8c971a726eba9594f331ad40e5a512b8780a789e4018d145d6184ef4eae6b,36eefcdb7f1b4c3b4c16aec5623ce3ae4584a848848d6b209c4999bde1131e9b
"0","100","パーツを20個獲得しよう","20","1","1","3","1","1","10000"
"0","100","パーツを25個獲得しよう","25","2","1","3","2","1","10001"
"0","100","パーツを30個獲得しよう","30","2","1","3","3","1","10002"
"0","100","パーツを35個獲得しよう","35","3","1","3","4","1","10003"
"0","100","パーツを40個獲得しよう","40","3","1","3","5","1","10004"
"0","100","パーツを45個獲得しよう","45","4","1","3","6","1","10005"
"0","100","パーツを50個獲得しよう","50","4","1","3","7","1","10006"
"0","101","総戦力を1500以上にしよう","1500","3","2","2","101","1","20000"
"0","101","総戦力を2000以上にしよう","2000","3","2","2","102","1","20001"
"0","101","総戦力を2500以上にしよう","2500","3","2","2","103","1","20002"
"0","101","総戦力を3000以上にしよう","3000","3","2","2","104","1","20003"
"0","101","総戦力を3500以上にしよう","3500","3","2","2","105","1","20004"
"0","101","総戦力を4000以上にしよう","4000","4","2","2","106","1","20005"
"0","101","総戦力を4500以上にしよう","4500","4","2","2","107","1","20006"
"0","101","総戦力を5000以上にしよう","5000","4","2","2","108","1","20007"
"0","101","総戦力を6000以上にしよう","6000","4","2","2","109","1","20008"
"0","101","総戦力を7000以上にしよう","7000","4","2","2","110","1","20009"
"0","101","総戦力を8000以上にしよう","8000","5","2","2","111","1","20010"
"0","101","総戦力を9000以上にしよう","9000","5","2","2","112","1","20011"
"0","101","総戦力を10000以上にしよう","10000","5","2","2","600","1","20012"
"0","200","バトルポイントを累計100pt獲得しよう","100","2","3","4","201","2","30000"
"0","200","バトルポイントを累計200pt獲得しよう","200","2","3","4","202","2","30001"
"0","200","バトルポイントを累計300pt獲得しよう","300","2","3","4","203","2","30002"
"0","200","バトルポイントを累計400pt獲得しよう","400","2","3","4","204","2","30003"
"0","200","バトルポイントを累計500pt獲得しよう","500","2","3","4","205","2","30004"
"0","200","バトルポイントを累計600pt獲得しよう","600","3","3","4","206","2","30005"
"0","200","バトルポイントを累計700pt獲得しよう","700","3","3","4","207","2","30006"
"0","200","バトルポイントを累計800pt獲得しよう","800","3","3","4","208","2","30007"
"0","200","バトルポイントを累計900pt獲得しよう","900","3","3","4","209","2","30008"
"0","200","バトルポイントを累計1000pt獲得しよう","1000","3","3","4","210","2","30009"
"0","400","フブキから5個パーツを獲得しよう","5","7","5","1","401","4","50000"
"0","400","フブキから10個パーツを獲得しよう","10","7","5","1","402","4","50001"
"0","400","フブキから15個パーツを獲得しよう","15","7","5","1","403","4","50002"
"0","400","フブキから20個パーツを獲得しよう","20","7","5","1","404","4","50003"
"0","400","フブキから25個パーツを獲得しよう","25","7","5","1","405","4","50004"
"0","400","フブキから30個パーツを獲得しよう","30","7","5","1","406","4","50005"
"0","400","フブキから35個パーツを獲得しよう","35","7","5","1","407","4","50006"
"0","400","フブキから40個パーツを獲得しよう","40","7","5","1","408","4","50007"
"0","400","フブキから45個パーツを獲得しよう","45","7","5","1","409","4","50008"
"0","400","フブキから50個パーツを獲得しよう","50","6","5","1","700","4","50009"
"30009","209","バトルポイントを800pt獲得しよう（何度でも）","800","7","6","4","999","2","60000"
"0","300","ステージ14をクリアしよう","14","6","7","3","799","3","70000"
"0","301","ステージ50をクリアしよう","50","8","7","3","800","3","70001"
