d0e3a413a3c73871445e2e1729de98053b5aa9f4fb50c9bb397da4c40d05d0dd,29dde2f8d2b867d3a8854ec8702306ef33d45a58cdf97d69afa795ac35048f37,4f5e76633363cadc9946897fb77c53f59aa3010015460762019bc38624e9b202,f1fa80b4d13451a229d065ecb54ad1ad8fc0a6cd76cce06e9f49af240b3ae55e,ade47d030c32b99f3bd19c738722a99066e85222d35af476a894c04e0544fe04,5c3fae414754d90f465be7366f37ba6f43a70f6c071cbbcd29c43ebf4a5b6c4a,182b61561090514f526e8622f75da41ad6b20f2cda0d00c47f4c3ba5d6f5ec89,264e9e95f7638a6804816690e06cb19fe53ae24ca564db80499b31c46e66f4b3,f0de87803736f084ea36683a23db01d908b5a8678c55eba50c3b428985647a48,04f0fd46facaf0267aac56fdda20c90d8cd2aae5e98fc9fb6e12fe302a782776,a6cc2855b7f42d36f9032d966a5cd0cb0e5e73c2a4d03f2aa3b6143a9af43901
"1","0","5","-420","cgg_idle_normal","160","101","1","100","101001","-230"
"105811","1","1","375","cgg_idle_def","1.6","101","1","100","101002","-230"
"106011","1","1","490","cgg_idle_def","1.6","101","1","101","101003","-230"
"1","0","6","1","","0.1","101","1","1","101004","1"
"1","0","6","1","","0.1","101","105811","1","101005","1"
"1","0","6","1","","0.1","101","106011","1","101006","1"
"0","","93","","","","101","0.2","","101007",""
"vo_minigame_1007_top_talk_1_001","","21","0","","","101","vo_minigame_1007","0","101008",""
"見てください\nキャルちゃん♪\nカルミナのグッズが\nいっぱいですよ☆","0","11","0","0","0","101","105811","7","101009","0"
"cgg_idle_surprise1","","3","","","0.2","101","1","1","101010",""
"cgg_surprise_kira","0","3","cgg_talk_surprise_kira","","0.2","101","105811","0","101011","1"
"0","","93","","","","101","2.1","","101012",""
"cgg_idle_surprise3","","3","","","0.2","101","1","1","101013",""
"cgg_talk_joy1","","3","","","0.2","101","105811","1","101014",""
"","","91","","","","101","101009","","101015",""
"cgg_idle_def","","3","","","0.2","101","105811","1","101016",""
"vo_minigame_1007_top_talk_1_002","","21","0","","","101","vo_minigame_1007","0","101017",""
"こんなにあるのね…\nこういうのってつい\n全部集めたく\nなっちゃうのよね","0","11","0","0","0","101","106011","6","101018","0"
"cgg_idle_reaction1","","3","","","0.2","101","1","1","101019",""
"cgg_talk_surprise1","","3","","","0.2","101","106011","1","101020",""
"0","","93","","","","101","2.1","","101021",""
"cgg_idle_nod","","3","","","0.2","101","1","1","101022",""
"cgg_talk_bitter","","3","","","0.2","101","106011","1","101023",""
"","","91","","","","101","101018","","101024",""
"0","","93","","","","101","0.5","","101025",""
"cgg_idle_normal","","3","","","0.2","101","1","1","101026",""
"cgg_idle_def","","3","","","0.2","101","106011","1","101027",""
"cgg_idle_joy2","","3","","","0.2","101","105811","1","101028",""
"10","","12","","","0.2","101","105811","1.4","101029",""
"0","","93","","","","101","3","","101030",""
"cgg_idle_def","","3","","","0.2","101","105811","1","101031",""
"cgg_talk_surprise_dere","","3","","","0.2","101","106011","1","101032",""
"8","","12","","","0.2","101","106011","1.4","101033",""
"0","","93","","","","101","3","","101034",""
"cgg_idle_def","","3","","","0.2","101","106011","1","101035",""
"cgg_surprise1","0","3","cgg_idle_surprise1","","0.2","101","1","0","101036","1"
"4","","12","","","0.2","101","1","1.4","101037",""
"0","","93","","","","101","3","","101038",""
"0","","101","","","","101","101026","","101039",""
"0.5","","22","","","","101","0","","101040",""
"1","0","6","1","","0.1","101","1","1","101041","0"
"1","0","6","1","","0.1","101","105811","1","101042","0"
"1","0","6","1","","0.1","101","106011","1","101043","0"
"0","","93","","","","101","0.1","","101044",""
"cgg_idle_normal","","3","","","0","101","1","1","101045",""
"cgg_idle_def","","3","","","0","101","105811","1","101046",""
"cgg_idle_def","","3","","","0","101","106011","1","101047",""
"1","0","5","-420","cgg_idle_normal","160","102","1","100","102001","-230"
"105911","1","1","375","cgg_idle_def","1.6","102","1","100","102002","-230"
"106411","1","1","490","cgg_idle_def","1.6","102","1","101","102003","-230"
"1","0","6","1","","0.1","102","1","1","102004","1"
"1","0","6","1","","0.1","102","105911","1","102005","1"
"1","0","6","1","","0.1","102","106411","1","102006","1"
"0","","93","","","","102","0.2","","102007",""
"vo_minigame_1007_top_talk_2_003","","21","0","","","102","vo_minigame_1007","0","102008",""
"ライブ会場に到着です\n随分と大きくて\n開放的ですね…","0","11","0","0","0","102","105911","5","102009","0"
"cgg_idle_surprise1","","3","","","0.2","102","1","1","102010",""
"cgg_lookup","","3","","","0.2","102","105911","0","102011",""
"0","","93","","","","102","2.6","","102012",""
"cgg_talk_wish_surprise","","3","","","0.2","102","105911","1","102013",""
"","","91","","","","102","102009","","102014",""
"cgg_idle_def","","3","","","0.4","102","105911","1","102015",""
"vo_minigame_1007_top_talk_2_004","","21","0","","","102","vo_minigame_1007","0","102016",""
"カルミナのライブ……\nふふっ、楽しみね。\nあ、ちょっとグッズを\n見てきていいかしら。","0","11","0","0","0","102","106411","5","102017","0"
"cgg_idle_reaction1","","3","","","0.2","102","1","1","102018",""
"cgg_talk_surprise1","","3","","","0.2","102","106411","1","102019",""
"0","","93","","","","102","2.6","","102020",""
