83bd4959da1fc80eecb5c21c5483d731f05c73547fda9ad1720cff3b2c29ea42,65a96711523600af40dbe3b73112289ac1a50d80058f4448beb8332bcff579ea,8df84e920a8e645b76e2fc6059bc8d453b71f564136dd3c9fc2a347faa25724a,703ff84d39575aac42d63621145c8fa6b5b761c22de9c5c75e6c748456c473d1,ff2b42da0fdce4d773f8b30455a12b46e271999a087abccf38ec37f10fa348bc,894d84c1966732895d9d3d125c2d4f1f74f08ebafb33592f9a97447ee1ef167c,7ebb90709e0ff590c8b59b495008d9d4b935bc4bbeebf06d17c02304b15a5c25
"1","1","10008111","","0","0","10008101"
"2","1","10008115","","0","0","10008112"
"3","3","10008103","","0","0","10008101"
"4","3","10008115","","0","0","10008105"
"5","4","150","","0","0","10008112"
"6","1","10028111","","0","0","10028101"
"7","1","10028115","","0","0","10028112"
"8","3","10028103","","0","0","10028101"
"9","3","10028115","","0","0","10028105"
"10","4","150","","0","0","10028112"
"11","11","20012104","","0","20012107","20012104"
"12","11","20012108","","0","20012109","20012108"
"13","11","20012110","","0","20012114","20012110"
"14","11","20012115","","0","20012115","20012115"
"15","4","120","","0","0","20012110"
"16","1","20008111","","0","0","20008101"
"17","1","20008115","","0","0","20008112"
"18","3","20008103","","0","0","20008101"
"19","3","20008115","","0","0","20008105"
"20","4","150","","0","0","20008112"
