561f2ae28aaac53c0248eddd0aba348775f665fdfb3a5d2afd7693cca9cb6a06,14a3d741f75a53ae79d079242f2473fa7d14776d5fa6a920f85a2e11e744d628,c64e5bf59aee108f938ffdafc0c3cb1020f1952900d7ee861276cfefbb383c10,55478c2e72abb7268e36aa7c44b44e8904fee9ad45168c2e721c6c1255cb2029,91597b1d28a5e9090babac6cbcf116f245f1466f5c90794fe1067ce170267880,5855cb9e5e5a238fcaabdd19853248aa8151333e62548fe38c0b9c9eb6a60d18,35b57a4319de7091c323e65e298d0cfb8ea1e6d8737556d9bdabe43706741fe6,48b4e69d3eb087bc8f87d8da79bd9c38d8d003e425a3639c0bb7b4b458a70083,6c566ffe9887af3aa2b119a818ecf6a98569e5ed0eb5c0c8373628375de81ca2,5580733fb7fa463d610897bfac75345c3c3a1b7c2f85dfbd6714d899ee7aac1b
"訓練はまだ\nここからですわ","vo_minigame_1013_icon_2_002_001","2","2","vo_minigame_1013_icon_1_002_001","1000","3000","1","2","調子が上がって\nきたなっ"
"クスクス、悪くない\n流れですわね","vo_minigame_1013_icon_2_003_001","2","2","vo_minigame_1013_icon_1_003_001","5000","3000","2","2","ほらほら、\nまだいけるだろ？"
"すばらしい\n記録ですわ","vo_minigame_1013_icon_2_004_001","2","2","vo_minigame_1013_icon_1_004_001","10000","3000","3","3","へへっ、おまえら\nやるじゃねえか！"
"乗りに乗って\nいますわね","vo_minigame_1013_icon_2_005_001","3","2","vo_minigame_1013_icon_1_005_001","10000","3000","4","3","あたしたちはまだ\n止まらねえぜ！"
"まだまだ行きます\nついてきなさい","vo_minigame_1013_icon_2_005_002","3","2","vo_minigame_1013_icon_1_005_002","10000","3000","5","3","見てろよ！\nマコト班の快進撃だ！"
"エリコ班の\n本領発揮ですわ！","vo_minigame_1013_icon_2_005_003","3","2","vo_minigame_1013_icon_1_005_003","10000","3000","6","3","うおぉぉっ！\n絶好調だぜ！"
"ここからは\n前人未到の領域です！","vo_minigame_1013_icon_2_006_001","4","2","vo_minigame_1013_icon_1_006_001","0","3000","7","3","どこまで行けるか\n楽しみだなっ！"
"厄介でしたわ…","vo_minigame_1013_icon_2_007_001","5","3","vo_minigame_1013_icon_1_007_001","1","1000","8","4","まだ諦めんなよっ"
"油断大敵です","vo_minigame_1013_icon_2_007_002","5","3","vo_minigame_1013_icon_1_007_002","1","1000","9","4","冷やっとしたぜ…！"
"忌々しいっ…","vo_minigame_1013_icon_2_007_003","5","3","vo_minigame_1013_icon_1_007_003","1","1000","10","4","弱音を吐くなっ"
"大所帯ですわね","vo_minigame_1013_icon_2_008_001","6","4","vo_minigame_1013_icon_1_008_001","99","1500","11","3","マコト班集合！"
"エリコ班へようこそ","vo_minigame_1013_icon_2_008_002","6","4","vo_minigame_1013_icon_1_008_002","99","1500","12","3","連携してくぞ！"
"ナナカちゃんに\nお任せあれ","vo_minigame_1013_icon_2_020_001","8","1","vo_minigame_1013_icon_1_020_001","0","3000","13","6","みんなに力を！"
"はっはっは！\n任せろ！","vo_minigame_1013_icon_2_022_001","9","1","vo_minigame_1013_icon_1_022_001","0","3000","14","7","任せてくれたまえ"
"どんどんいくわよ","vo_minigame_1013_icon_2_023_001","10","1","vo_minigame_1013_icon_1_023_001","0","3000","15","8","ほな、いきまひょか"
