a6c319404dcffac3fe143a49ec783904ac92a539532146d933082831bcf36060,97180fc97688a7ef7a31cf90279b2ad1d7d65a2ce8a4f88a59ca86b80dc3b4a1,908623786214afac31d89bf98ce18083cb718051bf27ed6830e5755d03c7f464,3cb1987b972bd36a43ce99e9ea693efb5bcabc024470e150dec737555135e402,7eac185ab54ead6b9c463f9cc97445390461311cbcf9ba99561f7e7835bfebfa,460e1ee8291096303f9ad0ffb20db866db0c41133a9d5ff917546905e6c2d69b,e852ecc71cef09f23074900b32b0b7e7459c8449a9df880e05459c1f4c9a45bb,0ed84f32d802032a904872fd6513737078bcc17cf35ea55121eab980df5b4dba
"0","30050237","3000","10050640","0","10050650","30050236","0"
"0","30050414","3000","10050659","0","10050670","30050413","0"
"0","30050422","3000","10050723","30050423","10050735","30050421","0"
"0","30050425","3000","10050818","30050426","10050360","30050424","0"
"0","30060188","3000","10060402","30060189","10060413","30060187","30060190"
"0","30060192","3000","10060480","30060193","10060492","30060191","0"
"0","30060195","3000","10060542","30060196","10060545","30060194","30060197"
"30060212","30060209","3000","10060591","30060210","10060606","30060208","30060211"
"0","30070187","3000","10070608","30070188","10070626","30070186","30070189"
"30070202","30070199","3000","10070914","30070200","10070926","30070198","30070201"
"30070210","30070207","3000","10071038","30070208","10071052","30070206","30070209"
"0","30070194","3000","10071117","30070195","10071131","30070193","30070196"
"0","30080237","3000","10080640","0","10080650","30080236","0"
"0","30080414","3000","10080659","0","10080670","30080413","0"
"0","30080422","3000","10080723","30080423","10080735","30080421","0"
"0","30080425","3000","10080818","30080426","10080360","30080424","0"
"0","30090188","3000","10090402","30090189","10090413","30090187","30090190"
"0","30090192","3000","10090480","30090193","10090492","30090191","0"
"0","30090195","3000","10090542","30090196","10090545","30090194","30090197"
"30090212","30090209","3000","10090591","30090210","10090606","30090208","30090211"
"0","30100187","3000","10100608","30100188","10100626","30100186","30100189"
"30100202","30100199","3000","10100914","30100200","10100926","30100198","30100201"
"30100210","30100207","3000","10101038","30100208","10101052","30100206","30100209"
"0","30100194","3000","10101117","30100195","10101131","30100193","30100196"
"0","30110237","3000","10110640","0","10110650","30110236","0"
"0","30110414","3000","10110659","0","10110670","30110413","0"
"0","30110422","3000","10110723","30110423","10110735","30110421","0"
"0","30110425","3000","10110818","30110426","10110360","30110424","0"
