b21f65d9d04ecdc2ab38b4d94022ffc5377c072ae9290d620365b3ebe371d132,a84a16f13888cf584fbc72bab12c68a484846fe948c8914f84c91f10186bca9b,2a3b3e563bfe9de354912160ad2231f774f01f6178d35d81926f65bf8cae9f10,89f4c61150ce09659eb5f7c545509dc7123980ace047736bbc12274571f7f5b5,004e42467e1b215884567e305346cabf86c0354bb02f144d14a81c1d25894a6b,aff969f003eeb8fa3290f96c73c985f6ac6bb6e9d84a3ce2578e72eba544a2c8,732e3017f9aca61cd7eb2c3fd2f7979196a1f9f6ba13dc4ff579f2f76cb8833d,eb0ce2ce9bb18ebb22169546730abbca9fc91767d044b26d0c40cf18b0094a77,e53857e3e61a1e09f54a15815def7e008f49f332042cfc5cc85b85d06f52e401,fa5d74a7b48f508fe8006dd91f5a84e5e9b890bfde20d71a7d33532bb1ec47ae,72c57667ebcc240410e810591d608bf753f5ca7fbde0ebbd8ca2d50e2375c2e7
"30","52","12","1","talk_sad","1","5","2.2","0","-250","12001"
"1","1","12","1","","1","6","0","0","0","12002"
"50","29","12","0","black","0","5","1","0","0","12003"
"1","1","12","1","","0","6","0","0","0","12004"
"","","12","","","0","91","","","","12005"
"1","1","12","1","","1","6","0.2","0","1","12006"
"1","1","12","1","","0","6","0.2","0","1","12007"
"0.3","-250","12","-20","","1","2","","","2","12008"
"0.3","0","12","0","","0","2","","","2","12009"
"","","12","0","","0.6","93","","","","12010"
"0","0","12","vo_asb_0121","","vo_asb","21","","","","12011"
"1","10","12","思えば手土産すらも、\n持参できず仕舞いでした……","0","1","11","0","0","1","12012"
"0","0","12","","","0","91","","","","12013"
"","1","12","guts2_talk_shy","","1","3","0.2","","","12014"
"0","0","12","vo_asb_0122","","vo_asb","21","","","","12015"
"1","10","12","次に伺う時は必ず……！","0","1","11","0","0","1","12016"
"0","0","12","","","0","91","","","","12017"
"","1","12","sad_talk_surprise","","1","3","0.2","","","12018"
"0","0","12","vo_asb_0123","","vo_asb","21","","","","12019"
"1","10","12","……でも、なにがよいのでしょう。\n的外れなものを選んで、かえって\nお気を遣わせてもいけませんし……","0","1","11","0","0","1","12020"
"0","0","12","","","0","91","","","","12021"
"","1","12","surprise_talk_dere","","1","3","0.3","","","12022"
"0","0","12","vo_asb_0124","","vo_asb","21","","","","12023"
"1","10","12","やはり、兄様ゆかりの場所ですから……\n兄様とご相談して、一緒に選ばせて\nいただくのが一番、でしょうか……","0","1","11","0","0","1","12024"
"0","0","12","","","0","91","","","","12025"
"sad_idle_red_riri","0","12","sad_talk_riri_in","","1","3","0.4","0","1","12026"
"0","0","12","vo_asb_0125","","vo_asb","21","","","","12027"
"1","10","12","……一緒に……手土産を……\n……ぽっ。","0","1","11","0","0","1","12028"
"0","0","12","","","0","91","","","","12029"
"","","12","","","12031","101","","","","12030"
"1","1","12","1","","1","6","0.3","0","0","12031"
"1","1","12","1","","0","6","0.3","0","0","12032"
"0.3","-250","12","-120","","1","2","","","1","12033"
"0.3","0","12","-100","","0","2","","","1","12034"
"","","12","0","","0","22","","","","12035"
"","","12","0","","0.4","93","","","","12036"
"20","17","13","1","riri_idle_look_shy","1","5","2.2","0","-230","13001"
"-140","19","13","2","clear_idle_look_shy","2","5","2.2","0","-255","13002"
"270","18","13","3","idle_look_precia","3","5","2.2","1","-245","13003"
"1","1","13","1","","1","6","0","0","0","13004"
"1","1","13","1","","2","6","0","0","0","13005"
"1","1","13","1","","3","6","0","0","0","13006"
"0","0","13","100","","1","31","0","","1","13007"
"","","13","0","","100","35","","","","13008"
"50","16","13","0","black","0","5","1","0","0","13009"
"1","1","13","1","","0","6","0","0","0","13010"
"","","13","","","0","91","","","","13011"
"","","13","0","","0.1","93","","","","13012"
"1","1","13","1","","1","6","0.2","0","1","13013"
"1","1","13","1","","2","6","0.2","0","1","13014"
"1","1","13","1","","3","6","0.2","0","1","13015"
"1","1","13","1","","0","6","0.2","0","1","13016"
"0.3","-230","13","-30","","1","2","","","2","13017"
"0.3","-255","13","-190","","2","2","","","2","13018"
"0.3","-245","13","220","","3","2","","","2","13019"
"0.3","0","13","0","","0","2","","","2","13020"
"","","13","1","","100","32","","","","13021"
"","","13","0","","0.6","93","","","","13022"
"","1","13","sad_talk_look_shy_riri","","1","3","0.2","","","13023"
"0","0","13","vo_asb_1521","","vo_asb","21","","","","13024"
"1","10","13","実はわたくしたち……\nこの、学びのスクラップブックを\n兄様にご覧いただくのが、\n少し、恥ずかしかったのです。","0","1","11","0","0","1","13025"
"0","0","13","","","0","91","","","","13026"
"","1","13","sad_idle_normal_look_shy_riri","","1","3","0.2","","","13027"
"","1","13","clear_talk_look_shy","","2","3","0.2","","","13028"
"0","0","13","vo_asb_1522","","vo_asb","21","","","","13029"
"1","10","13","だって、楽しい思い出と同じくらい、\nヘマしたり、力及ばずなこともあって。\nそれを改めてお兄さんに見てもらうのは\n勇気がいるっていうか……","0","2","11","0","0","1","13030"
"0","0","13","","","0","91","","","","13031"
"","1","13","clear_idle_look_shy","","2","3","0.3","","","13032"
"","1","13","sad_talk_look_precia","","3","3","0.2","","","13033"
"0","0","13","vo_asb_1523","","vo_asb","21","","","","13034"
"1","10","13","せきらら\nぼうけんき。","0","3","11","0","0","1","13035"
"0","0","13","","","0","91","","","","13036"
"","1","13","idle_look_precia","","3","3","0.2","","","13037"
"","1","13","talk_look_shy_riri","","1","3","0.3","","","13038"
"0","0","13","vo_asb_1524","","vo_asb","21","","","","13039"
"1","10","13","でも……これも学びです。\n兄様。ぜひご覧になった感想を、\nお聞かせ願えませんでしょうか？","0","1","11","0","0","1","13040"
"0","0","13","","","0","91","","","","13041"
"","1","13","wish_talk_look_shy_riri","","1","3","0.2","","","13042"
"0","0","13","vo_asb_1525","","vo_asb","21","","","","13043"
"1","10","13","どんなに厳しい叱咤もご指導も、\n謹んでお受けいたしますので──\nって、…………え？","0","1","11","0","0","1","13044"
"0","0","13","","","0","91","","","","13045"
"","1","13","idle_look_shy","","2","3","0.2","","","13046"
"","1","13","joy_idle_look_shy_precia","","3","3","0.3","","","13047"
"","1","13","wish_talk_Ex4","","1","3","0.2","","","13048"
"0","0","13","vo_asb_1526","","vo_asb","21","","","","13049"
"1","10","13","…………\nま、まさか……\nそのようにお褒めいただけるなんて……","0","1","11","0","0","1","13050"
"0","0","13","","","0","91","","","","13051"
"","1","13","idle_look_shy_riri","","1","3","0.2","","","13052"
"","1","13","surprise_idle_lookR_precia","","3","3","0.4","","","13053"
"0","0","13","vo_asb_1527","","vo_asb","21","","","","13054"
"1","10","13","お兄……","0","3","11","0","0","1","13055"
"0","0","13","","","0","91","","","","13056"
"","1","13","joy_idle_look_shy_precia2","","3","3","0.4","","","13057"
"","1","13","clear_talk2_look","","2","3","0.2","","","13058"
"0","0","13","vo_asb_1528","","vo_asb","21","","","","13059"
"1","10","13","お兄さんは、\n結果云々ではなく、\nわたしたちががんばったこと、\nそれ自体を褒めてくれるんですね……","0","2","11","0","0","1","13060"
"0","0","13","","","0","91","","","","13061"
"","1","13","wish_talk_Ex3","","1","3","0.2","","","13062"
"","1","13","joy_idle_look_shy_precia","","3","3","0.3","","","13063"
"clear_wish_talk_joy_look","0","13","talk2ToWish_look","","2","3","0.2","0","1","13064"
"0","0","13","vo_asb_1529","","vo_asb","21","","","","13065"
"1","10","13","……ありがとうございます！","0","1","11","0","0","1","13066"
"0","0","13","","","0","91","","","","13067"
"","1","13","idle_look_shy_riri","","1","3","0.2","","","13068"
"","1","13","idle_look_shy","","2","3","0.2","","","13069"
"doya_talk_precia","0","13","doya_in_precia","","3","3","0.2","0","1","13070"
"0","0","13","vo_asb_1530","","vo_asb","21","","","","13071"
"1","10","13","むねはり。\nぼうけんき。","0","3","11","0","0","1","13072"
"0","0","13","","","0","91","","","","13073"
"","1","13","idle_look_normal_precia","","3","3","0.4","","","13074"
"","1","13","riri_talk_look_shy","","1","3","0.2","","","13075"
"0","0","13","vo_asb_1531","","vo_asb","21","","","","13076"
"1","10","13","ご覧の通り何事も拙く、\n未熟なわたくしたちですが……","0","1","11","0","0","1","13077"
"0","0","13","","","0","91","","","","13078"
"","1","13","riri_idle_look_normal_shy","","1","3","0.2","","","13079"
"","1","13","clear_talk3_look","","2","3","0.2","","","13080"
"0","0","13","vo_asb_1532","","vo_asb","21","","","","13081"
"1","10","13","こうしてお兄さんが\n温かく見守ってくれるおかげで、\n立派な冒険者になるという夢を、\n追い続けることができています。","0","2","11","0","0","1","13082"
"0","0","13","","","0","91","","","","13083"
"","1","13","clear_wish_talk_joy_look","","2","3","0.2","","","13084"
"0","0","13","vo_asb_1533","","vo_asb","21","","","","13085"
"1","10","13","お兄さん。\nこれからも、【アルターメイデン】の\n側にいてくださいね。","0","2","11","0","0","1","13086"
"0","0","13","","","0","91","","","","13087"
"","1","13","clear_wish_idle_look","","2","3","0.2","","","13088"
"joy_idle_look_shy_precia2","0","13","agree","","3","3","0.1","0.2","1","13089"
"0","0","13","vo_asb_1534","","vo_asb","21","","","","13090"
"1","10","13","よろしく。","0","3","11","0","0","1","13091"
"0","0","13","","","0","91","","","","13092"
"idle_look_shy_riri","0","13","bow_riri","","1","3","0.2","0.2","1","13093"
"0","0","13","vo_asb_1535","","vo_asb","21","","","","13094"
"1","10","13","お願いいたします……！","0","1","11","0","0","1","13095"
"0","0","13","","","0","91","","","","13096"
"","","13","","","13098","101","","","","13097"
"1","1","13","1","","1","6","0.3","0","0","13098"
"1","1","13","1","","2","6","0.3","0","0","13099"
"1","1","13","1","","3","6","0.3","0","0","13100"
"1","1","13","1","","0","6","0.3","0","0","13101"
"0.3","-230","13","-130","","1","2","","","1","13102"
"0.3","-255","13","-290","","2","2","","","1","13103"
"0.3","-245","13","120","","3","2","","","1","13104"
"0.3","0","13","-100","","0","2","","","1","13105"
"","","13","0","","0","22","","","","13106"
"","","13","1","","100","35","","","","13107"
"0.3","0","13","-100","","100","33","","","1","13108"
"","","13","0","","0.4","93","","","","13109"
"","","13","0","","100","32","","","","13110"
"30","52","22","1","surprise_idle_normal2_precia","3","5","2.2","0","-250","22001"
"1","1","22","1","","1","6","0","0","0","22002"
"50","29","22","0","black","0","5","1","0","0","22003"
"1","1","22","1","","0","6","0","0","0","22004"
"","","22","","","0","91","","","","22005"
"1","1","22","1","","1","6","0.2","0","1","22006"
"1","1","22","1","","0","6","0.2","0","1","22007"
"0.3","-250","22","-20","","1","2","","","2","22008"
"0.3","0","22","0","","0","2","","","2","22009"
"","","22","0","","0.6","93","","","","22010"
"0","0","22","vo_asb_0221","","vo_asb","21","","","","22011"
"1","10","22","ざぶとん。\nくっきー。\nいっぱいたべた。","0","1","11","0","0","1","22012"
"0","0","22","","","0","91","","","","22013"
"","1","22","talk_surprise_precia","","1","3","0.3","","","22014"
"0","0","22","vo_asb_0222","","vo_asb","21","","","","22015"
"1","10","22","スズメ。\nいろいろつくってる。\nらしい。","0","1","11","0","0","1","22016"
"0","0","22","","","0","91","","","","22017"
"","1","22","think_idle_precia","","1","3","0.3","","","22018"
"0","0","22","vo_asb_0223","","vo_asb","21","","","","22019"
"1","10","22","ざぶとん、ほっとけーき。\nとか？","0","1","11","0","0","1","22020"
"0","0","22","","","0","91","","","","22021"
"","1","22","think_idle_dere_precia","","1","3","0.3","","","22022"
"0","0","22","vo_asb_0224","","vo_asb","21","","","","22023"
"1","10","22","ざぶとん、まふぃん。\nとか？","0","1","11","0","0","1","22024"
"0","0","22","","","0","91","","","","22025"
"","1","22","think_idle_angerR","","1","3","0.3","","","22026"
"0","0","22","vo_asb_0225","","vo_asb","21","","","","22027"
"1","10","22","ざぶとん、にくまん……\nとか……（ごくり）","0","1","11","0","0","1","22028"
"0","0","22","","","0","91","","","","22029"
"speak1_light_precia","0","22","thinkToSpeak_precia","","1","3","0.1","0","1","22030"
"0","0","22","vo_asb_0226","","vo_asb","21","","","","22031"
"1","10","22","スズメ。\nすかうとする。\n【あるたーめいでん】に。","0","1","11","0","0","1","22032"
"0","0","22","","","0","91","","","","22033"
"","","22","","","22035","101","","","","22034"
"1","1","22","1","","1","6","0.3","0","0","22035"
"1","1","22","1","","0","6","0.3","0","0","22036"
"0.3","-250","22","-120","","1","2","","","1","22037"
"0.3","0","22","-100","","0","2","","","1","22038"
"","","22","0","","0","22","","","","22039"
"","","22","0","","0.4","93","","","","22040"
"20","52","32","1","riri_idle_look","1","5","2.2","0","-230","32001"
"-140","58","32","2","clear_book_read","2","5","2.2","0","-255","32002"
"270","55","32","3","joy_idle_precia","3","5","2.2","1","-245","32003"
"1","1","32","1","","1","6","0","0","0","32004"
"1","1","32","1","","2","6","0","0","0","32005"
"1","1","32","1","","3","6","0","0","0","32006"
"50","29","32","0","black","0","5","1","0","0","32007"
"1","1","32","1","","0","6","0","0","0","32008"
"","","32","","","0","91","","","","32009"
"1","1","32","1","","1","6","0.2","0","1","32010"
"1","1","32","1","","2","6","0.2","0","1","32011"
"1","1","32","1","","3","6","0.2","0","1","32012"
"1","1","32","1","","0","6","0.2","0","1","32013"
"0.3","-230","32","-30","","1","2","","","2","32014"
"0.3","-255","32","-190","","2","2","","","2","32015"
"0.3","-245","32","220","","3","2","","","2","32016"
"0.3","0","32","0","","0","2","","","2","32017"
"","","32","0","","0.6","93","","","","32018"
"","1","32","clear_book_talk","","2","3","0.2","","","32019"
"0","0","32","vo_asb_0321","","vo_asb","21","","","","32020"
"1","10","32","この牛さんの絵、\n上手すぎませんか！？","0","2","11","0","0","1","32021"
"0","0","32","","","0","91","","","","32022"
"","1","32","clear_book_idle","","2","3","0.4","","","32023"
"","1","32","riri_talk_look","","1","3","0.2","","","32024"
"0","0","32","vo_asb_0322","","vo_asb","21","","","","32025"
"1","10","32","プレシアさん作です。\n彼女は天才タイプなので。","0","1","11","0","0","1","32026"
"0","0","32","","","0","91","","","","32027"
"","1","32","riri_idle_look","","1","3","0.2","","","32028"
"clear_talk2_noShy","0","32","clear_bookToTalk2","","2","3","0.1","0","1","32029"
"0","0","32","vo_asb_0323","","vo_asb","21","","","","32030"
"1","10","32","そういえば、わたしとリリちゃんが、\n『腰に手』が上手くできなくて、\nマヒルさんに教わりながら、\n悪戦苦闘してた時も……","0","2","11","0","0","1","32031"
"0","0","32","","","0","91","","","","32032"
"idle_talkjoy2","0","32","talk2ToIdle_talkjoy2","","2","3","0.1","0","1","32033"
"","1","32","sad_talk_joy2R","","1","3","0.2","","","32034"
"0","0","32","vo_asb_0324","","vo_asb","21","","","","32035"
"1","10","32","はい。プレシアさんだけが、\n一発合格でしたね。\n素人のわたくしたちの目から見ても、\n実に完璧な『腰に手』でございました。","0","1","11","0","0","1","32036"
"0","0","32","","","0","91","","","","32037"
"","1","32","sad_idle_normal_riri","","1","3","0.2","","","32038"
"","1","32","idle","","2","3","0.2","","","32039"
"","1","32","talk_precia","","3","3","0.3","","","32040"
"0","0","32","vo_asb_0325","","vo_asb","21","","","","32041"
"1","10","32","みたい？","0","3","11","0","0","1","32042"
"0","0","32","","","0","91","","","","32043"
"","1","32","joy_idle_precia","","3","3","0.3","","","32044"
"","1","32","guts2_talk_riri","","1","3","0.2","","","32045"
"","1","32","clear_hope_talk","","2","3","0.2","","","32046"
"0","0","32","vo_asb_0326","","vo_asb","21","","","","32047"
"1","10","32","ぜひっ。","0","1","11","0","0","1","32048"
"0","0","32","","","0","91","","","","32049"
