bdf4f7a95bbcaab6cc116c4d174203e0481f9ea8ccb70071b7441ea43c4b684c,a9247f5ca38ce97ace2dd8b6994699bf2040aad9e365006fcce0c37b746f73af,cc37a91feeb46ebe75d0a37b484b95640a4f023a7d9c7e50f833d6fc3f411906,10f7e98efd81fc9c37d9487fc27a4da681cba4fdcd8b7a610c68cee367d60da5,55fe15f27e8c659d8e7c176ede429893ed5d5b507f1de0af167f3a90205ba94d,d65f581c6b998b34b9587af07c93c2d1ae0c38ab468cac7efeb6ee9fa16af431,7dd5491052bf76cca065fdeeb1db7ee44c163d146699cdcc776bcf76515ce9e9,ab200337eb9aa59be3d1502bf3968a399b12df2858c86199a428f7c15a605724,e0a7c904479e78a44aec46263ca6981fb38a82de613c95a8b2829ca87d185bf0,58dc56fee3acfe90da26a5879697cc338a5c4fb410c20230ffadbf4b527cdcd3,cf7b21a8e87a98404106a92495ca944dc6cedb5535fc61103b4c4f95de3d73a6,e916dcd63d10a589614304ed93bef2c4f57dbeca651543cfd913b7fc9f6967d1
"バトル開始時、味方のＴＰが250アップ","3","0","-1","0","0","2","TP250アップ","3001","3001","1","3001"
"バトル開始時、味方のＴＰが250アップ","3","0","-1","0","0","2","TP250アップ","3002","3002","1","3002"
"バトル開始時、味方のＴＰが250アップ","3","0","-1","0","0","2","TP250アップ","3003","3003","1","3003"
"バトル開始時、味方のＴＰが250アップ","3","0","-1","0","0","2","TP250アップ","3004","3004","1","3004"
"バトル開始時、味方のＴＰが1000アップ","3","0","-1","0","0","2","TP1000アップ","3006","3006","3","3006"
"バトル開始時、味方のＴＰが1000アップ","3","0","-1","0","0","2","TP1000アップ","3007","3007","3","3007"
"バトル開始から90秒間、味方の物理攻撃力がアップ","3","9006503","25200","13125000000000","0","3","物理攻撃アップ90秒","30011","3001","1","30011"
"バトル開始から90秒間、敵の物理防御力がダウン","3","9006504","72000","9000000000000","0","3","物理防御ダウン90秒","30012","3001","1","30012"
"バトル開始から90秒間、味方のＨＰが毎秒回復","3","9006506","39600","9000000000000","0","3","毎秒ＨＰ回復90秒","30021","3002","1","30021"
"バトル開始から90秒間、味方のＴＰが毎秒アップ","3","9006507","72000","4500000000000","0","3","毎秒ＴＰアップ90秒","30022","3002","1","30022"
"バトル開始から15秒間、味方が無敵状態になる","3","9006509","43200","8700000000000","0","3","無敵15秒","30031","3003","1","30031"
"バトル開始から90秒間、敵の魔法攻撃力がダウン","3","9006510","72000","6000000000000","0","3","魔法攻撃ダウン90秒","30032","3003","1","30032"
"バトル開始から15秒間、敵がスタン状態になる","3","9006512","32400","12600000000000","0","3","スタン15秒","30041","3004","1","30041"
"バトル開始から90秒間、敵の物理防御力がダウン","3","9006513","43200","9000000000000","0","3","物理防御ダウン90秒","30042","3004","1","30042"
"バトル開始から90秒間、味方の魔法攻撃力がアップ","3","9006516","43200","38280000000000","0","3","魔法攻撃アップ90秒","30051","3005","2","30051"
"バトル開始から90秒間、味方のＴＰが毎秒アップ","3","9006519","21600","26250000000000","0","3","毎秒ＴＰアップ90秒","30061","3006","3","30061"
"バトル開始から90秒間、敵の魔法防御力がダウン","3","9006520","43200","15000000000000","0","3","魔法防御ダウン90秒","30062","3006","3","30062"
"バトル開始から90秒間、味方の物理攻撃力がアップ","3","9006522","43200","31500000000000","0","3","物理攻撃アップ90秒","30071","3007","3","30071"
"バトル開始から15秒間、味方が無敵状態になる","3","9006523","64800","9000000000000","0","3","無敵15秒","30072","3007","3","30072"
"バトル開始から90秒間、敵の物理攻撃力がダウン","3","0","-1","14550000000000","36000","1","物理攻撃ダウン90秒","300101","3001","1","300101"
"バトル開始から90秒間、敵の物理攻撃力がダウン","3","0","-1","13950000000000","36000","1","物理攻撃ダウン90秒","300102","3001","1","300102"
"バトル開始から90秒間、敵の物理防御力がダウン","3","0","-1","13500000000000","36000","1","物理防御ダウン90秒","300103","3001","1","300103"
"バトル開始から90秒間、敵の物理攻撃力がダウン","3","0","-1","13050000000000","36000","1","物理攻撃ダウン90秒","300104","3001","1","300104"
"バトル開始から90秒間、敵の物理防御力がダウン","3","0","-1","12600000000000","36000","1","物理防御ダウン90秒","300105","3001","1","300105"
"バトル開始から90秒間、敵の魔法防御力がダウン","3","0","-1","11550000000000","36000","1","魔法防御ダウン90秒","300106","3001","1","300106"
"バトル開始から90秒間、敵の物理防御力がダウン","3","0","-1","11100000000000","36000","1","物理防御ダウン90秒","300107","3001","1","300107"
"バトル開始から90秒間、敵の魔法防御力がダウン","3","0","-1","10650000000000","36000","1","魔法防御ダウン90秒","300108","3001","1","300108"
"バトル開始から90秒間、味方のＨＰが毎秒回復","3","0","-1","10050000000000","36000","1","毎秒ＨＰ回復90秒","300109","3001","1","300109"
"バトル開始から90秒間、敵の物理攻撃力がダウン","3","0","-1","9600000000000","36000","1","物理攻撃ダウン90秒","300110","3001","1","300110"
"バトル開始から90秒間、敵の物理攻撃力がダウン","3","0","-1","9000000000000","36000","1","物理攻撃ダウン90秒","300111","3001","1","300111"
"バトル開始から90秒間、敵の物理防御力がダウン","3","0","-1","8550000000000","36000","1","物理防御ダウン90秒","300112","3001","1","300112"
"バトル開始から90秒間、敵の物理攻撃力がダウン","3","0","-1","8100000000000","36000","1","物理攻撃ダウン90秒","300113","3001","1","300113"
"バトル開始から90秒間、敵の物理防御力がダウン","3","0","-1","7050000000000","36000","1","物理防御ダウン90秒","300114","3001","1","300114"
"バトル開始から90秒間、敵の魔法防御力がダウン","3","0","-1","6600000000000","36000","1","魔法防御ダウン90秒","300115","3001","1","300115"
"バトル開始から90秒間、敵の物理防御力がダウン","3","0","-1","6150000000000","36000","1","物理防御ダウン90秒","300116","3001","1","300116"
"バトル開始から90秒間、敵の魔法防御力がダウン","3","0","-1","5550000000000","36000","1","魔法防御ダウン90秒","300117","3001","1","300117"
"バトル開始から90秒間、味方のＨＰが毎秒回復","3","0","-1","5100000000000","36000","1","毎秒ＨＰ回復90秒","300118","3001","1","300118"
"バトル開始から90秒間、敵の物理攻撃力がダウン","3","0","-1","4650000000000","36000","1","物理攻撃ダウン90秒","300119","3001","1","300119"
"バトル開始から90秒間、敵の物理攻撃力がダウン","3","0","-1","4050000000000","36000","1","物理攻撃ダウン90秒","300120","3001","1","300120"
"バトル開始から90秒間、敵の物理防御力がダウン","3","0","-1","3600000000000","36000","1","物理防御ダウン90秒","300121","3001","1","300121"
"バトル開始から90秒間、敵の物理攻撃力がダウン","3","0","-1","3150000000000","36000","1","物理攻撃ダウン90秒","300122","3001","1","300122"
"バトル開始から90秒間、敵の物理防御力がダウン","3","0","-1","2700000000000","36000","1","物理防御ダウン90秒","300123","3001","1","300123"
"バトル開始時、味方のＴＰが150アップ","3","0","-1","2100000000000","36000","1","TP150アップ","300124","3001","1","300124"
"バトル開始から15秒間、味方が無敵状態になる","3","0","-1","1650000000000","36000","1","無敵15秒","300125","3001","1","300125"
"バトル開始から90秒間、敵の物理攻撃力がダウン","3","0","-1","1200000000000","36000","1","物理攻撃ダウン90秒","300126","3001","1","300126"
