05c0964c1521fd81d04331905f58b80c39353771155617c6e16407dae934de5f,8629fc34a5618a2a8c3bc7c265a12646aceeca4e407b264bdf6c1b77be70441e,4ec77cef0d87c523d37ab5088ef3c2d2ad131d80ac1640887abf24cd0da7f6d3,0dffb546861e4d884ff5c12eec554d368dc7d74ce547d717cb2dfe52e6b86126,c42c65fbc7ed7b49282f48a0215363c90519ebba3677842924ea90056957ae7f,ecc869c1d8c4c10b459c5cb1b7dca5d720ce35a3cd9dabba8a168afa75bfe991,8773aa3f3d981ee7bf5699afa547733481bd1bfd018022458f30df9bab737614,4476954a493670ce55b5ccab146d9f47480576973b861a884a843821f1729f88,05ba358595005c4047cd85b4c110c8294e64600effe6432a2622ca8c77992feb
"20","1","10701","15","7","53002","1","15","22"
"22","2","10702","14","7","53002","1","14","22"
"24","3","10703","13","7","53002","2","13","22"
"26","4","10704","12","7","53002","2","12","22"
"28","5","10705","11","7","53002","3","11","22"
"30","6","10706","10","7","53002","3","10","22"
"32","7","10707","9","7","53002","4","9","22"
"34","8","10708","8","7","53002","4","8","22"
"36","9","10709","7","7","53002","5","0","22"
"20","1","10801","15","8","53002","1","15","22"
"22","2","10802","14","8","53002","1","14","22"
"24","3","10803","13","8","53002","2","13","22"
"26","4","10804","12","8","53002","2","12","22"
"28","5","10805","11","8","53002","3","11","22"
"30","6","10806","10","8","53002","3","10","22"
"32","7","10807","9","8","53002","4","9","22"
"34","8","10808","8","8","53002","4","8","22"
"36","9","10809","7","8","53002","5","0","22"
"20","1","10901","15","9","53002","1","15","22"
"22","2","10902","14","9","53002","1","14","22"
"24","3","10903","13","9","53002","2","13","22"
"26","4","10904","12","9","53002","2","12","22"
"28","5","10905","11","9","53002","3","11","22"
"30","6","10906","10","9","53002","3","10","22"
"32","7","10907","9","9","53002","4","9","22"
"34","8","10908","8","9","53002","4","8","22"
"36","9","10909","7","9","53002","5","0","22"
"20","1","11001","15","10","53002","1","15","22"
"22","2","11002","14","10","53002","1","14","22"
"24","3","11003","13","10","53002","2","13","22"
"26","4","11004","12","10","53002","2","12","22"
"28","5","11005","11","10","53002","3","11","22"
"30","6","11006","10","10","53002","3","10","22"
"32","7","11007","9","10","53002","4","9","22"
"34","8","11008","8","10","53002","4","8","22"
"36","9","11009","7","10","53002","5","0","22"
"20","1","11101","15","11","53002","1","15","22"
"22","2","11102","14","11","53002","1","14","22"
"24","3","11103","13","11","53002","2","13","22"
"26","4","11104","12","11","53002","2","12","22"
"28","5","11105","11","11","53002","3","11","22"
"30","6","11106","10","11","53002","3","10","22"
"32","7","11107","9","11","53002","4","9","22"
"34","8","11108","8","11","53002","4","8","22"
"36","9","11109","7","11","53002","5","0","22"
"20","1","11201","15","12","53002","1","15","22"
"22","2","11202","14","12","53002","1","14","22"
"24","3","11203","13","12","53002","2","13","22"
"26","4","11204","12","12","53002","2","12","22"
"28","5","11205","11","12","53002","3","11","22"
"30","6","11206","10","12","53002","3","10","22"
"32","7","11207","9","12","53002","4","9","22"
"34","8","11208","8","12","53002","4","8","22"
"36","9","11209","7","12","53002","5","0","22"
"20","1","11301","15","13","53002","1","15","22"
"22","2","11302","14","13","53002","1","14","22"
"24","3","11303","13","13","53002","2","13","22"
"26","4","11304","12","13","53002","2","12","22"
"28","5","11305","11","13","53002","3","11","22"
"30","6","11306","10","13","53002","3","10","22"
"32","7","11307","9","13","53002","4","9","22"
"34","8","11308","8","13","53002","4","8","22"
"36","9","11309","7","13","53002","5","0","22"
