3757ce5163f9759af36a9c3a99255df8bfbf85860c56e336219c78d1185769ed,f56b8301b8b2b4929f474e57ea62cddd0c244ef056e6a10bbc664943313dc6c0,19db9fab264d1483230154f75c3de1db4445c217bba81c4ecb0ce60d3dc3258c,40d46463ce9e00ec4069c28ec2ba226d260a1e30e8fce5c4d33a597f060cb7b9,58ac1a83893e12bdd1902bee397fe90cc40acc9186428bdeb1dd06b210f4e842,75a2f023ea99a5c6b8c203e7b998f705653bef54379af2f5a01b0f1c83416a40,5289a7a00b2712be667c17ca4ab264a4c124f449a5ecfaf6cdfdff77cb0f330d,e0cd954e05b02940ea9c9f1c52d1339aa924ba82f508613d4ac5029c76df46cd
"0","10012103","1","1001201","10012","0","0","0"
"0","10012107","2","1001202","10012","0","0","0"
"0","10012109","3","1001203","10012","0","0","0"
"0","10012114","4","1001204","10012","0","1001201","0"
"0","10012114","5","1001204","10012","0","1001202","0"
"0","10012114","6","1001204","10012","0","1001203","0"
"0","20012103","7","2001201","20012","0","0","0"
"0","20012107","8","2001202","20012","0","0","0"
"0","20012109","9","2001203","20012","0","0","0"
"0","20012114","10","2001204","20012","0","2001201","0"
"0","20012114","11","2001204","20012","0","2001202","0"
"0","20012114","12","2001204","20012","0","2001203","0"
