ce55b1bd8169bb5ea3f3e25b4088b177ee21bf2ee070ad223f3d1013eb9177d4,9ba5e128deef9c59da75c84df919faabbd41c0c3d573fe99bfea803b99b6cb10,10045202f34a8edf4132d18719bb3bcf55031bc52e9473accf0ba78d7532c285,b7aca1f8199bb748e336c1199d7b8d269c8774c566982daf499cc70e81b63722,490e52c6dde231d830ba134e0043cd2433cacd0d51d2cdd49d2ef62897736ab4,6aadd3cfa2e33bdd0774aab7aca8effc3d3fe80d85a47c7a1284216c371c7ca2,14ba1c17749936d7f3686434769ce6548ff0ada51a3a2a7599305fdbe5ac3b50,9e46ff5def1cb1a52b0f92b3540d1a2384f44f6accf57ac2dbdf9bcc020c7fcc,94db6e8e2a589840423bc944aa7e1be3bd6b63c4950409b2b7aeee3fb4d0cac7,da1e7c34a33474365503151a323f857f310e850ca99eb2969ee8f6acb14e5c96,918b3f1186b211b76ca62eb15500e11709a366b13c0b19030a5d96f3d6b17a05,9eb288c1d4f0f2ce15865496fa19f5740ff8f1ecd444a7f3c2b5feb7c1a61934
"1","0","0","0","0","0","0","0","0","0","0","0"
"11002","1","2","3","0","0","0","1","800","0","0","0"
"12001","1","1","1","0","0","0","1","500","0","0","0"
"12002","1","1","1","0","0","0","1","700","0","0","0"
"13001","1","2","1","0","0","0","1","600","0","0","0"
"13002","1","2","1","0","0","0","1","700","0","0","0"
"14002","1","2","1","0","0","0","1","600","0","0","0"
"21001","1","2","3","0","0","0","2","900","0","0","0"
"22001","2","0","0","0","0","0","8000","0","0","0","0"
"23001","3","1","99","0","0","0","5","1","0","1","0"
"23002","3","1","99","0","0","0","7","1","0","1","0"
"25001","5","4","0","0","0","0","0","3","0","1","0"
"25002","5","1","0","0","0","0","0","0","1","0","0"
"25003","5","4","0","0","0","0","1","3","0","1","0"
"25004","5","1","0","0","0","0","1","0","1","0","0"
"26001","6","0","0","0","0","0","76","37","40","0","0"
"27001","7","0","0","0","0","0","2","1","1","0","0"
"27002","7","0","0","0","0","0","3","1","1","0","0"
"28001","8","0","0","0","0","0","0","0","0","0","0"
