3f851261f842dc38fdd177c7bf1ed5ea66659abdef2de193cdf62d7b4e229a36,60aec4feca150b417f1625a5619d0eb09174bef9a4911ae6f47c09eb0264e72d,63231c86cffd62682e7501bc54a8b111a09f6af22615f0493b52c38bffb57d58,6817700c4459e434cae3f57112abaa0c4755c3e1e9cc1ae2509726ac911d00dc,edfd6ae9206661a844c19a41fb779ef523f7b1d52253fb23469f7b539ef33814,8b7f1d1e533511908f65bca822d3de19ebc76d3c767f84c22516a2f411cbc3eb,3ff2d422de791547ed161e0588abc400b9eeec715f691933c5a75dcba63cecf9,5a447d7c15239ea6de0f35ea1709e1704afa57d3c5858a287cc56c5d58fd4124
"1","1","1","21952","96001","1","2","20000"
"2","1","1","21904","96001","1","2","10000"
"3","1","1","41000","96001","1","2","10000"
"4","1","5","31803","96001","5","2","2000"
"5","1","5","31215","96001","5","2","1500"
"6","1","5","31210","96001","5","2","1500"
"7","1","5","31211","96001","5","2","1500"
"8","1","10","90005","96001","5","2","1250"
"9","1","20","140001","96001","10","4","500"
"10","1","10","25001","96001","5","2","500"
"11","1","5","150003","96001","5","4","100"
"12","1","5","150004","96001","5","4","130"
"13","1","5","150005","96001","5","4","150"
"14","1","5","150006","96001","5","4","180"
"15","1","5","150007","96001","5","4","200"
"16","1","5","150008","96001","5","4","230"
"17","1","5","20004","96001","100","2","500"
"18","1","5","22003","96001","100","2","200"
"19","1","0","20004","96001","100","2","1000"
"20","1","0","22003","96001","100","2","400"
"21","2","1","21952","96002","1","2","20000"
"22","2","1","21904","96002","1","2","10000"
"23","2","1","41000","96002","1","2","10000"
"24","2","5","31233","96002","5","2","1500"
"25","2","5","31229","96002","5","2","1500"
"26","2","5","31225","96002","5","2","1500"
"27","2","10","90005","96002","5","2","1250"
"28","2","20","140001","96002","10","4","500"
"29","2","10","25001","96002","5","2","500"
"30","2","5","150003","96002","5","4","100"
"31","2","5","150004","96002","5","4","130"
"32","2","5","150005","96002","5","4","150"
"33","2","5","150006","96002","5","4","180"
"34","2","5","150007","96002","5","4","200"
"35","2","5","150008","96002","5","4","230"
"36","2","5","20004","96002","100","2","500"
"37","2","5","22003","96002","100","2","200"
"38","2","0","20004","96002","100","2","1000"
"39","2","0","22003","96002","100","2","400"
"40","3","1","21952","96003","1","2","20000"
"41","3","1","21905","96003","1","2","10000"
"42","3","1","41000","96003","1","2","10000"
"43","3","5","31805","96003","5","2","2000"
"44","3","5","31240","96003","5","2","1500"
"45","3","5","31238","96003","5","2","1500"
"46","3","5","31236","96003","5","2","1500"
"47","3","5","90005","96003","10","2","2500"
"48","3","5","140001","96003","50","4","2500"
"49","3","5","25001","96003","5","2","500"
"50","3","5","150003","96003","30","4","500"
"51","3","5","150004","96003","30","4","650"
"52","3","5","150005","96003","30","4","750"
"53","3","5","150006","96003","30","4","900"
"54","3","5","150007","96003","30","4","1000"
"55","3","5","150008","96003","30","4","1150"
"56","3","5","20004","96003","500","2","2500"
"57","3","5","22003","96003","500","2","1000"
"58","3","0","20004","96003","100","2","1000"
"59","3","0","22003","96003","100","2","400"
"60","4","1","21952","96004","1","2","20000"
"61","4","1","21905","96004","1","2","10000"
"62","4","2","41000","96004","1","2","10000"
"63","4","5","31807","96004","5","2","2000"
"64","4","5","31245","96004","5","2","1500"
"65","4","5","31248","96004","5","2","1500"
"66","4","5","31250","96004","5","2","1500"
"67","4","5","31091","96004","5","2","1500"
"68","4","5","90005","96004","10","2","2500"
"69","4","10","140001","96004","50","4","2500"
"70","4","10","25001","96004","10","2","1000"
"71","4","5","150003","96004","30","4","500"
"72","4","5","150004","96004","30","4","650"
"73","4","5","150005","96004","30","4","750"
"74","4","5","150006","96004","30","4","900"
"75","4","5","150007","96004","30","4","1000"
"76","4","5","150008","96004","30","4","1150"
"77","4","5","150009","96004","30","4","1300"
"78","4","5","20004","96004","500","2","2500"
"79","4","5","22003","96004","500","2","1000"
"80","4","0","20004","96004","100","2","1000"
"81","4","0","22003","96004","100","2","400"
"82","5","1","25101","96005","1","2","20000"
"83","5","1","21952","96005","1","2","20000"
"84","5","1","21905","96005","1","2","10000"
"85","5","2","41000","96005","1","2","10000"
"86","5","5","31200","96005","5","2","1500"
"87","5","5","31253","96005","5","2","1500"
"88","5","5","31255","96005","5","2","1500"
"89","5","5","31256","96005","5","2","1500"
"90","5","5","90005","96005","10","2","2500"
"91","5","10","140001","96005","50","4","2500"
"92","5","10","25001","96005","10","2","1000"
"93","5","5","150003","96005","30","4","500"
"94","5","5","150004","96005","30","4","650"
"95","5","5","150005","96005","30","4","750"
"96","5","5","150006","96005","30","4","900"
"97","5","5","150007","96005","30","4","1000"
"98","5","5","150008","96005","30","4","1150"
"99","5","5","150009","96005","30","4","1300"
"100","5","5","20004","96005","500","2","2500"
"101","5","5","22003","96005","500","2","1000"
"102","5","0","20004","96005","100","2","1000"
"103","5","0","22003","96005","100","2","400"
"104","6","1","25101","96006","1","2","20000"
"105","6","1","21952","96006","1","2","20000"
"106","6","1","21905","96006","1","2","10000"
"107","6","2","41000","96006","1","2","10000"
"108","6","5","31262","96006","5","2","1500"
"109","6","5","31266","96006","5","2","1500"
"110","6","5","31269","96006","5","2","1500"
"111","6","5","31271","96006","5","2","1500"
"112","6","5","90005","96006","10","2","2500"
"113","6","10","140001","96006","50","4","2500"
"114","6","10","25001","96006","10","2","1000"
"115","6","5","150003","96006","30","4","500"
"116","6","5","150004","96006","30","4","650"
"117","6","5","150005","96006","30","4","750"
"118","6","5","150006","96006","30","4","900"
"119","6","5","150007","96006","30","4","1000"
"120","6","5","150008","96006","30","4","1150"
"121","6","5","150009","96006","30","4","1300"
"122","6","5","20004","96006","500","2","2500"
"123","6","5","22003","96006","500","2","1000"
"124","6","0","20004","96006","100","2","1000"
"125","6","0","22003","96006","100","2","400"
