bdd1ca2ba3d28552b341fbe2ca6998e70a792a3494d401a58054f8d4514ad0ee,395447869561b3ae5446fd83bfbac7ba8d8fdeeec9fac1354fde72d2ca1868a6,5ed3d73d7bb45d96d8a94617cb64ee62b746bdf19035dffed91a13e3657d5d61,46744c566113eff4e0100a2524473748480c5c6d85d2fdedb78118fb8873708d,3c448ef94059320b2b847c7e3c71b62fc7b8377f136dfe749e4fd2d187fe807f,6ace4b0d283697ad1cb0722e03d7ae34ce8c993b17b2d1c4e4e366155a392f91,4b34761c80394cf643db0486793a56338a128d762a8e4f03e79b73b0203852b5
"9999999","0","1","0","50","1","50"
"9999999","0","2","0","20","2","80"
"2000","0","3","0","70","3","30"
"5000","30","4","0","30","3","40"
"10000","40","5","20","0","3","40"
"15000","40","6","30","0","3","30"
"20000","40","7","35","0","3","25"
"25000","40","8","40","0","3","20"
"30000","40","9","45","0","3","15"
"35000","40","10","50","0","3","10"
"40000","35","11","55","0","3","10"
"45000","35","12","60","0","3","5"
"50000","30","13","65","0","3","5"
"55000","30","14","70","0","3","0"
"60000","25","15","75","0","3","0"
"65000","20","16","80","0","3","0"
"70000","15","17","85","0","3","0"
"75000","10","18","90","0","3","0"
"80000","5","19","95","0","3","0"
"9999999","0","20","100","0","3","0"
