b4dae34828c67fe2ebf55ab6579a41cb42ea8565713d6214f0369ec8819ff06a,7eb24d146d9a94e3dcbd14b4bd4251e2925722f0efe2f4621cabb66935b2d857,ae0d80741400c372f066563ffe28bf6ace9329e9795282f49440a016314ec5ce,81e39e776e2f01589b007167a961ee4382cab2185ad4ffbc2fd9f20c52d69112,795bcbe4bb1d95570d053b9913647ebed5c2d230982b720ca9d7df37062f2fc4,50619f365f6b4c09237576e98c36042113c505251e9f2ba9bca122b5e4c4967f,ecc76bde0447130dfd8e787007a3f60501645460062f700ec5771d49c8a28981,fa0b10f54dd5510c0555b2fbda31d72821907bdaf7337931a72b9f38f9a599be,251aa24bf230dc32a56a95876aa3186946f751efefd7404726fab9146af6458f,849fb733b40194339d1a06ff31c0b41de81834c9bf2d75b8a547b8a2def9314b,958b85d248cb46fd6160ef59d5e4013f633773772b3e8c4ddc43f96a6f5ad3dc
"1","2","3","1","1","0","1013","難易度1以上で1回クリアしよう","1","1","1"
"2","2","5","2","1","0","1013","難易度2以上で1回クリアしよう","1","2","2"
"3","2","5","3","1","0","1013","難易度3以上で1回クリアしよう","1","3","3"
"4","2","5","4","1","0","1013","難易度4以上で1回クリアしよう","1","4","4"
"5","2","5","5","1","0","1013","難易度5以上で1回クリアしよう","1","5","5"
"11","3","0","0","10","0","1013","迷宮遺物を累計10個集めよう","1","6","6"
"12","3","0","0","50","0","1013","迷宮遺物を累計50個集めよう","1","7","7"
"13","3","0","0","100","0","1013","迷宮遺物を累計100個集めよう","1","8","8"
"14","4","0","0","10","0","1013","キャラを累計で10人勧誘しよう","1","9","9"
"15","4","0","0","50","0","1013","キャラを累計で50人勧誘しよう","1","10","10"
"16","4","0","0","100","0","1013","キャラを累計で100人勧誘しよう","1","11","11"
"17","4","0","0","150","0","1013","キャラを累計で150人勧誘しよう","1","12","12"
"18","5","0","0","1","0","1013","アルファ強化でノードを1個解放しよう","1","13","13"
"19","5","0","0","5","0","1013","アルファ強化でノードを5個解放しよう","1","14","14"
"20","5","0","0","10","0","1013","アルファ強化でノードを10個解放しよう","1","15","15"
"21","5","0","0","15","0","1013","アルファ強化でノードを15個解放しよう","1","16","16"
"22","5","0","0","20","0","1013","アルファ強化でノードを20個解放しよう","1","17","17"
"23","5","0","0","25","0","1013","アルファ強化でノードを25個解放しよう","1","18","18"
"24","5","0","0","30","0","1013","アルファ強化でノードを30個解放しよう","1","19","19"
"25","5","0","0","40","0","1013","アルファ強化でノードを40個解放しよう","1","20","20"
"30","2","5","2","3","0","1013","難易度2以上で3回クリアしよう（スキップを除く）","1","21","21"
"31","2","5","2","5","0","1013","難易度2以上で5回クリアしよう（スキップを除く）","1","22","22"
"32","2","5","2","10","0","1013","難易度2以上で10回クリアしよう（スキップを除く）","1","23","23"
"33","2","5","2","12","0","1013","難易度2以上で12回クリアしよう（スキップを除く）","1","24","24"
"34","2","5","2","14","0","1013","難易度2以上で14回クリアしよう（スキップを除く）","1","25","25"
