7d595dce959322f919f161a7549b24a4eae1faeae8b9388f3e36a6f89cf4ac0b,49427108459fbf4e93c819a53165ab3bc04c401973b7b2427d8ecb26fbb8614e,dd44c94658f190641beee157bde784c63de59680f0df02eadc8395baea5f7abf,3178bc3b11a3b343a96a4399b86ca3989eb98186b555bb75dc1d99e86f95acbb,0af7c76b314f59ca81bad30ac53c0ccd9af90dd57f78d6ee09f5cbfa50040588,019d7c94a3b03b50eaf7785dee358bc0bba413d11a4a0a9ceae9320f1fc8ca21,a0e54f46c69559eeca6f90e3f5cdbf197fc871e67ec35b05280ac6dc87a13027,3db415316960dee0294373fe88a0cd6bf53c20ebd6102d4d8d9edc42d85f06b1,fb86e311690bd2d5e5dacf7c8fe022bbc8a8536af40069df1c719da149f50888,0f047937273b04194ced14f86897141d427b0653ea573aae67a7b03bbcc1ae48,23b4c39688bf55dd1e12431a9a6b8aefcf6fd122e1e03e7f6ddc2feb4213c25e,70b7a9d49016d32fea7386c3bc31c91a50127b4dc66b247dcfc5829f5176e946,957ac804f513b1bd6f85071f4ef18ff00a4c5dcc3d867e28bb780d5d4ab7a956,29bc1f1ed9c19cc6c1ca1860285b776a60f0edec9dc3d7a8a8ce5b53733136d0,0d133c51bfe7bf08396908391ec0fd4cbcfbfeb2996d8a89f18df01e4f0802f8,2b575133ccf7dcbd7c2e03432ef6c03acbc828b3e34455377f7341eb60ad46d6,10782acb9b87ed8ae38aff929ee5cb11e6e72549eaa86ed73bb24569f437b8be,fc92f38e5a5bebcf8c3d75228182fb74251a5739568a01b828e3835fe3260f82,c61f66a366bd309faf5d9548c61fceb360d06d5889392ef1799a2535a4a67759
"1","1","","1","10132","3","289","0","610132007","0","0","0","610132501","3","0","-60","5.5","5","12"
"1","1","","2","10132","0","289","70","610132008","0","0","0","610132502","1","0","-60","1.5","5","0"
"1","1","","3","10132","0","289","0","610132009","0","0","0","0","1","0","-60","1.5","5","0"
"1.85","1","","1","10134","3","292","55","610134007","0","0","0","0","1","0","-50","5.5","5","0"
"1.85","1","","2","10134","0","292","0","610134008","0","0","0","610134502","3","0","-50","1.5","5","30"
"1.85","1","","3","10134","0","292","0","610134009","0","0","0","0","1","0","-50","1.5","5","0"
"1.1","1","","1","10136","3","295","0","610136007","600","0","0","610136501","2","0","0","5.5","5","0"
"1.5","1","","2","10136","0","295","84","610136008","0","0","0","0","1","0","-50","1.5","5","0"
"1.5","1","","3","10136","0","295","0","610136009","0","0","0","0","1","0","-50","1.5","5","0"
"0.85","1","","1","10137","0","295","75","610137007","0","0","0","0","1","0","0","5.5","5","0"
"0.85","1","","2","10137","0","295","50","610137008","0","0","0","0","1","0","0","1.5","5","0"
"0.85","1","","3","10137","0","295","0","610137009","0","0","0","0","1","0","0","1.5","5","0"
"1.4","1","","1","10140","3","298","77","610140007","0","0","0","0","1","0","0","5.5","5","0"
"1.4","1","","2","10140","0","298","52","610140008","0","0","0","0","1","0","0","1.5","5","0"
"1.4","1","","3","10140","0","298","0","610140009","0","0","0","0","1","0","0","1.5","5","0"
"1.45","1","","1","10142","3","301","76","610142007","0","0","0","0","1","0","-33","5.5","5","0"
"1.23","1","","2","10142","3","301","0","610142008","600","0","0","610142502","2","0","-40","1.5","5","0"
"1.45","1","","3","10142","0","301","0","610142009","0","0","0","0","1","0","-33","1.5","5","0"
"1","1","","1","10144","3","304","65","610144007","0","0","0","0","1","0","-33","5.5","5","0"
"0.85","1","","2","10144","3","304","0","610144008","600","0","0","610144502","2","0","-40","1.5","5","0"
"1","1","","3","10144","0","304","0","610144009","0","0","0","0","1","0","-33","1.5","5","0"
"0.87","1","","1","10146","3","307","0","610146007","600","0","0","610146501","2","0","-45","5.5","5","0"
"1.18","1","","2","10146","0","307","58","610146008","0","0","0","0","1","0","-45","1.5","5","0"
"1.18","1","","3","10146","0","307","0","610146009","0","0","0","0","1","0","-45","1.5","5","0"
"1.4","1","","1","10148","3","310","0","610148007","600","0","0","610148501","2","0","-50","5.5","5","0"
"1.7","1","","2","10148","0","310","68","610148008","0","0","0","0","1","0","-50","1.5","5","0"
"1.7","1","","3","10148","0","310","0","610148009","0","0","0","0","1","0","-50","1.5","5","0"
"1.35","1","","1","10150","3","313","71","610150007","0","0","0","0","1","0","-33","5.5","5","0"
"1.35","1","","2","10150","3","313","50","610150008","0","0","0","0","1","0","-33","1.5","5","0"
"1.35","1","","3","10150","0","313","0","610150009","0","0","0","0","1","0","-33","1.5","5","0"
"0.7","1","","1","10152","4.8","316","0","610152007","600","0","0","610152501","2","0","20","5.5","5","0"
