216c8917f4fa55950df34a9f88538079bd26775db22ac7481bc0784518e221f2,385f56b06286d4d5e39918e956aea3f178b42db2f6ce377b4408f8d3df83fa66,acf956de8c314a24ea1c3d4aaff21a107ca9ab5c80094046e6133064a9cdf74a,72b93d5a899c602388797f15b327f66e82adb64a9a7f8f1c3e4eb05665f6deba,1d55006f6fce6011df1f24dbc17bb8533ea688fdaa730be9cb1b6e3de4c2268c,90761952ee9950f405a8d5e8a028d4d8a70dafd94881c220fda4807a39b27d8d,7b137a9253d29dadfc5d2ff4eb7a0a1210470d8d3d8e3e60955b32844aedd6ae,a140d40d71de8a56e6db77b3331865808e1d31dc356044d18b737bcb18681b7e,d60e9b063d32f08d530ecedeca33951231800c9963feb9bf4a03910408deeaea,740e0b00323749fe3b711695ff723aa98c94c80b655796d7599b8153807b0e4c,627a9dce5b7c0c592becf99b19471c4db3aef9aa68a41d7bec2a35f18160b5e7
"31","2","8","91002","2","10","1","283001001","25021","25013","8"
"31","2","8","91002","2","10","2","283001002","25021","25013","8"
"32","2","8","91002","2","10","3","283001003","25021","25013","8"
"32","2","8","91002","2","10","4","283001004","25021","25013","8"
"33","2","8","91002","2","10","5","283001005","25021","25013","8"
"33","2","8","91002","2","10","6","283001006","25021","25013","9"
"34","2","8","91002","2","10","7","283001007","25021","25013","9"
"35","2","8","91002","2","10","8","283001008","25021","25013","9"
"35","2","8","91002","2","10","9","283001009","25021","25013","9"
"37","2","8","91002","2","30","10","283001010","25021","25013","10"
"41","2","8","91002","2","10","11","283001011","25021","25013","10"
"43","2","8","91002","2","10","12","283001012","25021","25013","11"
"46","2","8","91002","2","10","13","283001013","25021","25013","11"
"48","2","8","91002","2","10","14","283001014","25021","25013","12"
"50","2","8","91002","2","10","15","283001015","25021","25013","12"
"53","2","8","91002","2","10","16","283001016","25021","25013","13"
"55","2","8","91002","2","10","17","283001017","25021","25013","14"
"58","2","8","91002","2","10","18","283001018","25021","25013","14"
"60","2","8","91002","2","10","19","283001019","25021","25013","15"
"62","2","8","91002","2","30","20","283001020","25021","25013","15"
"68","2","8","91002","2","10","21","283001021","25021","25013","16"
"70","2","8","91002","2","10","22","283001022","25021","25013","16"
"72","2","8","91002","2","10","23","283001023","25021","25013","16"
"75","2","8","91002","2","10","24","283001024","25021","25013","17"
"77","2","8","91002","2","10","25","283001025","25021","25013","18"
"79","2","8","91002","2","10","26","283001026","25021","25013","18"
"82","2","8","91002","2","10","27","283001027","25021","25013","19"
"84","2","8","91002","2","10","28","283001028","25021","25013","19"
"86","2","8","91002","2","10","29","283001029","25021","25013","19"
"89","2","8","91002","2","30","30","283001030","25021","25013","20"
"94","2","8","91002","2","10","31","283001031","25021","25013","20"
"96","2","8","91002","2","10","32","283001032","25021","25013","21"
"99","2","8","91002","2","10","33","283001033","25021","25013","21"
"101","2","8","91002","2","10","34","283001034","25021","25013","22"
"103","2","8","91002","2","10","35","283001035","25021","25013","22"
"106","2","8","91002","2","10","36","283001036","25021","25013","23"
"108","2","8","91002","2","10","37","283001037","25021","25013","23"
"111","2","8","91002","2","10","38","283001038","25021","25013","24"
"113","2","8","91002","2","10","39","283001039","25021","25013","25"
"115","2","8","91002","2","30","40","283001040","25021","25013","25"
"121","2","8","91002","2","10","41","283001041","25021","25013","26"
"123","2","8","91002","2","10","42","283001042","25021","25013","27"
"125","2","8","91002","2","10","43","283001043","25021","25013","28"
"128","2","8","91002","2","10","44","283001044","25021","25013","28"
"130","2","8","91002","2","10","45","283001045","25021","25013","29"
"132","2","8","91002","2","10","46","283001046","25021","25013","30"
"135","2","8","91002","2","10","47","283001047","25021","25013","30"
"137","2","8","91002","2","10","48","283001048","25021","25013","31"
"139","2","8","91002","2","10","49","283001049","25021","25013","31"
"142","2","8","91002","2","30","50","283001050","25021","25013","31"
"144","2","8","91002","2","10","51","283001051","25021","25013","32"
"146","2","8","91002","2","10","52","283001052","25021","25013","32"
"149","2","8","91002","2","10","53","283001053","25021","25013","32"
"152","2","8","91002","2","10","54","283001054","25021","25013","33"
"155","2","8","91002","2","10","55","283001055","25021","25013","33"
"157","2","8","91002","2","10","56","283001056","25021","25013","33"
"160","2","8","91002","2","10","57","283001057","25021","25013","34"
"163","2","8","91002","2","10","58","283001058","25021","25013","34"
"166","2","8","91002","2","10","59","283001059","25021","25013","34"
"169","2","8","91002","2","30","60","283001060","25021","25013","35"
"171","2","8","91002","2","10","61","283001061","25021","25013","35"
"174","2","8","91002","2","10","62","283001062","25021","25013","35"
"177","2","8","91002","2","10","63","283001063","25021","25013","36"
"180","2","8","91002","2","10","64","283001064","25021","25013","36"
"182","2","8","91002","2","10","65","283001065","25021","25013","36"
"185","2","8","91002","2","10","66","283001066","25021","25013","37"
"187","2","8","91002","2","10","67","283001067","25021","25013","37"
"190","2","8","91002","2","10","68","283001068","25021","25013","37"
"193","2","8","91002","2","10","69","283001069","25021","25013","38"
"196","2","8","91002","2","30","70","283001070","25021","25013","38"
