c28a8ce708df704478eac8d14ad20662f5fe683ffcc8e191e500998418502e7a,951287e5d2891eee36a913837d76846fc60e806163c053d66a9499b70ed7f877,66fe8a2c74f214878f727b95b91a8bd005cf7adc5d390a8320334cb5fd3cd7e0,fc8c4bd1e64fa9bb88460c2724af28abb6393e679e43e0ade787e380b8a8beb0,f6b66fb8d6f035f8543595189c220d443d53de3559fbf5442f657f6632a0e690,48323c20db08b417b445c9be63ed75eaa9613c08c620d5b10ef1e1bece51edbe,7a15941161f6f09a5b4de6807cab37a4d984fde3ada41512c47b364eb398fd7f,ea7d012d6e2e8742d3adef25df5f8f654cc950441e30d7700e243e2387674a7d,fa7de80a99b902aaab2e04e5ccf1c54e313fdfd20739823c46eb9b2b0b816ec7,fda7514eb88cf2c1b35fce168a5f2b220b3fa0c977e01fec973934bb7b8dfd61,dfa3f3ac62412bd02dde01c56b323b057d86d11702d4e31506889dbf3caaaef1,17dccac0a117e9310dcf03cd8f766bf96197543bfb6ba4a499e0aceaf0f459e8,4a2359204b4a9b7775c017bc0e38dedcba8e0d97ecaa7f191d696f65faf121e1,3fa2e6ea05d914e068b6ff173ef37bd4f6d36eb24cd472f6c5b38ae1598253f8,be2f0939b8507450e543932157851929a23f5b82b2d9626e8b8f965568155c77,2f56d1cba4093016fa58b8fc7bf087c278f1745c691d9c5089d071b8139c83cf,2ed91732f05ac5edcc3d2aeb81a7c12b94db4beb063fc187e23b0d1a639e1570,f9c4de6569833b7d383d4a709466ccfed4673bc5160c66d18987097b702113e9,1a520a6aa03ef6817f4f4acec5e43fbd42a511399a5d30310a8d7880e6106561,833eefee234fccf20d02ac3d2268a48076870b6630751652a9f72f01a3a62d6c,b1e728d1ff09df40d2b0ca38e699c48ad916fe353d0793d22707938919b1d63e,06aa451efc15a1f38b16b27281e43bd7424d50717b2b26b899bbcb0e6b4b5d71
"0","101001","1","10","1","-480","0","-120","bgm_M64","101001","-30","210","-30","1","0.8","1","1001","0.7","0.6","1","10010101","250"
"0","101001","2","10","1","-260","0","-120","bgm_M64","101001","-30","200","0","2","1.2","1","1001","1","0.75","1","10010102","0"
"-50","101001","3","0","1","-40","0","0","bgm_M64","101001","-30","200","-10","3","1.1","1","1001","1","0.75","1","10010103","100"
"0","101001","4","0","1","240","0","-50","bgm_M64","101001","-30","200","0","4","1","1","1001","1","0.7","1","10010104","0"
"0","101011","5","0","1","480","0","-40","bgm_M55","101011","-30","250","0","5","1.3","1","1001","1","1.2","1","10010105","200"
"0","101001","1","10","1","-480","0","-155","bgm_M64","101021","-30","210","-30","1","0.8","1","1002","0.7","0.6","1","10020101","250"
"0","101001","2","10","1","-265","0","-120","bgm_M64","101021","-30","200","0","2","1.2","1","1002","1","0.75","1","10020102","250"
"-30","101001","3","0","1","-30","-15","30","bgm_M64","101021","-30","200","-10","3","1.4","1","1002","1","0.9","1","10020103","100"
"-30","101001","4","0","1","220","0","-90","bgm_M64","101021","-30","200","0","4","1.5","1","1002","1.25","1","1","10020104","100"
"0","101011","5","0","1","440","0","0","bgm_M55","101031","-30","250","0","5","1.8","1","1002","1.6","1.4","1","10020105","200"
"0","101041","1","10","1","-470","0","-155","bgm_M64","101041","-30","210","-30","1","0.8","1","1003","0.7","0.6","1","10030101","250"
"0","101041","2","10","1","-210","0","-95","bgm_M64","101041","-30","200","0","2","1.2","1","1003","1","0.75","1","10030102","250"
"-50","101041","3","0","1","50","0","-120","bgm_M64","101041","-30","200","-10","3","1.1","1","1003","1","0.75","1","10030103","100"
"-30","101041","4","0","1","195","0","35","bgm_M64","101041","-30","200","0","4","1.5","1","1003","1.2","0.8","1","10030104","100"
