ed8f720e339042000f8299017bfa222575a2c2a00f688d45ed7b8eafaa3cd105,e913bf7d44fab32c992928e7e30c481743f5db4783a56dd0f9d8e421362df8fa,b9a49474aea44eb692d13cd8cf0305b4b8077b493d7365b934bd6044d867f419,6b9e88c4e072d309b9006e1caf81b547b99d258b854c9b35eeb2b150867d7d3e,6b4280256edbea5a744e7708a689e2a1f16a8a4382b517ce7d4b2f6adb8420c2,98d9468fa753e64c6b691b33716b846ae23ee8c9578d130605a8eaf4d14cf62c,70d6bd153ebe95b459fd866b4e71a59116dd08bd15826f6c617356c07d86f391,e99efd3b51bbebda7e55e45773c30092bd70efba7020ee055c28a1f8e10cf5fd,476e4d95fe6b95ed54b8f4bd40219dd216de5c945751b87915366e669924f62c,73bb38ed1f0ad18e6c4aa6ca294594743c688ae48bd4fcda3fe7f38eed26fe54,ae654ef1a2da862716320184a516c2184480d8c4fc175dbd4c8d9d880726d69e,c1ef85cba2e6cba5161291bbaf59f875fc896429ae87e6b680470c50637dddbb,7054d767ea1c7cc3b5065aea227a0dd039f5a61cf5d7df66987e8f6802b95e86,e6ab8dd5d27fdda5bad41f62d989a8773aabbd2b88a7a507106fa5a0f2053b25,1ba254ed291a2c57b51239a19bfff3163c371e1a7947b7d682463a648c32ec93,7c08f8f3a6a0c8e8f46381497e907e8342219b5fa926182144c6742e363ab615,5d3377f332b9f90d381aa96314da1382cbb7a1ce448a25f92208778ea3c1f47a,15041b7ec5242e266e1d1ce021da68f703ca8a8438e7ebe075c82bc674beec54
"1","1","10","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"2","11","100","8","91002","10","0","0","0","0","0","0","0","0","0","0","0","0"
"3","101","200","8","91002","5","0","0","0","0","0","0","0","0","0","0","0","0"
"4","201","500","8","91002","3","0","0","0","0","0","0","0","0","0","0","0","0"
"5","501","1000","8","91002","2","0","0","0","0","0","0","0","0","0","0","0","0"
"6","1001","2000","8","91002","2","0","0","0","0","0","0","0","0","0","0","0","0"
"7","2001","3999","8","91002","1","0","0","0","0","0","0","0","0","0","0","0","0"
"8","4000","4000","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"9","4100","4100","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"10","4200","4200","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"11","4300","4300","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"12","4400","4400","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"13","4500","4500","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"14","4600","4600","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"15","4700","4700","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"16","4800","4800","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"17","4900","4900","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"18","5000","5000","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"19","5100","5100","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"20","5200","5200","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"21","5300","5300","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"22","5400","5400","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"23","5500","5500","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"24","5600","5600","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"25","5700","5700","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"26","5800","5800","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"27","5900","5900","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"28","6000","6000","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"29","6100","6100","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"30","6200","6200","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"31","6300","6300","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"32","6400","6400","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"33","6500","6500","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"34","6600","6600","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"35","6700","6700","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"36","6800","6800","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"37","6900","6900","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"38","7000","7000","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"39","7100","7100","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"40","7200","7200","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"41","7300","7300","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"42","7400","7400","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"43","7500","7500","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"44","7600","7600","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"45","7700","7700","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"46","7800","7800","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"47","7900","7900","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"48","8000","8000","8","91002","50","0","0","0","0","0","0","0","0","0","0","0","0"
"49","8100","8100","8","91002","15","0","0","0","0","0","0","0","0","0","0","0","0"
"50","8200","8200","8","91002","15","0","0","0","0","0","0","0","0","0","0","0","0"
"51","8300","8300","8","91002","15","0","0","0","0","0","0","0","0","0","0","0","0"
"52","8400","8400","8","91002","15","0","0","0","0","0","0","0","0","0","0","0","0"
"53","8500","8500","8","91002","15","0","0","0","0","0","0","0","0","0","0","0","0"
