4e60db9a8057e2b1a6f567264a291c1baf326ed00fcf29ac8ac788a35477a8e7,cb29afb2eb5ebc279ac464d9f66282e9f04c0b0d2a65d92175f702d3096e34a6,087fa7a2717ddc64f13d09d3317f53614b23b27d5ae6df1c1679da4d4ef394a4,24d84ec2c0cb6d847e2c5f6c5d97b00ad65af62c3d05e65d1a07392c606f6dc9,172639de8dd1e8a9b8dc088dcbfaf85d3fc4617b577b23ad3b94eedaeb3445f3
"0","81000104","bgm_M125","1","70"
"0","81000104","bgm_M125","2","110"
"0","81000104","bgm_M125","3","130"
"0","81000104","bgm_M125","4","150"
"0","81000104","bgm_M125","5","170"
"0","81000104","bgm_M125","6","190"
"0","81000104","bgm_M125","7","210"
"0","81000104","bgm_M125","8","230"
"0","81000104","bgm_M125","9","250"
"0","81000104","bgm_M125","10","270"
"0","81000104","bgm_M125","11","290"
"0","81000104","bgm_M125","12","310"
"0","81000104","bgm_M125","13","330"
"73140350","81000104","bgm_M125","14","350"
"73150360","81000104","bgm_M125","15","360"
"73160370","81000104","bgm_M125","16","370"
"73170380","81000104","bgm_M125","17","380"
"73180390","81000104","bgm_M125","18","390"
"73190400","81000104","bgm_M125","19","400"
"73200410","81000104","bgm_M125","20","410"
"73210420","81000104","bgm_M125","21","420"
"73220430","81000104","bgm_M125","22","430"
"73230440","81000104","bgm_M125","23","440"
"73240450","81000104","bgm_M125","24","450"
"73250460","81000104","bgm_M125","25","460"
"73260470","81000104","bgm_M125","26","470"
"73270480","81000104","bgm_M125","27","480"
"73280490","81000104","bgm_M125","28","490"
"73290500","81000104","bgm_M125","29","500"
"73300510","81000104","bgm_M125","30","510"
"73310520","81000104","bgm_M125","31","520"
"73320530","81000104","bgm_M125","32","530"
"73330540","81000104","bgm_M125","33","540"
"73340550","81000104","bgm_M125","34","550"
"73350560","81000104","bgm_M125","35","560"
"73360570","81000104","bgm_M125","36","570"
"73370580","81000104","bgm_M125","37","580"
"73380590","81000104","bgm_M125","38","590"
"73390600","81000104","bgm_M125","39","600"
"73400610","81000104","bgm_M125","40","610"
"73410620","81000104","bgm_M125","41","620"
"73420630","81000104","bgm_M125","42","630"
"73430640","81000104","bgm_M125","43","640"
"73440650","81000104","bgm_M125","44","650"
"73450660","81000104","bgm_M125","45","660"
"73460670","81000104","bgm_M125","46","670"
"73470680","81000104","bgm_M125","47","680"
"73480690","81000104","bgm_M125","48","690"
"73490700","81000104","bgm_M125","49","700"
"73500710","81000104","bgm_M125","50","710"
"73510720","81000104","bgm_M125","51","720"
"73520730","81000104","bgm_M125","52","730"
"73530740","81000104","bgm_M125","53","740"
"73540750","81000104","bgm_M125","54","750"
"73550760","81000104","bgm_M125","55","760"
"73560770","81000104","bgm_M125","56","770"
"0","81000104","bgm_M125","57","780"
