980392412f8f37a023c0210594afd13f9af07b921e2ed8c0a4ecc91649ac8525,eb396b8f482c3c37ac406f6f1bb5abdcbd34162a5f7f1969f6d9e04f4a225c2f,e779b3ff8a6f51bb417440cbcd34a2337f2462b275bbeb10845008cd95638240,3562b82c0e614e2a16d3794631624d96eece145ceb7a10cd61b883301df98cb2,89833b258aa129a9e93dff8fc7f05cf95052347065b5107702a317ae618092eb,ff585d21bb794620f7b1a40e127b718822cf38fba61e424d23410bd0fec80bae,b018443a2c5ddebf107cf743ba44dc866be43a0aee7a2f710ff4795b986c1ea8,ca3b83df954274fc0cd822e3d21a7d318eb3aad3dfbff6ac62d73603f11f4e36,b20619cace69c72354361d46dd2aebe5a6d80d1aa735f8eee76dcd4e6996eeeb,8b1e6dfeda251670216596fb8fc9eeac77c233abbf4b24a5f582750f0a9cbe91,1954cc53a66ee405c2b579341056765cec38d321bd91dd71d148966950d633bb,2f76a7fa62f20d8007d69ba9cb754b41201c3739ff8a0b392fb7a42889c7d2a4
"0","0.05","0","0","30","315","26","0.025","0","34","1","0"
"0","0.05","0","0","29","306","25","0.025","0","33","2","0"
"0","0.05","0","0","28","297","24","0.025","0","32","3","0"
"0","0.05","0","0","27","288","23","0.025","0","31","4","0"
"0","0.05","0","0","26","279","22","0.025","0","30","5","0"
"0","0.05","0","0","25","270","21","0.025","0","29","6","0"
"0","0.05","0","0","24","261","20","0.025","0","28","7","0"
"0","0.05","0","0","23","252","19","0.025","0","27","8","0"
"0","0.05","0","0","22","243","18","0.025","0","26","9","0"
"0","0.05","0","0","21","234","17","0.025","0","25","10","0"
"0","0.05","0","0","20","225","16","0.025","0","24","11","0"
"0","0.05","0","0","19","216","15","0.025","0","23","12","0"
"0","0.05","0","0","18","207","14","0.025","0","22","13","0"
"0","0.05","0","0","17","198","13","0.025","0","21","14","0"
"0","0.05","0","0","16","189","12","0.025","0","20","15","0"
"0","0.05","0","0","15","180","11","0.025","0","19","16","0"
"0","0.05","0","0","14","171","10","0.025","0","18","17","0"
"0","0.05","0","0","13","161","9","0.025","0","17","18","0"
"0","0.05","0","0","12","152","8","0.025","0","16","19","0"
"0","0.05","0","0","11","143","7","0.025","0","15","20","0"
"0","0.05","0","0","10","134","6","0.025","0","14","21","0"
"0","0.05","0","0","9","125","5","0.025","0","13","22","0"
"0","0.05","0","0","8","116","4","0.025","0","12","23","0"
"0","0.05","0","0","7","107","3","0.025","0","11","24","0"
"0","0.05","0","0","6","101","2","0.025","0","10","25","0"
"0","0","0","0","0","1","0","0","0","0","26","0"
