d5b1913dcf25b0d8af9bb9a65304d8a0ecd8b9943f26c2d9807ca2129340da44,e02373563e94832d93152b62b6e34c938dfeb275c0316a58b91ef675f3091796,b78fd4e4e37df3969696f2c3ac4c0ade0bea3ab8ab8b8171e908d592332f38a8,b0093da91fa98ebb5f65a9f07b130692ba1741aa88789410568591a4d5125c30,bdb193282e1b4754d09999fc67f47f069181012ee6bcbc3c332c8fc4fe4597d4,5898fc395bc8090a7eeaa8e9d1da94e9ea2c377c513efb953e76c5eca30f4e55,adf2ce3186050563ee1781b02ac0004bfe0e992725b4fe8b89eb07f4f7f8f761
"2018/09/18 14:59:59","2018/09/13 12:00:00","2018/09/17 14:59:59","2018/09/18 5:00:00","7001000","1001","1"
"2018/10/18 14:59:59","2018/10/13 12:00:00","2018/10/17 14:59:59","2018/10/18 5:00:00","7002000","1002","2"
"2018/11/19 14:59:59","2018/11/14 12:00:00","2018/11/18 14:59:59","2018/11/19 5:00:00","7003000","1003","3"
"2018/12/19 14:59:59","2018/12/14 12:00:00","2018/12/18 14:59:59","2018/12/19 5:00:00","7003003","1004","4"
"2019/01/19 14:59:59","2019/01/14 12:00:00","2019/01/18 14:59:59","2019/01/19 5:00:00","7004000","1005","5"
"2019/02/19 11:59:59","2019/02/14 15:00:00","2019/02/18 11:59:59","2019/02/19 5:00:00","7004003","1006","6"
"2019/03/19 14:59:59","2019/03/14 12:00:00","2019/03/18 14:59:59","2019/03/19 5:00:00","7005000","1007","7"
"2019/04/18 20:59:59","2019/04/13 12:00:00","2019/04/17 20:59:59","2019/04/18 5:00:00","7005003","1008","8"
"2019/05/18 20:59:59","2019/05/13 12:00:00","2019/05/17 20:59:59","2019/05/18 5:00:00","7006000","1009","9"
"2019/06/19 20:59:59","2019/06/14 12:00:00","2019/06/18 20:59:59","2019/06/19 5:00:00","7006003","1010","10"
"2019/07/22 20:59:59","2019/07/15 12:00:00","2019/07/21 20:59:59","2019/07/22 5:00:00","7007000","1011","11"
"2019/08/19 20:59:59","2019/08/14 10:00:00","2019/08/18 20:59:59","2019/08/19 5:00:00","7007003","1012","12"
"2019/09/19 20:59:59","2019/09/14 12:00:00","2019/09/18 20:59:59","2019/09/19 5:00:00","7008000","1013","13"
"2019/10/19 20:59:59","2019/10/14 12:00:00","2019/10/18 20:59:59","2019/10/19 5:00:00","7008003","1014","14"
"2019/11/19 20:59:59","2019/11/14 12:00:00","2019/11/18 20:59:59","2019/11/19 5:00:00","7009000","1015","15"
"2019/12/19 20:59:59","2019/12/14 12:00:00","2019/12/18 20:59:59","2019/12/19 5:00:00","7009003","1016","16"
"2020/01/21 20:59:59","2020/01/14 12:00:00","2020/01/20 20:59:59","2020/01/21 5:00:00","7010000","1017","17"
"2020/02/21 20:59:59","2020/02/14 12:00:00","2020/02/20 20:59:59","2020/02/21 5:00:00","7010003","1018","18"
"2020/03/19 20:59:59","2020/03/12 12:00:00","2020/03/18 20:59:59","2020/03/19 5:00:00","7011000","1019","19"
"2020/04/19 20:59:59","2020/04/14 12:00:00","2020/04/18 20:59:59","2020/04/19 5:00:00","7011003","1020","20"
"2020/05/19 20:59:59","2020/05/14 12:00:00","2020/05/18 20:59:59","2020/05/19 5:00:00","7012000","1021","21"
"2020/06/19 20:59:59","2020/06/14 12:00:00","2020/06/18 20:59:59","2020/06/19 5:00:00","7012003","1022","22"
"2020/07/19 20:59:59","2020/07/14 12:00:00","2020/07/18 20:59:59","2020/07/19 5:00:00","7013000","1023","23"
"2020/08/19 20:59:59","2020/08/14 12:00:00","2020/08/18 20:59:59","2020/08/19 5:00:00","7013003","1024","24"
"2020/09/20 20:59:59","2020/09/15 12:00:00","2020/09/19 20:59:59","2020/09/20 5:00:00","7014000","1025","25"
"2020/10/19 20:59:59","2020/10/14 12:00:00","2020/10/18 20:59:59","2020/10/19 5:00:00","7014003","1026","26"
"2020/11/24 20:59:59","2020/11/18 12:00:00","2020/11/23 20:59:59","2020/11/24 5:00:00","7015000","1027","27"
"2020/12/23 20:59:59","2020/12/18 12:00:00","2020/12/22 20:59:59","2020/12/23 5:00:00","7015003","1028","28"
"2021/01/23 20:59:59","2021/01/18 12:00:00","2021/01/22 20:59:59","2021/01/23 5:00:00","7016000","1029","29"
"2021/02/23 20:59:59","2021/02/18 12:00:00","2021/02/22 20:59:59","2021/02/23 5:00:00","7016003","1030","30"
"2021/03/23 20:59:59","2021/03/18 12:00:00","2021/03/22 20:59:59","2021/03/23 5:00:00","7017000","1031","31"
"2021/04/21 20:59:59","2021/04/16 12:00:00","2021/04/20 20:59:59","2021/04/21 5:00:00","7017003","1032","32"
"2021/05/22 20:59:59","2021/05/17 12:00:00","2021/05/21 20:59:59","2021/05/22 5:00:00","7018000","1033","33"
"2021/06/22 20:59:59","2021/06/17 12:00:00","2021/06/21 20:59:59","2021/06/22 5:00:00","7018003","1034","34"
"2021/07/21 20:59:59","2021/07/16 12:00:00","2021/07/20 20:59:59","2021/07/21 5:00:00","7019000","1035","35"
"2021/08/21 20:59:59","2021/08/16 12:00:00","2021/08/20 20:59:59","2021/08/21 5:00:00","7019003","1036","36"
"2021/09/21 20:59:59","2021/09/16 12:00:00","2021/09/20 20:59:59","2021/09/21 5:00:00","7020000","1037","37"
"2021/10/22 20:59:59","2021/10/17 12:00:00","2021/10/21 20:59:59","2021/10/22 5:00:00","7020003","1038","38"
"2021/11/22 20:59:59","2021/11/17 12:00:00","2021/11/21 20:59:59","2021/11/22 5:00:00","7021000","1039","39"
"2021/12/21 20:59:59","2021/12/16 12:00:00","2021/12/20 20:59:59","2021/12/21 5:00:00","7021003","1040","40"
"2022/01/22 20:59:59","2022/01/17 12:00:00","2022/01/21 20:59:59","2022/01/22 5:00:00","7022000","1041","41"
"2022/02/22 20:59:59","2022/02/17 12:00:00","2022/02/21 20:59:59","2022/02/22 5:00:00","7022003","1042","42"
"2022/03/22 20:59:59","2022/03/17 12:00:00","2022/03/21 20:59:59","2022/03/22 5:00:00","7023000","1043","43"
"2022/05/22 20:59:59","2022/05/17 12:00:00","2022/05/21 20:59:59","2022/05/22 5:00:00","7023003","1044","44"
"2022/07/24 20:59:59","2022/07/19 13:00:00","2022/07/23 20:59:59","2022/07/24 5:00:00","7024000","1045","45"
"2022/09/21 20:59:59","2022/09/16 12:00:00","2022/09/20 20:59:59","2022/09/21 5:00:00","7024003","1046","46"
"2022/11/23 20:59:59","2022/11/18 12:00:00","2022/11/22 20:59:59","2022/11/23 5:00:00","7025000","1047","47"
"2023/02/20 20:59:59","2023/02/15 15:00:00","2023/02/19 20:59:59","2023/02/20 5:00:00","7025003","1048","48"
"2023/05/23 20:59:59","2023/05/18 12:00:00","2023/05/22 20:59:59","2023/05/23 5:00:00","7026000","1049","49"
"2023/08/21 20:59:59","2023/08/16 12:00:00","2023/08/20 20:59:59","2023/08/21 5:00:00","7026003","1050","50"
"2023/11/22 20:59:59","2023/11/17 12:00:00","2023/11/21 20:59:59","2023/11/22 5:00:00","7027000","1051","51"
"2024/03/21 20:59:59","2024/03/16 12:00:00","2024/03/20 20:59:59","2024/03/21 5:00:00","7027003","1052","52"
"2024/07/22 20:59:59","2024/07/17 12:00:00","2024/07/21 20:59:59","2024/07/22 5:00:00","7028000","1053","53"
"2025/03/22 20:59:59","2025/03/17 12:00:00","2025/03/21 20:59:59","2025/03/22 5:00:00","7028003","1054","54"
"2025/06/22 20:59:59","2025/06/17 12:00:00","2025/06/21 20:59:59","2025/06/22 5:00:00","7029000","1055","55"
"2025/08/21 20:59:59","2025/08/16 12:00:00","2025/08/20 20:59:59","2025/08/21 5:00:00","7029003","1056","56"
