23ee24a97dfed7b692fd76da330833a8a78e444d0ad718709db8aea6aafe84bf,edcab9f284990fe518ef3508a663e79baf17d4d6b2026bbf79807ae79596866d,fa1bd7a0531bcdae6442db6a41074d35071bd88ae03cbed75f40b726f91baeaf,27a42cd8b95ffb2314ead0de98a09c25c414882de908af2ff1e6d89c3b13949a,e617830d21edce36e8b01ecca43cb623f22ae854c876704dc116cb5106fe8a20,5a5f7fe0ab384434fc6d412604af1408702cff04fcadf452cfcd3b82dd96f197,8ffb2aeb2e295b57a8b5857cef16e816ced418338859b4720d65f2a31b2851dd,baf32150a566f36a1940c8c5c487bc39c88cb3d2ca84d052332d3fd2eb0cf3e7
"平凡な未鑑定トレジャー","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","200","1","1","53001","100","平凡な\n未鑑定トレジャー"
"貴重な未鑑定トレジャー","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","400","1","2","53002","200","貴重な\n未鑑定トレジャー"
"至高の未鑑定トレジャー","正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","800","1","3","53003","400","至高の\n未鑑定トレジャー"
"平凡なジェムストーン","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","200","0","1","53004","100","平凡なジェムストーン"
"貴重なジェムストーン","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","400","0","2","53005","200","貴重なジェムストーン"
"至高のジェムストーン","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","800","0","3","53006","400","至高のジェムストーン"
"平凡なインゴット","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","200","0","1","53007","100","平凡なインゴット"
"貴重なインゴット","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","400","0","2","53008","200","貴重なインゴット"
"至高のインゴット","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","800","0","3","53009","400","至高のインゴット"
"平凡なスクロール","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","200","0","1","53010","100","平凡なスクロール"
"貴重なスクロール","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","400","0","2","53011","200","貴重なスクロール"
"至高のスクロール","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","800","0","3","53012","400","至高のスクロール"
"平凡なティアラ","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","200","0","1","53013","100","平凡なティアラ"
"貴重なティアラ","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","400","0","2","53014","200","貴重なティアラ"
"至高のティアラ","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","800","0","3","53015","400","至高のティアラ"
"平凡なルーン","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","200","0","1","53016","100","平凡なルーン"
"貴重なルーン","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","400","0","2","53017","200","貴重なルーン"
"至高のルーン","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","800","0","3","53018","400","至高のルーン"
"平凡なクラウン","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","200","0","1","53019","100","平凡なクラウン"
"貴重なクラウン","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","400","0","2","53020","200","貴重なクラウン"
"至高のクラウン","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","800","0","3","53021","400","至高のクラウン"
"平凡なアーティファクト","平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","200","0","1","53022","100","平凡なアーティファクト"
"貴重なアーティファクト","珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","400","0","2","53023","200","貴重なアーティファクト"
"至高のアーティファクト","非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","800","0","3","53024","400","至高のアーティファクト"
