58bcdaffd907e493d990cc4edb0099d0cb890ce4eee4f26b3b14845a6f9d29cb,8d754c57e1329fd486e82893154efe249ddad2d7480028982ee9d8f2955835e4,72aa1717d2fe44582818fc8e7e4f39b0df7f563bd725cd3984ba1a6b930ecae0,be5bdf010a1ad19db3536a42e6e890666cec761099b46b31e6f5234597f57aa4,1bb37cbe82e73d60fe14b04a494f09d61879355b365b9a0e140b96bed6688bb7
"200","1","8500","30","1"
"5","1","1500","30","2"
"220","2","8500","60","3"
"5","2","1500","60","4"
"200","3","8500","60","5"
"200","3","1500","15","6"
"200","4","8500","60","7"
"200","4","1500","10","8"
"150","5","8500","40","9"
"5","5","1500","40","10"
"150","6","8500","60","11"
"200","6","1500","10","12"
"150","7","8500","40","13"
"5","7","1500","40","14"
"150","8","8500","50","15"
"200","8","1500","15","16"
"150","9","8500","45","17"
"200","9","1500","10","18"
"145","10","8500","40","19"
"5","10","1500","10","20"
"300","11","8500","40","21"
"5","11","1500","10","22"
"200","12","8500","65","23"
"200","12","1500","10","24"
"150","13","8500","40","25"
"5","13","1500","10","26"
"100","14","8500","40","27"
"5","14","1500","10","28"
"200","15","8500","50","29"
"5","15","1500","10","30"
"250","16","8500","60","31"
"200","16","1500","30","32"
"120","17","8500","45","33"
"300","17","1500","90","34"
"120","18","8500","90","35"
"200","18","1500","30","36"
"190","19","8500","50","37"
"350","19","1500","60","38"
"95","20","8500","90","39"
"95","20","1500","90","40"
"200","21","8500","20","41"
"5","21","1500","5","42"
"450","22","8500","30","43"
"5","22","1500","5","44"
"200","23","8500","20","45"
"5","23","1500","5","46"
"130","1001","8500","30","47"
"5","1001","1500","5","48"
"140","1002","8500","30","49"
"5","1002","1500","5","50"
"150","1003","8500","40","51"
"5","1003","1500","5","52"
"155","1004","8500","45","53"
"200","1004","1500","5","54"
"155","1005","8500","60","55"
"200","1005","1500","10","56"
"150","1006","8500","60","57"
"200","1006","1500","15","58"
"150","1007","8500","60","59"
"200","1007","1500","15","60"
"160","1008","8500","50","61"
"200","1008","1500","15","62"
"140","1009","8500","70","63"
"200","1009","1500","30","64"
"180","1010","8500","35","65"
"200","1010","1500","120","66"
"140","1011","8500","65","67"
"200","1011","1500","30","68"
"200","1012","8500","35","69"
"5","1012","1500","5","70"
"150","1013","8500","70","71"
"200","1013","1500","15","72"
"150","1014","8500","60","73"
"200","1014","1500","15","74"
"150","1015","8500","60","75"
"200","1015","1500","15","76"
"150","1016","8500","60","77"
"200","1016","1500","15","78"
"150","1017","8500","60","79"
"200","1017","1500","15","80"
"120","1018","8500","50","81"
"200","1018","1500","60","82"
"102","1019","8500","67","83"
"200","1019","1500","60","84"
"120","1020","8500","35","85"
"250","1020","1500","60","86"
"200","10001","7000","30","87"
"5","10001","3000","30","88"
"220","10002","7000","60","89"
"5","10002","3000","60","90"
"200","10003","7000","60","91"
"200","10003","3000","15","92"
"200","10004","7000","60","93"
"200","10004","3000","10","94"
"150","10005","7000","40","95"
"5","10005","3000","40","96"
"150","10006","7000","60","97"
"200","10006","3000","10","98"
"150","10007","7000","40","99"
"5","10007","3000","40","100"
"150","10008","7000","50","101"
"200","10008","3000","15","102"
"150","10009","7000","45","103"
"200","10009","3000","10","104"
