77d733cd5437682efd2ca2085b652c20fba001edf00a929030c91cbc36e9d699,dee62227be113916d8e66fe3fff3f9a3422481c317d556e2b97615f3a2ca0b3c,434f266d59f7cc3c34ab242293e4c3c88c7082169c3f0060b5acb3d14a3f21e9,e76ea56672572a0701f81df5d50e6e7140230b630f4dea33154b66c6a866a389,b563e02498d284ae51f9d6d4298dddb5b9622c64c50a7ce7128d7ce8d24d06b4,95d8ae39eeed22cb18651fed38da192abe75aa9f15846a5c849e2bfca9e8ce1e,74f45354f0700e88661ec8f432ce742a6fc8ef346608586803974f8ea47b90a3
"1","1","1","0","0","1","1"
"2","1","4","0","0","2","1"
"1","1","5","12","0","3","1"
"2","1","2","0","0","4","1"
"1","2","8","0","0","5","1"
"1","1","1","0","0","1","2"
"2","1","1","0","0","2","2"
"1","1","6","0","0","3","2"
"2","1","1","0","0","4","2"
"3","1","1","0","0","5","2"
"1","3","3","11","0","6","2"
"2","1","1","0","0","7","2"
"1","1","3","0","0","8","2"
"1","2","1","0","0","9","2"
"1","1","1","0","0","1","3"
"2","1","10","0","0","2","3"
"1","1","11","0","0","3","3"
"2","1","5","0","0","4","3"
"3","1","6","0","0","5","3"
"3","1","3","0","0","6","3"
"4","2","3","9","0","7","3"
"4","1","7","0","0","8","3"
"4","1","1","0","0","9","3"
"1","3","9","8","0","10","3"
"2","1","4","0","0","11","3"
"1","1","1","0","0","12","3"
"4","1","3","0","0","13","3"
"3","2","3","11","0","14","3"
"1","1","4","10","0","1","4"
"1","1","12","12","0","2","4"
"2","1","1","10","0","3","4"
"1","1","11","4","0","4","4"
"2","1","1","0","0","5","4"
"1","1","4","13","0","6","4"
"2","1","2","6","0","7","4"
"1","1","8","0","0","8","4"
"2","1","8","10","0","9","4"
"1","1","1","10","0","1","5"
"2","1","11","5","0","2","5"
"1","1","1","7","0","3","5"
"2","1","5","12","0","4","5"
"1","1","1","11","0","5","5"
"2","1","3","4","0","6","5"
"2","1","5","12","0","7","5"
"1","1","2","6","0","8","5"
"2","1","11","4","0","9","5"
"1","1","8","8","0","10","5"
"1","1","4","10","0","11","5"
"2","1","5","10","0","12","5"
"1","1","8","7","0","1","6"
"2","1","4","10","0","2","6"
"1","1","1","11","0","3","6"
"2","1","8","8","0","4","6"
"1","1","11","6","0","5","6"
"1","2","2","7","0","6","6"
"1","1","5","4","0","7","6"
"2","1","4","10","0","8","6"
"1","2","10","13","0","9","6"
"1","1","8","7","0","1","7"
"2","1","12","10","0","2","7"
"2","1","4","12","0","3","7"
"1","1","11","7","0","4","7"
"1","1","1","10","0","5","7"
"2","1","5","12","0","6","7"
"2","1","5","11","0","7","7"
"2","1","8","10","0","8","7"
"1","1","2","8","0","9","7"
"1","1","8","7","0","10","7"
"2","1","4","9","0","11","7"
"1","2","1","10","0","1","8"
"2","1","12","10","0","2","8"
"1","1","12","5","0","3","8"
"1","1","5","12","0","4","8"
"2","1","1","10","0","5","8"
"1","1","5","12","0","6","8"
"1","1","5","12","0","7","8"
"2","1","1","10","0","8","8"
"2","1","8","9","0","9","8"
"1","2","4","9","0","10","8"
"1","1","4","8","0","1","9"
"1","1","5","10","0","2","9"
"2","1","4","7","0","3","9"
"2","1","6","8","0","4","9"
"1","1","1","10","0","5","9"
"1","1","11","11","0","6","9"
"1","1","1","6","0","7","9"
"2","1","5","8","0","8","9"
"2","1","8","7","0","9","9"
"1","1","4","6","0","10","9"
"2","1","11","10","0","1","10"
"1","1","1","7","0","2","10"
"1","2","8","8","0","3","10"
"2","1","5","9","0","4","10"
"1","1","10","8","0","5","10"
"1","2","1","7","0","6","10"
"1","2","2","6","0","7","10"
"1","1","11","10","0","8","10"
"2","1","8","10","0","9","10"
"1","1","9","8","0","1","11"
"2","1","5","0","0","2","11"
"2","1","6","12","0","3","11"
"1","1","1","5","0","4","11"
"2","1","5","10","0","5","11"
"2","1","6","12","0","6","11"
"1","1","1","4","0","7","11"
"1","1","11","0","0","8","11"
"1","1","6","0","0","9","11"
"2","1","1","10","0","10","11"
"1","1","6","11","0","11","11"
"2","1","1","12","0","12","11"
"2","1","5","6","0","13","11"
"1","1","10","7","0","14","11"
"2","1","4","7","0","15","11"
"2","1","11","4","0","1","12"
"1","1","1","5","0","2","12"
"2","1","6","10","0","3","12"
