49758e2bcff4beb5504b17887b2f75ce5cf4f93b74b7c861c61036062027f26e,afcc4486e6c5fa776bb02e3adf076b673e75b721eddb4d3746b00efe3270e0f0,9f5562ab6e9afa96f896dd1ad6f6a5d15550dd6a441c4025e7a12107ccde728a,89f23f21d108cb7deeeda03994237e44fbb8fe1b19937857427feb882b29c3f7,622c80c438bcbdefdb1b76e7b9055e3cd1d2782c9c67940e7341169eec6ea7ec
"1","1","135","300","1"
"2","1","425","-100","1"
"3","2","-100","125","1"
"4","2","375","-415","1"
"5","3","25","-50","1"
"6","3","-25","-300","1"
"7","4","-195","-335","1"
"8","4","105","-415","1"
"9","5","135","-160","1"
"10","6","345","-40","1"
"11","7","-230","90","1"
"12","8","230","-420","1"
"13","9","30","250","1"
"14","10","280","-245","1"
"15","11","-150","-110","1"
