0afe4611dad8c3b969b139a575eea46b846b866e3955e5df7ba1720eaae5ef53,23f97d660a79e479e6a522d3e078926f986ab3c3440a49ca679a653240f05fad,a2ae410c9b6d765bf6b32ad75a0a54e9eac9366158ebb85f2d3d43d3a4c404cc,974df1901f0e443c0fa0015cb586ce9cc4e49921a0201e95f7386cdd5c5f1f56,db7c0939972a06392d4381cc704f353c7fdf72a7306f10e7d0b1745da0ba1a8d,a3efbd341c65ac896222d40c76811c992b09a57b969bdfd77b2b09e65e1f714a,6b0280557289f3a1de1df641fddf92389b6ef5e6529412e98c30bf1960d26b2b,e8cfbb4d82c3a06368d52641c8568766b511c9b427146ee0b60e8df8e1948ee0
"1","71","170","-90","182","-401","1","1"
"1","81","170","-90","182","-401","2","2"
"1","121","255","90","182","-255","3","3"
"1","131","255","90","182","-255","4","4"
"1","141","255","90","182","-255","5","5"
"1","191","229","-80","176","-107","6","6"
"1","201","229","-80","176","-107","7","7"
"1","271","218","-85","151","136","8","8"
"1","281","218","-85","151","136","9","9"
"1","291","218","-85","151","136","10","10"
"1","331","156","80","219","280","11","11"
"1","341","156","80","219","280","12","12"
"1","351","156","80","219","280","13","13"
"1","401","213","-97","183","417","14","14"
"1","411","213","-97","183","417","15","15"
"2","451","242","-73","229","-259","2","1"
"2","481","226","124","179","-222","4","2"
"2","501","219","-67","192","-101","6","3"
"2","521","168","-27","190","-26","8","4"
"2","551","192","-50","260","117","11","5"
"2","601","159","120","138","241","14","6"
"2","611","159","120","138","241","14","7"
"2","621","224","-71","229","243","14","8"
"3","781","71","32","43","-353","1","1"
"3","801","235","-30","268","-228","2","2"
"3","831","80","144","45","-243","3","3"
"3","851","221","-76","225","20","4","4"
"3","861","211","-74","222","230","5","5"
"3","891","115","44","136","-100","6","6"
"3","901","115","44","136","-100","7","7"
"3","991","306","76","250","116","8","8"
"3","1001","306","76","250","116","9","9"
"3","1011","306","76","250","116","10","10"
"3","1041","96","40","188","322","11","11"
"3","1051","96","40","188","322","12","12"
"4","1091","294","-6","272","-211","1","1"
"4","1101","92","129","115","-288","2","2"
"4","1111","92","129","115","-288","3","3"
"4","1121","135","128","174","-58","4","4"
"4","1151","222","133","184","143","5","5"
"4","1161","134","-129","98","-277","6","6"
"4","1171","134","-129","98","-277","7","7"
"4","1211","67","-12","70","-60","8","8"
"4","1221","67","-12","70","-60","9","9"
"4","1231","132","-55","185","116","10","10"
"4","1261","93","-103","89","-17","11","11"
"4","1271","93","-103","89","-17","12","12"
"4","1311","150","23","239","232","13","13"
"5","1391","114","-161","72","-289","1","1"
"5","1401","114","-161","72","-289","2","2"
"5","1411","228","80","248","-261","3","3"
"5","1431","223","-91","211","-103","4","4"
"5","1471","186","95","181","-87","5","5"
"5","1551","132","-122","176","69","6","6"
"5","1561","132","-122","176","69","7","7"
"5","1611","143","91","184","54","8","8"
"5","1641","211","45","247","204","9","9"
"5","1651","137","141","167","308","10","10"
"5","1661","175","-46","174","282","11","11"
"6","1741","222","-11","240","-252","1","1"
"6","1761","311","-96","245","-19","2","2"
"6","1771","261","95","221","-46","3","3"
"6","1781","166","83","237","152","4","4"
"6","1782","183","-100","229","227","5","5"
"7","1811","223","-46","183","-249","1","1"
"7","1881","337","54","247","-159","2","2"
"7","1921","202","-70","191","30","3","3"
"7","1941","176","0","215","173","4","4"
"7","1981","204","77","236","292","5","5"
"8","2001","209","89","254","-472","1","1"
"8","2031","250","-77","282","-375","2","2"
"8","2051","241","110","223","-280","3","3"
"8","2101","243","-85","270","-148","4","4"
"8","2131","274","74","264","3","5","5"
"8","2171","321","-36","302","155","6","6"
"8","2201","199","82","277","283","7","7"
"8","2271","349","0","344","374","8","8"
"9","2321","240","-30","301","-275","1","1"
"9","2361","106","-115","108","-132","2","2"
"9","2371","106","-115","108","-132","3","3"
"9","2381","202","32","246","-73","4","4"
"9","2411","114","-140","84","-43","5","5"
"9","2421","114","-140","84","-43","6","6"
"9","2461","86","65","84","50","8","7"
"9","2471","86","65","84","50","9","8"
"9","2481","185","-110","137","80","10","9"
"9","2491","185","-110","137","80","11","10"
"9","2521","301","24","377","131","7","11"
"9","2531","190","-50","305","280","12","12"
"10","2601","123","-137","145","-527","3","1"
"10","2611","123","-137","145","-527","4","2"
"10","2621","408","35","295","-379","1","3"
"10","2622","171","103","192","-299","2","4"
"10","2623","342","-64","244","-138","6","5"
"10","2701","224","9","254","-47","5","6"
"10","2781","253","-88","204","131","8","7"
"10","2791","110","23","139","89","9","8"
"10","2801","110","23","139","89","10","9"
"10","2811","292","42","249","275","7","10"
"10","2821","126","-120","151","274","11","11"
"10","2831","126","-120","151","274","12","12"
"10","2841","276","-17","316","448","13","13"
"11","2901","158","-87","203","-292","1","1"
"11","3011","256","123","187","-224","2","2"
"11","3031","144","-80","225","-65","3","3"
"11","3111","149","-84","214","80","4","4"
"11","3131","201","112","194","227","5","5"
"11","3141","161","-111","111","159","6","6"
"11","3151","161","-111","111","159","7","7"
"11","3171","166","-80","209","307","8","8"
"12","3211","364","-106","206","-185","3","1"
"12","3221","160","34","277","-304","1","2"
"12","3231","249","45","275","-107","2","3"
"12","3321","167","-46","233","31","5","4"
"12","3381","174","-122","130","135","7","5"
"12","3391","174","-122","130","135","8","6"
"12","3431","244","101","223","127","4","7"
"12","3441","235","-24","246","254","6","8"
"12","3461","167","-114","156","303","9","9"
"12","3471","167","-114","156","303","10","10"
"12","3491","108","152","94","338","11","11"
"12","3501","108","152","94","338","12","12"
"13","3531","210","-48","270","-286","3","1"
"13","3541","92","144","103","-310","2","2"
"13","3551","228","-90","219","-152","3","3"
"13","3561","94","99","103","-148","4","4"
"13","3571","110","-157","71","-12","5","5"
"13","3581","209","-2","274","-5","1","6"
"13","3691","219","-72","292","141","6","7"
"13","3701","88","143","104","146","7","8"
"13","3741","160","131","135","299","8","9"
"13","3751","160","131","135","299","9","10"
"13","3791","179","-82","268","301","10","11"
"14","3801","197","6","286","-470","2","1"
"14","3811","134","-123","89","-520","3","2"
"14","3821","204","103","236","-369","1","3"
"14","3861","176","-74","241","-283","5","4"
"14","3891","156","-83","236","-151","6","5"
"14","3911","219","108","226","-174","4","6"
"14","3921","107","-130","96","-51","10","7"
"14","3931","179","50","251","-5","9","8"
"14","3941","113","-106","102","100","11","9"
"14","3951","242","-41","317","268","12","10"
"14","3961","209","79","240","138","7","11"
"14","3971","209","79","240","138","8","12"
"14","4021","125","-125","93","441","14","13"
"14","4031","219","22","279","485","13","14"
