efc28489c0c6f8890e98bec6f0abcc7bb8c059b2e85365f699c1a8770f125076,c23926b3acd4801137187014458acfd99a84d8fdb438c31b39163f9c2c535781,9d8ca057789c9774b32e6b07fc831fe1b405bf171513325b8b4851458be7a493,bc213d8be4e2dbb9757e52f18ac69c7303c3e71ca625d8a8554ca7e4b8155a61,952d986bca0d9ccb478525d74038a70a2decca15b7cac8d1f2b0e47a84ae51cb
"137","2520101","25201","-1","エルピス討魔戦線"
"6111","2520102","25201","1","ストーリーイベント"
"107","2520105","25201","4","クランバトル"
"132","2520106","25201","5","深淵討伐戦"
"210","2520108","25201","7","マスターショップ"
"137","2520201","25202","-1","エルピス討魔戦線"
"6111","2520202","25202","1","ストーリーイベント"
"107","2520205","25202","4","クランバトル"
"132","2520206","25202","5","深淵討伐戦"
"210","2520208","25202","7","マスターショップ"
"137","2520301","25203","-1","エルピス討魔戦線"
"6111","2520302","25203","1","ストーリーイベント"
"107","2520305","25203","4","クランバトル"
"132","2520306","25203","5","深淵討伐戦"
"210","2520308","25203","7","マスターショップ"
"137","2520401","25204","-1","エルピス討魔戦線"
"6111","2520402","25204","1","ストーリーイベント"
"107","2520405","25204","4","クランバトル"
"132","2520406","25204","5","深淵討伐戦"
"210","2520408","25204","7","マスターショップ"
"137","2520501","25205","-1","エルピス討魔戦線"
"6111","2520502","25205","1","ストーリーイベント"
"107","2520505","25205","4","クランバトル"
"132","2520506","25205","5","深淵討伐戦"
"210","2520508","25205","7","マスターショップ"
"137","2520601","25206","-1","エルピス討魔戦線"
"6111","2520602","25206","1","ストーリーイベント"
"107","2520605","25206","4","クランバトル"
"132","2520606","25206","5","深淵討伐戦"
"210","2520608","25206","7","マスターショップ"
"210","14000101","140001","1","マスターショップ"
"216","14000102","140001","2","コネクトショップ"
"210","15000101","150001","1","マスターショップ"
"216","15000102","150001","2","コネクトショップ"
"210","15000201","150002","1","マスターショップ"
"216","15000202","150002","2","コネクトショップ"
"210","15000301","150003","1","マスターショップ"
"216","15000302","150003","2","コネクトショップ"
"210","15000401","150004","1","マスターショップ"
"216","15000402","150004","2","コネクトショップ"
"210","15000501","150005","1","マスターショップ"
"216","15000502","150005","2","コネクトショップ"
"210","15000601","150006","1","マスターショップ"
"216","15000602","150006","2","コネクトショップ"
"210","15000701","150007","1","マスターショップ"
"216","15000702","150007","2","コネクトショップ"
"210","15000801","150008","1","マスターショップ"
"216","15000802","150008","2","コネクトショップ"
"210","15000901","150009","1","マスターショップ"
"216","15000902","150009","2","コネクトショップ"
"210","15001001","150010","1","マスターショップ"
"216","15001002","150010","2","コネクトショップ"
