613ccd4dcda304698eae171e3e0371587e68de41db009bebf81561016ff419f6,c235e1c149cae6fb58e74c715e86724183e44a8af387c124ec9a7f7aa14bffc8
"701000101","150"
"701000102","150"
"701000103","150"
"701000104","150"
"701000105","150"
"701000201","150"
"701000202","150"
"701000203","150"
"701000204","150"
"701000205","150"
"701000301","150"
"701000302","150"
"701000303","150"
"701000304","150"
"701000305","150"
"701000401","150"
"701000402","150"
"701000403","150"
"701000404","150"
"701000405","150"
"701000501","150"
"701000502","150"
"701000503","150"
"701000504","150"
"701000505","150"
