66b3931ea85e4ae466a1b016519309cabb3b4642ebcbc34446fbbe7b1698a4e3,9ca42a075535e259268dd1b95932747f10791992aed4f41ebcae67fdee9f33ee,dccbd10442386b18b70496c2c9d07f016d1c742adea5d9452a16f0b6bcad7156,b3221ff74d1b64dd63dcea298f54ae712f23db6973031474d0da5b26848447a9,b5f5d17aa6571d537bdd4ffe6cad941e0842e1a2f8a6edd153d876dae30156a9,2384c2c187da207f612e748bccd373b09658e87203930213fd636464f135d2f2,abf663ba3d5d61ed916f0a0b446081a0bd7a529bbe4ed0168670e440815e209e,37568f9e44d4f1684905ec9f5685eed0255c3153941bd92b264d0055c2373ab7,4535d29587ff1d45c8ebfe11050ba306619ff644d20c65b880d42afe62f3eead,ecaad193b90b25fe257a8fd95656e9eafc009618624c07cd590f0506078d4a7a,389b57810cb9f1412cedd14290f22b0fec920921a5656f7ded0514092f0714fc
"-300","100","5","113511","-750","0","2.08","2","svd_idle_normal","1007001","1007001001"
"-300","100","5","113411","750","1","2.08","1","svd_idle_normal","1007001","1007001002"
"0","0","5","333","0","0","1","3","svd_white_loop","1007001","1007001003"
"0","1","6","1","1","0","0","333","","1007001","1007001004"
"","0","7","2","0","","","113511","","1007001","1007001005"
"0","-300","2","-750","0.5","","","113511","","1007001","1007001006"
"0","1","6","1","1","0","0","113411","","1007001","1007001007"
"0.8","-140","31","11","-40","","0","1","","1007001","1007001008"
"","0","34","2","0","","","11","","1007001","1007001009"
"","0","7","6","0","","","113411","","1007001","1007001010"
"0","-300","2","750","0.5","","","113411","","1007001","1007001011"
"1","-250","31","14","-40","","0","4","","1007001","1007001012"
"1","250","31","15","-40","","0","5","","1007001","1007001013"
"","","93","","","","","1","","1007001","1007001014"
"0.4","1","6","1","1","0","0.8","333","","1007001","1007001015"
"1","0","3","svd_idle_see_pre","svd_idle_see","0","0.2","113511","","1007001","1007001016"
"0","-300","2","640","1.1","","","113411","","1007001","1007001017"
"0","-300","2","-600","1.1","","","113511","","1007001","1007001018"
"","","93","","","","","1","","1007001","1007001019"
"","","32","1","","","","11","","1007001","1007001020"
"","","91","","","","","0","","1007001","1007001021"
"80","260","94","240","0","","","113511","","1007001","1007001022"
"","","32","0","","","","11","","1007001","1007001023"
"","1","3","svd_run","","","0.2","113511","","1007001","1007001024"
"","1.2","7","0","0","","","113511","","1007001","1007001025"
"0","-300","2","-250","1.2","","","113511","","1007001","1007001026"
"","1","3","svd_run","","","0.2","113411","","1007001","1007001027"
"","1.2","7","0","0","","","113411","","1007001","1007001028"
"0","-300","2","250","1.2","","","113411","","1007001","1007001029"
"1","1","6","1","1","0","0.2","113411","","1007001","1007001030"
"","","93","","","","","1.2","","1007001","1007001031"
"","","91","","","","","0","","1007001","1007001032"
"","0","3","svd_kime_eriko","","","0.2","113511","","1007001","1007001033"
"","0","3","svd_kime_shizuru","","","0.2","113411","","1007001","1007001034"
"","","93","","","","","1.4","","1007001","1007001035"
"","","32","1","","","","14","","1007001","1007001036"
"","","32","1","","","","15","","1007001","1007001037"
"","","93","","","","","0.6","","1007001","1007001038"
"","1","3","svd_idle_joy1","","","0.2","113411","","1007001","1007001039"
"","1","3","svd_talk_wish","","","0.2","113511","","1007001","1007001040"
"","0","21","vo_svd_0121","0","","","vo_svd","","1007001","1007001041"
"0","6","11","あなた様のため…必ずや\n忘れられない最高の夏休みを\nお贈りいたしますわ…","0","0","0","113511","1","1007001","1007001042"
"","","91","","","","","0","","1007001","1007001043"
"","1","3","svd_idle_wish","","","0.2","113511","","1007001","1007001044"
"","1","3","svd_talk_joy1","","","0.2","113411","","1007001","1007001045"
"","0","21","vo_svd_0122","0","","","vo_svd","","1007001","1007001046"
"0","8","11","夏が来たら私たちのことを\n思い出しちゃうすっごい\nプロデュースをしちゃおうね！","0","0","0","113411","1","1007001","1007001047"
"","","91","","","","","0","","1007001","1007001048"
"","1","3","svd_idle_joy1","","","0.2","113411","","1007001","1007001049"
"","1","3","svd_talk_thinking","","","0.2","113511","","1007001","1007001050"
"","0","21","vo_svd_0123","0","","","vo_svd","","1007001","1007001051"
"0","6","11","はて…？　私は来年の夏も\n一緒に過ごすので思い出して\nいただく必要はないのですが…","0","0","0","113511","1","1007001","1007001052"
"","","91","","","","","0","","1007001","1007001053"
"","1","3","svd_idle_thinking","","","0.2","113511","","1007001","1007001054"
"1","0","3","svd_surprise","svd_talk_anger","0.2","0.2","113411","","1007001","1007001055"
"","0","21","vo_svd_0124","0","","","vo_svd","","1007001","1007001056"
"0","8","11","あ！　ズルいよエリコちゃん！\nお姉ちゃんだってずっとずっと\n永遠に一緒だよ！","0","0","0","113411","1","1007001","1007001057"
"","","93","","","","","3","","1007001","1007001058"
"1","0","3","svd_jump","svd_talk_joy1","0.4","0.2","113411","","1007001","1007001059"
"","","91","","","","","1007001057","","1007001","1007001060"
"","1","3","svd_idle_joy1","","","0.2","113411","","1007001","1007001061"
"","","102","","","","","","","1007001","1007001062"
"","","32","0","","","","14","","1007001","1007001063"
"","","32","0","","","","15","","1007001","1007001064"
"","","93","","","","","1","","1007001","1007001065"
"","1","12","7","","0","0","113511","","1007001","1007001066"
"","1","3","svd_talk_normal","","","0.2","113511","","1007001","1007001067"
"","","93","","","","","3","","1007001","1007001068"
"","1","3","svd_idle_normal","","","0.2","113511","","1007001","1007001069"
"","1","12","10","","0","0","113411","","1007001","1007001070"
"1","1","3","svd_talk_normal","","","0.2","113411","","1007001","1007001071"
"","","93","","","","","3","","1007001","1007001072"
"1","1","3","svd_idle_normal","","","0.2","113411","","1007001","1007001073"
"","1","12","7","","0","0","113511","","1007001","1007001074"
"","1","3","svd_talk_memory","","","0.2","113511","","1007001","1007001075"
"","","93","","","","","3","","1007001","1007001076"
"","1","3","svd_idle_memory","","","0.2","113511","","1007001","1007001077"
"","1","12","10","","0","0","113411","","1007001","1007001078"
"1","1","3","svd_talk_memory","","","0.2","113411","","1007001","1007001079"
"","","93","","","","","3","","1007001","1007001080"
"1","1","3","svd_idle_memory","","","0.2","113411","","1007001","1007001081"
"","","101","","","","","1007001066","","1007001","1007001082"
"0","1","6","1","1","0","1","333","","1007001","1007001083"
"","","4","1","","","","113511","","1007001","1007001084"
"","1","3","svd_run","","","0.2","113511","","1007001","1007001085"
"0","-300","2","-750","0.8","","","113511","","1007001","1007001086"
"","","4","0","","","","113411","","1007001","1007001087"
"","1","3","svd_run","","","0.2","113411","","1007001","1007001088"
"0","-300","2","750","0.8","","","113411","","1007001","1007001089"
"","","93","","","","","0.6","","1007001","1007001090"
"0","1","6","1","1","0","0.2","113511","","1007001","1007001091"
"0","1","6","1","1","0","0.2","113411","","1007001","1007001092"
"","","91","","","","","0","","1007001","1007001093"
"-300","100","5","113511","-650","0","2.08","2","svd_idle_normal","1007002","1007002001"
"-300","100","5","113411","650","1","2.08","1","svd_idle_normal","1007002","1007002002"
"0","0","5","333","0","0","1","3","svd_white_loop","1007002","1007002003"
"0","1","6","1","1","0","0","333","","1007002","1007002004"
"0","1","6","1","1","0","0","113511","","1007002","1007002005"
