00ff220a25a02a59ef15a6a6dc7344c6dc03e1adaed2d3fed8593808c5563ade,c61d0d00c497292d917f80d14222d1222db021ffe2435a0829bcbc3911848042,19f5733882a8d20cf7b335946bf3936fcce503c0fb041bf3154130e658300e74,552915afceccc6fd5e7573c8d3c48cb59d365be35661076213b8370b9a672379,835baa3f799f2f1b07c3cae641c4436cf6c0166220a96f5035c0240d50b4f2e2,3043fc224b328b1ec41777999cf98a268f2006ca2aeeb1d581604c59072f481b,764d8a24c7840ec18a622e27d1fd3229e69871dc95d6c8e9d6139c6f573fb934
"0","1","1","1","0","1","1"
"0","2","2","4","0","1","1"
"12","3","1","5","0","1","1"
"0","4","2","2","0","1","1"
"0","5","1","8","0","1","2"
"0","1","1","1","0","2","1"
"0","2","2","1","0","2","1"
"0","3","1","6","0","2","1"
"0","4","2","1","0","2","1"
"0","5","3","1","0","2","1"
"11","6","1","3","0","2","3"
"0","7","2","1","0","2","1"
"0","8","1","3","0","2","1"
"0","9","1","1","0","2","2"
"0","1","1","1","0","3","1"
"0","2","2","10","0","3","1"
"0","3","1","11","0","3","1"
"0","4","2","5","0","3","1"
"0","5","3","6","0","3","1"
"0","6","3","3","0","3","1"
"9","7","4","3","0","3","2"
"0","8","4","7","0","3","1"
"0","9","4","1","0","3","1"
"8","10","1","9","0","3","3"
"0","11","2","4","0","3","1"
"0","12","1","1","0","3","1"
"0","13","4","3","0","3","1"
"11","14","3","3","0","3","2"
"10","1","1","4","0","4","1"
"12","2","1","12","0","4","1"
"10","3","2","1","0","4","1"
"4","4","1","11","0","4","1"
"0","5","2","1","0","4","1"
"13","6","1","4","0","4","1"
"6","7","2","2","0","4","1"
"0","8","1","8","0","4","1"
"10","9","2","8","0","4","1"
"10","1","1","1","0","5","1"
"5","2","2","11","0","5","1"
"7","3","1","1","0","5","1"
"12","4","2","5","0","5","1"
"11","5","1","1","0","5","1"
"4","6","2","3","0","5","1"
"12","7","2","5","0","5","1"
"6","8","1","2","0","5","1"
"4","9","2","11","0","5","1"
"8","10","1","8","0","5","1"
"10","11","1","4","0","5","1"
"10","12","2","5","0","5","1"
"7","1","1","8","0","6","1"
"10","2","2","4","0","6","1"
"11","3","1","1","0","6","1"
"8","4","2","8","0","6","1"
"6","5","1","11","0","6","1"
"7","6","1","2","0","6","2"
"4","7","1","5","0","6","1"
"10","8","2","4","0","6","1"
"13","9","1","10","0","6","2"
"7","1","1","8","0","7","1"
"10","2","2","12","0","7","1"
"12","3","2","4","0","7","1"
"7","4","1","11","0","7","1"
"10","5","1","1","0","7","1"
"12","6","2","5","0","7","1"
"11","7","2","5","0","7","1"
"10","8","2","8","0","7","1"
"8","9","1","2","0","7","1"
"7","10","1","8","0","7","1"
"9","11","2","4","0","7","1"
"10","1","1","1","0","8","2"
"10","2","2","12","0","8","1"
"5","3","1","12","0","8","1"
"12","4","1","5","0","8","1"
"10","5","2","1","0","8","1"
"12","6","1","5","0","8","1"
"12","7","1","5","0","8","1"
"10","8","2","1","0","8","1"
"9","9","2","8","0","8","1"
"9","10","1","4","0","8","2"
"8","1","1","4","0","9","1"
"10","2","1","5","0","9","1"
"7","3","2","4","0","9","1"
"8","4","2","6","0","9","1"
"10","5","1","1","0","9","1"
"11","6","1","11","0","9","1"
"6","7","1","1","0","9","1"
"8","8","2","5","0","9","1"
"7","9","2","8","0","9","1"
"6","10","1","4","0","9","1"
"10","1","2","11","0","10","1"
"7","2","1","1","0","10","1"
"8","3","1","8","0","10","2"
"9","4","2","5","0","10","1"
"8","5","1","10","0","10","1"
"7","6","1","1","0","10","2"
"6","7","1","2","0","10","2"
