dfa77f63e00c068a86f13b3c6b6e80bc8c71fdcf9114cf72b6b14e747204ff21,b4cf5d628745e88f4a01320c45b69baa03d792b0eb5b69a8b03a4c49a977de5b,fa6779fe288892e39a3c5e441c9bcdadc0e8577a1a0215420e2933508e2029c3,a2fba2d7a81cf67046bc951dffb392b53653a958ac07e145b30039290fbfc739,216297ccbb5ad8ab7fcf851774a155b0e57693f52498aaa87a4a824f1c773d14,932ec9a828c2ee3c5da1ef6f4253ddc1a04c08969d73fcad9eed90a3c73d8279
"1","0","2","","200","100"
"2","2","300","","200","101"
"200","7","100207","","201","200"
"201","6","100206","","100900","200"
"300","0","302","","301","300"
"301","0","100301","","302","301"
"302","1","303","","100910","200"
"303","2","100201","","100910","200"
"100201","0","0","201","0","0"
"100206","0","0","206","0","0"
"100207","0","0","207","0","0"
"100301","0","0","301","0","0"
"100900","0","0","1","0","300"
"100901","0","0","1","0","0"
"100910","0","0","1,2000","0","0"
