13e6ecc04495e64d5dc32305b2e7d178be5e67682adfb023c3d36b2665c06e23,c69bd458d266715e1ee600fb70c0fa3dcdba052b64d091026ce49ae1532aa8d5,647c594e3158ddd0adda78c316e09963e2dc035d986b2d31b5351007836f2c4d,99069aa3e4482f6014888053c7f6c6e5feb5848ad6ea340074320be725301c46,0ae1bfce38699cd68fb564bfef6b2e1d257c8eedcc68dd622ab5cb723ec235c1
"10153102","10153","6017101","信頼度","1"
"10168102","10168","6144101","信頼度","1"
"0","20015","0","信頼度","1"
"0","20017","0","信頼度","1"
"0","20018","0","信頼度","1"
"0","20019","0","信頼度","1"
"0","20020","0","信頼度","1"
"0","20022","0","信頼度","1"
"0","20023","0","信頼度","1"
"0","20024","0","信頼度","1"
"0","20025","0","信頼度","1"
"0","20026","0","信頼度","1"
"0","20028","0","信頼度","1"
"0","20029","0","信頼度","1"
"0","20030","0","信頼度","1"
"0","20031","0","信頼度","1"
"0","20032","0","信頼度","1"
"0","20035","0","信頼度","1"
"0","20037","0","信頼度","1"
"0","20038","0","信頼度","1"
"0","20042","0","信頼度","1"
"0","20043","0","信頼度","1"
"0","20048","0","信頼度","1"
"0","20049","0","信頼度","1"
"0","20051","0","信頼度","1"
"0","20054","0","信頼度","1"
"0","20055","0","信頼度","1"
"0","20056","0","信頼度","1"
"0","20061","0","信頼度","1"
"0","20066","0","信頼度","1"
