701a49908a44d23db6fafc4fb4cb166d14b514a299af297b82b3bccbc8454c56,4eab1af55706dfecf35b5706a6e99596542a1fdb1f1f19d1c3f9971e7275a910,cdf262d8ca4118ef105662a7528c970cd84d92fdef97c258c55534e85ab29a99,8791d7621fbcf803aa8f55fe04a8dd66d1e7d41d1d0887302b82083d15c76acf,bb371635f751bd181f3f55cc19c6bf1c1c73a5cccceb5b098074c7914682a362,9f27ed496f2146b97eb019fb37812e37528fdd7c9ac10c65845c1df467003d8e,6e2d5b289053c1a56c10e0f499d06d4d38c06663ed04bc2c107db36e6fdc6f18
"0","70000","0","1","2018/12/24 5:00:00","2018/12/25 4:59:59","400"
"0","70000","0","2","2018/12/25 5:00:00","2018/12/26 4:59:59","401"
"1","70001","0","3","0","0","410"
"2","70001","0","4","0","0","411"
"3","70001","0","5","0","0","412"
"0","70002","0","6","2019/12/24 5:00:00","2019/12/25 4:59:59","400"
"0","70002","0","7","2019/12/25 5:00:00","2019/12/26 4:59:59","401"
"1","70003","0","8","0","0","413"
"2","70003","0","9","0","0","414"
"3","70003","0","10","0","0","415"
"0","70004","0","21","2020/12/24 5:00:00","2020/12/25 4:59:59","400"
"0","70004","0","22","2020/12/25 5:00:00","2020/12/26 4:59:59","401"
"1","70005","0","23","0","0","416"
"2","70005","0","24","0","0","417"
"3","70005","0","25","0","0","418"
"3","80004","0","26","2021/01/30 5:00:00","2021/01/31 4:59:59","9002001"
"3","80004","0","27","2021/01/31 5:00:00","2021/02/01 4:59:59","9002002"
"3","80004","0","28","2021/02/01 5:00:00","2021/02/02 4:59:59","9002003"
"3","80004","0","29","2021/02/02 5:00:00","2021/02/03 4:59:59","9002004"
"3","80004","0","30","2021/02/03 5:00:00","2021/02/04 4:59:59","9002005"
"3","80004","0","31","2021/02/04 5:00:00","2021/02/05 4:59:59","9002006"
"3","80004","0","32","2021/02/05 5:00:00","2021/02/06 4:59:59","9002007"
"3","80004","0","33","2021/02/06 5:00:00","2021/02/07 4:59:59","9002008"
"3","80004","0","34","2021/02/07 5:00:00","2021/02/08 4:59:59","9002009"
"3","80004","0","35","2021/02/08 5:00:00","2021/02/09 4:59:59","9002010"
"3","80004","0","36","2021/02/09 5:00:00","2021/02/10 4:59:59","9002011"
