285a328867c1102392a91e70079638e0c1449ea56260140382a5275cd6db1b7e,58c98b69e31a165c712f3a2b65227a916b50ee8a48607a79c6c0b1d745758632,1febaa354f4ed12834a589a650750984a20b338d74563b6d1eedb20ecb6acabe,82b2ee6d9b4dd351423051f55712f86226a6b7bf6966fd5317744a45d44a4ba5,377a57787b4c71c02119f5fd04b436720d78f7064ba1bb25a673af2138b62c67,695ba3082c41231f72aa938f877cefaa624a4036d3c2cdc7d330052607cbcf7a,b928180eda125c3c2ef7c864c74c0cd3e60b867b264ec3a6a455b6a12503a496,7b10f466527db68b511e2595fe2c7f789f2dd4a4b173faba5d948877e9d7ac4d,3b5075a6a24407602d74f9d327fad1376cbd5fdec3dfa681a79bbf071e86f41b,dbdfd1400e12f3cf0fe01061a1ec6f69ef7f2d46042ed0ad9d3057f0e03af98f,306f1b0f136262eb1f6e55b0822f82f4b7076679367a4e9e41d001499e8899b9,2dc0c05c3aba9702c543cc1349bb6e6f86032add87e23bd65c7dc2bd2ce2d48f
"0","1","4","0","1005801","0","0","0","1","0","0.8","100580101"
"vo_ske_0101","2","2","0","1005801","0","0","vo_ske","0","0","0","100580102"
"0","3","1","1","1005801","60","0.705","0","0","0","0","100580103"
"0","4","4","0","1005801","0","0","0","1","0","1.549","100580104"
"0","5","1","1","1005801","304","1.807","0","0","60","0","100580105"
"0","6","4","0","1005801","0","0","0","1","0","3.027","100580106"
"0","7","1","2","1005801","140","1.141","0","0","0","0","100580107"
"0","8","4","0","1005801","0","0","0","1","0","1.9","100580108"
"0","9","1","2","1005801","380","1.78","0","0","140","0","100580109"
"0","10","4","0","1005801","0","0","0","1","0","4.544","100580110"
"vo_ske_0102","11","2","0","1005801","0","0","vo_ske","0","0","0","100580111"
"0","12","1","3","1005801","195","1.322","0","0","0","0","100580112"
"0","13","4","0","1005801","0","0","0","1","0","2.917","100580113"
"vo_ske_0103","14","2","0","1005801","0","0","vo_ske","0","0","0","100580114"
"0","15","1","4","1005801","228","1.932","0","0","0","0","100580115"
"0","16","4","0","1005801","0","0","0","1","0","2.582","100580116"
"0","17","1","4","1005801","367","0.996","0","0","228","0","100580117"
"0","18","4","0","1005801","0","0","0","1","0","3.856","100580118"
"vo_ske_0104","19","2","0","1005801","0","0","vo_ske","0","0","0","100580119"
"0","20","1","5","1005801","102","0.67","0","0","0","0","100580120"
"0","21","4","0","1005801","0","0","0","1","0","1.785","100580121"
"0","22","1","5","1005801","364","2.253","0","0","102","0","100580122"
"0","23","4","0","1005801","0","0","0","1","0","2.253","100580123"
"0","24","1","6","1005801","120","0.962","0","0","0","0","100580124"
"0","25","4","0","1005801","0","0","0","1","0","2.244","100580125"
"0","26","1","6","1005801","334","1.707","0","0","120","0","100580126"
"0","27","4","0","1005801","0","0","0","1","0","4.225","100580127"
"vo_ske_0105","28","2","0","1005801","0","0","vo_ske","0","0","0","100580128"
"0","29","1","7","1005801","168","1.256","0","0","0","0","100580129"
"0","30","4","0","1005801","0","0","0","1","0","3.119","100580130"
"vo_ske_0106","31","2","0","1005801","0","0","vo_ske","0","0","0","100580131"
"0","32","1","8","1005801","89","0.702","0","0","0","0","100580132"
"0","33","4","0","1005801","0","0","0","1","0","1.386","100580133"
"0","34","1","8","1005801","278","1.352","0","0","89","0","100580134"
"0","35","4","0","1005801","0","0","0","1","0","2.053","100580135"
"0","36","1","8","1005801","383","0.733","0","0","278","0","100580136"
"0","37","4","0","1005801","0","0","0","1","0","1.868","100580137"
"0","38","1","9","1005801","195","1.764","0","0","0","0","100580138"
"0","39","4","0","1005801","0","0","0","1","0","2.905","100580139"
"0","40","1","9","1005801","314","0.969","0","0","195","0","100580140"
"0","41","4","0","1005801","0","0","0","1","0","0.969","100580141"
"0","42","1","10","1005801","115","0.808","0","0","0","0","100580142"
"0","43","4","0","1005801","0","0","0","1","0","2.8","100580143"
"vo_ske_0107","44","2","0","1005801","0","0","vo_ske","0","0","0","100580144"
"0","45","1","11","1005801","52","0.25","0","0","0","0","100580145"
"0","46","4","0","1005801","0","0","0","1","0","0.25","100580146"
"0","47","1","11","1005801","280","1.817","0","0","52","0","100580147"
"0","48","4","0","1005801","0","0","0","1","0","3.312","100580148"
"0","49","1","11","1005801","372","0.666","0","0","280","0","100580149"
"0","50","4","0","1005801","0","0","0","1","0","1.17","100580150"
"0","51","1","12","1005801","217","1.616","0","0","0","0","100580151"
"0","52","4","0","1005801","0","0","0","1","0","4.15","100580152"
"vo_ske_0108","53","2","0","1005801","0","0","vo_ske","0","0","0","100580153"
"0","54","1","13","1005801","142","1.198","0","0","0","0","100580154"
"0","55","4","0","1005801","0","0","0","1","0","2.442","100580155"
"0","56","1","14","1005801","267","1.934","0","0","0","0","100580156"
"0","57","4","0","1005801","0","0","0","1","0","4.434","100580157"
"0","1","4","0","1005802","0","0","0","1","0","0.8","100580201"
"vo_ske_0201","2","2","0","1005802","0","0","vo_ske","0","0","0","100580202"
"0","3","1","1","1005802","130","1.122","0","0","0","0","100580203"
"0","4","4","0","1005802","0","0","0","1","0","1.689","100580204"
"0","5","1","1","1005802","327","1.13","0","0","130","0","100580205"
"0","6","4","0","1005802","0","0","0","1","0","2.883","100580206"
"vo_ske_0202","7","2","0","1005802","0","0","vo_ske","0","0","0","100580207"
"0","8","1","2","1005802","119","1.057","0","0","0","0","100580208"
"0","9","4","0","1005802","0","0","0","1","0","1.962","100580209"
"0","10","1","2","1005802","266","1.166","0","0","119","0","100580210"
"0","11","4","0","1005802","0","0","0","1","0","1.747","100580211"
"0","12","1","2","1005802","389","1.216","0","0","266","0","100580212"
"0","13","4","0","1005802","0","0","0","1","0","1.216","100580213"
"0","14","1","3","1005802","272","1.868","0","0","0","0","100580214"
"0","15","4","0","1005802","0","0","0","1","0","3.78","100580215"
"vo_ske_0203","16","2","0","1005802","0","0","vo_ske","0","0","0","100580216"
"0","17","1","4","1005802","90","0.655","0","0","0","0","100580217"
"0","18","4","0","1005802","0","0","0","1","0","1.632","100580218"
"0","19","1","4","1005802","270","1.586","0","0","90","0","100580219"
"0","20","4","0","1005802","0","0","0","1","0","2.357","100580220"
"0","21","1","4","1005802","336","0.386","0","0","270","0","100580221"
"0","22","4","0","1005802","0","0","0","1","0","0.386","100580222"
"0","23","1","5","1005802","110","0.872","0","0","0","0","100580223"
"0","24","4","0","1005802","0","0","0","1","0","3.189","100580224"
"vo_ske_0204","25","2","0","1005802","0","0","vo_ske","0","0","0","100580225"
"0","26","1","5","1005802","241","1.065","0","0","110","0","100580226"
"0","27","4","0","1005802","0","0","0","1","0","1.882","100580227"
"0","28","1","5","1005802","359","0.888","0","0","241","0","100580228"
"0","29","4","0","1005802","0","0","0","1","0","0.888","100580229"
"0","30","1","6","1005802","66","0.607","0","0","0","0","100580230"
"0","31","4","0","1005802","0","0","0","1","0","1.21","100580231"
"0","32","1","6","1005802","158","0.933","0","0","66","0","100580232"
"0","33","4","0","1005802","0","0","0","1","0","2.332","100580233"
"0","34","1","6","1005802","360","1.649","0","0","158","0","100580234"
"0","35","4","0","1005802","0","0","0","1","0","4.223","100580235"
"vo_ske_0205","36","2","0","1005802","0","0","vo_ske","0","0","0","100580236"
"0","37","1","7","1005802","102","0.349","0","0","0","0","100580237"
"0","38","4","0","1005802","0","0","0","1","0","1.46","100580238"
"0","39","1","7","1005802","285","1.532","0","0","102","0","100580239"
"0","40","4","0","1005802","0","0","0","1","0","2.11","100580240"
"0","41","1","7","1005802","336","0.341","0","0","285","0","100580241"
"0","42","4","0","1005802","0","0","0","1","0","0.341","100580242"
"0","43","1","8","1005802","176","1.202","0","0","0","0","100580243"
"0","44","4","0","1005802","0","0","0","1","0","3.101","100580244"
"vo_ske_0206","45","2","0","1005802","0","0","vo_ske","0","0","0","100580245"
"0","46","1","9","1005802","85","0.706","0","0","0","0","100580246"
"0","47","4","0","1005802","0","0","0","1","0","1.796","100580247"
"0","48","1","9","1005802","331","1.854","0","0","85","0","100580248"
"0","49","4","0","1005802","0","0","0","1","0","2.709","100580249"
"0","50","1","10","1005802","139","1.202","0","0","0","0","100580250"
"0","51","4","0","1005802","0","0","0","1","0","3.52","100580251"
"vo_ske_0207","52","2","0","1005802","0","0","vo_ske","0","0","0","100580252"
"0","53","1","10","1005802","228","0.754","0","0","139","0","100580253"
"0","54","4","0","1005802","0","0","0","1","0","1.291","100580254"
"0","55","1","10","1005802","293","0.505","0","0","228","0","100580255"
"0","56","4","0","1005802","0","0","0","1","0","2.624","100580256"
"vo_ske_0208","57","2","0","1005802","0","0","vo_ske","0","0","0","100580257"
"0","58","1","11","1005802","130","1.061","0","0","0","0","100580258"
"0","59","4","0","1005802","0","0","0","1","0","1.6","100580259"
"0","60","1","11","1005802","310","1.645","0","0","130","0","100580260"
"0","61","4","0","1005802","0","0","0","1","0","2.3","100580261"
"0","62","1","12","1005802","240","1.616","0","0","0","0","100580262"
"0","63","4","0","1005802","0","0","0","1","0","3.913","100580263"
"vo_ske_0209","64","2","0","1005802","0","0","vo_ske","0","0","0","100580264"
"0","65","1","13","1005802","128","1.258","0","0","0","0","100580265"
"0","66","4","0","1005802","0","0","0","1","0","3.579","100580266"
"vo_ske_0210","67","2","0","1005802","0","0","vo_ske","0","0","0","100580267"
"0","68","1","14","1005802","250","1.496","0","0","0","0","100580268"
